State,Parliamentary Constituency,,,Winner,,,,Runner-up,,,,Margin
,No.,Name,Type,Candidate,Party,,Votes,Candidate,Party,,Votes,
Andaman and Nicobar Islands,1,Andaman & Nicobar Islands,GEN,Bishnu Pada Ray,,Bharatiya Janata Party,75211,Kuldeep Rai Sharma,,Indian National Congress,72221,2990
Andhra Pradesh,1,Adilabad,(ST),Ramesh Rathod,,Telugu Desam Party,"3,72,268",Kotnak Ramesh,,Indian National Congress,"2,57,181","1,15,087"
,2,Peddapalli,(SC),Gaddam Vivek Venkatswamy,,Indian National Congress,"3,13,748",Gomasa Srinivas,,Telangana Rashtra Samithi,"2,64,731",49017
,3,Karimnagar,GEN,Ponnam Prabhakar,,Indian National Congress,"3,17,927",Boianapalli Vinod Kumar,,Telangana Rashtra Samithi,"2,67,684",50243
,4,Nizamabad,GEN,Madhu Goud Yaskhi,,Indian National Congress,"2,96,504",Bigala Ganesh Gupta,,Telangana Rashtra Samithi,"2,36,114",60390
,5,Zahirabad,GEN,Suresh Shetkar,,Indian National Congress,"3,95,767",Syed Yousuf Ali,,Telangana Rashtra Samithi,"3,78,360",17407
,6,Medak,GEN,Vijayashanti,,Telangana Rashtra Samithi,"3,88,839",Chaganla Narendra Nath,,Indian National Congress,"3,82,762",6077
,7,Malkajgiri,GEN,Sarvey Sathyanarayana,,Indian National Congress,"3,88,368",Bheemsen T,,Telugu Desam Party,"2,95,042",93326
,8,Secunderabad,GEN,Anjan Kumar Yadav,,Indian National Congress,"3,40,549",Bandaru Dattatreya,,Bharatiya Janata Party,"1,70,382","1,70,167"
,9,Hyderabad,GEN,Asaduddin Owaisi,,All India Majlis-e-Ittehadul Muslimeen,"3,08,061",Zahid Ali Khan,,Telugu Desam Party,"1,94,196","1,13,865"
,10,Chevella,GEN,Jaipal Reddy,,Indian National Congress,"4,20,807",A. P. Jithender Reddy,,Telugu Desam Party,"4,02,275",18532
,11,Mahbubnagar,GEN,K. Chandrashekar Rao,,Telangana Rashtra Samithi,"3,66,569",Devarakonda Vittal Rao,,Indian National Congress,"3,46,385",20184
,12,Nagarkurnool,(SC),Manda Jagannath,,Indian National Congress,"4,22,745",Guvvala Balaraju,,Telangana Rashtra Samithi,"3,74,978",47767
,13,Nalgonda,GEN,Gutha Sukender Reddy,,Indian National Congress,"4,93,849",Suravaram Sudhakar Reddy,,Communist Party of India,"3,40,867","1,52,982"
,14,Bhongir,GEN,Komatireddy Raj Gopal Reddy,,Indian National Congress,"5,04,103",Nomula Narsimhaiah,,Communist Party of India (Marxist),"3,64,215","1,39,888"
,15,Warangal,(SC),Siricilla Rajaiah,,Indian National Congress,"3,96,568",Ramagalla Parameshwar,,Telangana Rashtra Samithi,"2,71,907","1,24,661"
,16,Mahabubabad,(ST),Balram Naik,,Indian National Congress,"3,94,447",Kunja Srinivasa Rao,,Communist Party of India,"3,25,490",68957
,17,Khammam,GEN,Nama Nageswara Rao,,Telugu Desam Party,"4,69,368",Renuka Chowdhury,,Indian National Congress,"3,44,920","1,24,448"
,18,Araku,(ST),Kishore Chandra Deo,,Indian National Congress,"3,60,458",Midiyam Babu Rao,,Communist Party of India (Marxist),"1,68,014","1,92,444"
,19,Srikakulam,GEN,Killi Krupa Rani,,Indian National Congress,"3,87,694",Kinjarapu Yerran Naidu,,Telugu Desam Party,"3,04,707",82987
,20,Vizianagaram,GEN,Jhansi Laxmi Botcha,,Indian National Congress,"4,11,584",Kondapalli Appalanaidu,,Telugu Desam Party,"3,51,013",60571
,21,Visakhapatnam,GEN,Daggubati Purandeswari,,Indian National Congress,"3,68,812",Palla Srinivasa Rao,,Praja Rajyam Party,"3,02,126",66686
,22,Anakapalli,GEN,Sabbam Hari,,Indian National Congress,"3,69,968",Nookarapu Surya Prakasa Rao,,Telugu Desam Party,"3,17,056",52912
,23,Kakinada,GEN,Mallipudi Mangapati Pallam Raju,,Indian National Congress,"3,23,607",Chalamalasetti Sunil,,Praja Rajyam Party,"2,89,563",34044
,24,Amalapuram,(SC),G. V. Harsha Kumar,,Indian National Congress,"3,68,501",Pothula Prameela Devi,,Praja Rajyam Party,"3,28,496",40005
,25,Rajahmundry,GEN,Vundavalli Aruna Kumar,,Indian National Congress,"3,57,449",Murali Mohan,,Telugu Desam Party,"3,55,302",2147
,26,Narasapuram,GEN,Kanumuru Bapi Raju,,Indian National Congress,"3,89,422",Thota Seetharama Lakshmi,,Telugu Desam Party,"2,74,732","1,14,690"
,27,Eluru,GEN,Kavuri Samba Siva Rao,,Indian National Congress,"4,23,777",Maganti Venkateswara Rao,,Telugu Desam Party,"3,80,994",42783
,28,Machilipatnam,GEN,Konakalla Narayana Rao,,Telugu Desam Party,"4,09,936",Badiga Ramakrishna,,Indian National Congress,"3,97,480",12456
,29,Vijayawada,GEN,Lagadapati Rajagopal,,Indian National Congress,"4,29,394",Vallabhaneni Vamsi Mohan,,Telugu Desam Party,"4,16,682",12712
,30,Guntur,GEN,Rayapati Sambasiva Rao,,Indian National Congress,"4,03,937",Madala Rajendra,,Telugu Desam Party,"3,64,582",39355
