State,Parliamentary Constituency,,Winner,,,,,Runner-up,,,,,Margin
,No.,Name,Candidate,Party,,%,Votes,Candidate,Party,,Votes,%,Votes
,9,Nagaon,Pradyut Bordoloi,,INC,50.9,"7,88,850",Suresh Borah,,BJP,"5,76,619",37.2,212231
,10,Kaziranga,Kamakhya Prasad Tasa,,BJP,55,"8,97,043",Roselina Tirkey,,INC,"6,48,096",39.8,248947
,11,Sonitpur,Ranjit Dutta,,BJP,60.2,"7,75,788",Premlal Ganju,,INC,"4,14,380",32.2,361408
,12,Lakhimpur,Pradan Baruah,,BJP,54.7,"6,63,122",Uday Shankar Hazarika,,INC,"4,61,865",38.1,"2,01,257"
,13,Dibrugarh,Sarbananda Sonowal,,BJP,54.3,"6,93,762",Lurinjyoti Gogoi,,AJP,"4,14,441",32.4,279321
,14,Jorhat,Gaurav Gogoi,,INC,54,"7,51,771",Topon Kumar Gogoi,,BJP,"6,07,378",43.7,144393
Bihar,1,Valmiki Nagar,Sunil Kumar,,JD(U),47.5,"5,23,422",Deepak Yadav,,RJD,"4,24,747",38.5,98675
,2,Paschim Champaran,Sanjay Jaiswal,,BJP,53.43,"5,80,421",Madan Mohan Tiwari,,INC,"4,43,853",40.86,"1,36,568"
,3,Purvi Champaran,Radha Mohan Singh,,BJP,50.5,"5,42,193",Dr. Rajesh Kumar,,VIP,"4,53,906",42.28,88287
,4,Sheohar,Lovely Anand,,JD(U),45.15,"4,76,612",Ritu Jaiswal,,RJD,"4,47,469",42.39,29143
,5,Sitamarhi,Devesh Chandra Thakur,,JD(U),47.14,"5,15,719",Arjun Ray,,RJD,"4,64,363",42.45,51356
,6,Madhubani,Ashok Kumar Yadav,,BJP,53.85,"5,53,428",Mohammad Ali Ashraf Fatmi,,RJD,"4,01,483",39.07,"1,51,945"
,7,Jhanjharpur,Ramprit Mandal,,JD(U),48.73,"5,33,032",Suman Kumar Mahaseth,,VIP,"3,48,863",31.9,"1,84,169"
,8,Supaul,Dileshwar Kamait,,JD(U),48.33,"5,95,038",Chandrahas Chaupal,,RJD,"4,25,235",34.54,"1,69,803"
