State,Parliamentary Constituency,,,Winner,,,Runner-up,,,Margin,Marginï¿
,No.,Name,Type,Candidate,,Votes (Vote%),Candidate,,Votes (Vote%),,
,18,Kurnool,GEN,Sanjeev Kumar,YSRCP,"6,05,462 (50.85%)",Kotla Jayasurya Prakasha Reddy,TDP,"4,56,395 (38.33%)","1,48,889",0.1252
,19,Anantapur,GEN,Tallari Rangaiah,YSRCP,"6,95,208 (51.57%)",JC Pavan Reddy,TDP,"5,53,780 (41.08%)","1,41,428",0.1049
,20,Hindupur,GEN,Kuruva Gorantla Madhav,YSRCP,"7,06,602 (52.73%)",Kristappa Nimmala,TDP,"5,65,854 (42.33%)","1,40,748",0.104
,21,Kadapa,GEN,Y. S. Avinash Reddy,YSRCP,"7,83,499 (63.41%)",Adi Narayana Reddy,TDP,"4,02,773 (32.6%)","3,80,976",0.3081
,22,Nellore,GEN,Adala Prabhakara Reddy,YSRCP,"6,83,830 (53.04%)",Beeda Masthan Rao,TDP,"5,35,259 (41.52%)","1,48,571",0.1152
,23,Tirupati,(SC),Balli Durga Prasad Rao,YSRCP,"7,22,877 (54.91%)",Panabaka Lakshmi,TDP,"4,94,501 (37.56%)","2,28,376",0.1735
,24,Rajampet,GEN,P. V. Midhun Reddy,YSRCP,"7,02,211 (57.27%)",D K Satyaprabha,TDP,"4,33,927 (35.39%)","2,68,284",0.2188
,25,Chittoor,(SC),N. Reddeppa,YSRCP,"6,86,792 (52.04%)",Naramalli Sivaprasad,TDP,"5,49,521 (41.64%)","1,37,271",0.104
Arunachal Pradesh,1,Arunachal West,(ST),Kiren Rijiju,Bharatiya Janata Party,"2,25,796 (62.02%)",Nabam Tuki,INC,"50,953 (14%)","1,74,843",0.3802
,2,Arunachal East,(ST),Tapir Gao,Bharatiya Janata Party,"1,53,883 (52.04%)",Lowangcha Wanglat,INC,"83,935 (28.38%)",69948,0.2366
Assam,1,Karimganj,(SC),Kripanath Mallah,Bharatiya Janata Party,"4,73,046",Radheshyam Biswas,All India United Democratic Front,"4,34,657",38389,0.0362
,2,Silchar,GEN,Rajdeep Roy,Bharatiya Janata Party,"4,99,414",Sushmita Dev,INC,"4,17,818",81596,0.086
,3,Autonomous District,(ST),Horen Sing Bey,Bharatiya Janata Party,"3,81,316",Biren Singh Engti,INC,"1,41,690","2,39,626",0.3879
,4,Dhubri,GEN,Badruddin Ajmal,All India United Democratic Front,"7,18,764",Abu Taher Bepari,INC,"4,92,506","2,26,258",0.1343
,5,Kokrajhar,(ST),Naba Kumar Sarania,Independent,"4,84,560",Pramila Rani Brahma,Bodoland People's Front,"4,46,774",37786,0.0255
,6,Barpeta,GEN,Abdul Khaleque,INC,"6,45,173",Kumar Deepak Das,Asom Gana Parishad,"5,04,866","1,40,307",0.0962
,7,Gauhati,GEN,Queen Oja,Bharatiya Janata Party,"10,08,936",Bobita Sharma,INC,"6,63,330","3,45,606",0.1959
,8,Mangaldoi,GEN,Dilip Saikia,Bharatiya Janata Party,"7,35,469",Bhubaneswar Kalita,INC,"5,96,924","1,38,545",0.092
,9,Tezpur,GEN,Pallab Lochan Das,Bharatiya Janata Party,"6,84,166",M.G.V.K. Bhanu,INC,"4,41,325","2,42,841",0.204
,10,Nowgong,GEN,Pradyut Bordoloi,INC,"7,39,724",Rupak Sharma,Bharatiya Janata Party,"7,22,972",16752,0.0113
,11,Kaliabor,GEN,Gourav Gogoi,INC,"7,86,092",Moni Madhab Mahanta,Asom Gana Parishad,"5,76,098","2,09,994",0.1474
,12,Jorhat,GEN,Topon Kumar Gogoi,Bharatiya Janata Party,"5,43,288",Sushanta Borgohain,INC,"4,60,635",82653,0.0781
,13,Dibrugarh,(GEN),Rameswar Teli,Bharatiya Janata Party,"6,59,583",Paban Singh Ghatowar,INC,"2,95,017","3,64,566",0.359
,14,Lakhimpur,GEN,Pradan Baruah,Bharatiya Janata Party,"7,76,406",Anil Borgohain,INC,"4,25,855","3,50,551",0.2731
