State,Parliamentary Constituency,,,Winner,,,Runner-up,,,Margin,Marginï¿
,No.,Name,Type,Candidate,,Votes (Vote%),Candidate,,Votes (Vote%),,
,10,Dharmapuri,GEN,Dr S Senthil Kumar,Dravida Munnetra Kazhagam,"5,74,988",Anbumani Ramadoss,Pattali Makkal Katchi,"5,04,235",70753,
,11,Tiruvannamalai,GEN,C. N. Annadurai,Dravida Munnetra Kazhagam,"6,66,272",Agri Krishnamurthy S S,All India Anna Dravida Munnetra Kazhagam,"3,62,085","3,04,187",
,12,Arani,GEN,M. K. Vishnu Prasad,INC,"6,17,760",V. Elumalai,All India Anna Dravida Munnetra Kazhagam,"3,86,954","2,30,806",
,13,Viluppuram,GEN,D. Ravikumar,Dravida Munnetra Kazhagam,"5,59,585",Vadivel Ravanan,Pattali Makkal Katchi,"4,31,517","1,28,068",
,14,Kallakurichi,GEN,Gautham Sigamani Pon,Dravida Munnetra Kazhagam,"7,21,713",Sudhish L K,Desiya Murpokku Dravida Kazhagam,"3,21,794","3,99,919",
,15,Salem,GEN,S. R. Parthiban,Dravida Munnetra Kazhagam,"6,06,302",K. R. S. Saravanan,All India Anna Dravida Munnetra Kazhagam,"4,59,376","1,46,926",
,16,Namakkal,GEN,A.K.P. Chinraj,Dravida Munnetra Kazhagam,"6,26,293",Kaliappan,All India Anna Dravida Munnetra Kazhagam,"3,61,142","2,65,151",
,17,Erode,GEN,A. Ganeshamurthi,Dravida Munnetra Kazhagam,"5,63,591",G. Manimaran,All India Anna Dravida Munnetra Kazhagam,"3,52,973","2,10,618",
,18,Tiruppur,GEN,K. Subbarayan,Communist Party of India,"5,08,725",M. S. M. Anandan,All India Anna Dravida Munnetra Kazhagam,"4,15,357",93368,
,19,Nilgiris,GEN,A. Raja,Dravida Munnetra Kazhagam,"5,47,832",Thiyagarajan M.,All India Anna Dravida Munnetra Kazhagam,"3,42,009","2,05,823",
,20,Coimbatore,GEN,P.R. Natarajan,Communist Party of India (Marxist),"5,71,150",C. P. Radhakrishnan,Bharatiya Janata Party,"3,92,007","1,79,143",
,21,Pollachi,GEN,K. Shamugasundaram,Dravida Munnetra Kazhagam,"5,54,230",C. Mahendran,All India Anna Dravida Munnetra Kazhagam,"3,78,347","1,75,883",
,22,Dindigul,GEN,P. Veluchamy,Dravida Munnetra Kazhagam,"7,46,523",K. Jothimuthu,Pattali Makkal Katchi,"2,07,551","5,38,972",
,23,Karur,GEN,S.Jothimani,INC,"6,95,697",M. Thambidurai,All India Anna Dravida Munnetra Kazhagam,"2,75,151","4,20,546",
,24,Tiruchirappalli,GEN,Su. Thirunavukkarasar,INC,"6,21,285",V. Elangovan,Desiya Murpokku Dravida Kazhagam,"1,61,999","4,59,286",
,25,Perambalur,GEN,T. R. Paarivendhar,Dravida Munnetra Kazhagam,"6,83,697",N. R. Sivapathi,All India Anna Dravida Munnetra Kazhagam,"2,80,179","4,03,518",
,26,Cuddalore,GEN,T.R.V.S. Ramesh,Dravida Munnetra Kazhagam,"5,22,160",R. Govindasamy,Pattali Makkal Katchi,"3,78,177","1,43,983",
,27,Chidambaram,(SC),Thol. Thirumavalavan,Viduthalai Chiruthaigal Katchi,"5,00,229",Chandrasekar P.,All India Anna Dravida Munnetra Kazhagam,"4,97,010",3219,
,28,Mayiladuthurai,GEN,S. Ramalingam,Dravida Munnetra Kazhagam,"5,99,292",Asaimani S,All India Anna Dravida Munnetra Kazhagam,"3,37,978","2,61,314",
,29,Nagapattinam,(SC),M. Selvaraj,Communist Party of India,"5,22,892",M. Saravanan,All India Anna Dravida Munnetra Kazhagam,"3,11,539","2,11,353",
,30,Thanjavur,(SC),S S Palanimanickam,Dravida Munnetra Kazhagam,"5,88,978",N. V. Natarajan,Tamil Maanila Congress (M),"2,20,849","3,68,129",
,31,Sivaganga,GEN,Karti P Chidambaram,INC,"5,66,104",H. Raja,Bharatiya Janata Party,"2,33,860","3,32,244",
,32,Madurai,GEN,S. Venkatesan,Communist Party of India (Marxist),"4,47,075",Raj Satyen V. V. R.,All India Anna Dravida Munnetra Kazhagam,"3,07,680","1,39,395",
,33,Theni,GEN,P. Raveendranath Kumar,All India Anna Dravida Munnetra Kazhagam,"5,04,813",E. V. K. S. Elangovan,INC,"4,28,120",76693,
,34,Virudhunagar,GEN,Manickam Tagore,INC,"4,70,883",Alagarsamy,Desiya Murpokku Dravida Kazhagam,"3,16,329","1,54,554",
,35,Ramanathapuram,GEN,Navaskani,Indian Union Muslim League,"4,69,943",Nainar Nagendran,Bharatiya Janata Party,"3,42,821","1,27,122",
,36,Thoothukkudi,GEN,Kanimozhi,Dravida Munnetra Kazhagam,"5,63,143",Tamilisai Soundararajan,Bharatiya Janata Party,"2,15,934","3,47,209",
,37,Tenkasi,GEN,Dhanush M. Kumar,Dravida Munnetra Kazhagam,"4,76,156",K. Krishnasamy,All India Anna Dravida Munnetra Kazhagam,"3,55,870","1,20,286",
,38,Tirunelveli,GEN,S. Gnanathiraviam,Dravida Munnetra Kazhagam,"5,22,623",P. H. Paul Manoj Pandian,All India Anna Dravida Munnetra Kazhagam,"3,37,166","1,85,457",
,39,Kanyakumari,GEN,H. Vasanthakumar,INC,"6,27,235",Pon Radhakrishnan,Bharatiya Janata Party,"3,67,302","2,59,933",
Telangana,1,Adilabad,(ST),Soyam Bapu Rao,Bharatiya Janata Party,"3,77,374",Godam Nagesh,Telangana Rashtra Samithi,"3,18,814",58560,
,2,Peddapalli,(SC),Venkatesh Netha Borlakunta,Telangana Rashtra Samithi,"4,41,321",Agam Chandrasekhar,INC,"3,46,141",95180,
,3,Karimnagar,GEN,Bandi Sanjay Kumar,Bharatiya Janata Party,"4,98,276",Boianapalli Vinod Kumar,Telangana Rashtra Samithi,"4,08,768",89508,
,4,Nizamabad,GEN,Arvind Dharmapuri,Bharatiya Janata Party,"4,80,584",Kalvakuntla Kavitha,Telangana Rashtra Samithi,"4,09,709",70875,
,5,Zahirabad,GEN,B. B. Patil,Telangana Rashtra Samithi,"4,34,244",Madan Mohan Rao,INC,"4,28,015",6229,
,6,Medak,GEN,Kotha Prabhakar Reddy,Telangana Rashtra Samithi,"5,96,048",Anil Kumar Gali,INC,"2,79,621","3,16,427",
,7,Malkajgiri,GEN,Anumula Revanth Reddy,INC,"6,03,748",Marri Rajasekhar Reddy,Telangana Rashtra Samithi,"5,92,829",10919,
,8,Secunderabad,GEN,G. Kishan Reddy,Bharatiya Janata Party,"3,84,780",Talasani Sai Kiran Yadav,Telangana Rashtra Samithi,"3,22,666",62114,
,9,Hyderabad,GEN,Asaduddin Owaisi,All India Majlis-e-Ittehadul Muslimeen,"5,17,471",Bhagavanth Rao,Bharatiya Janata Party,"2,35,285","2,82,186",
,10,Chevella,GEN,G. Ranjith Reddy,Telangana Rashtra Samithi,"5,28,148",Konda Vishweshwar Reddy,INC,"5,13,831",14317,
,11,Mahbubnagar,GEN,Manne Srinivas Reddy,Telangana Rashtra Samithi,"4,11,402",D. K. Aruna,Bharatiya Janata Party,"3,33,573",77829,
,12,Nagarkurnool,(SC),Pothuganti Ramulu,Telangana Rashtra Samithi,"4,99,672",Mallu Ravi,INC,"3,09,924","1,89,748",
,13,Nalgonda,GEN,Nalamada Uttam Kumar Reddy,INC,"5,26,028",Vemireddy Narasimha Reddy,Telangana Rashtra Samithi,"5,00,346",25682,
,14,Bhongir,GEN,Komatireddy Venkat Reddy,INC,"5,32,795",Boora Narsaiah Goud,Telangana Rashtra Samithi,"5,27,576",5219,
,15,Warangal,(SC),Dayakar Pasunoori,Telangana Rashtra Samithi,"6,12,498",Dommati Sambaiah,INC,"2,62,200","3,50,298",
,16,Mahabubabad,(ST),Kavitha Maloth,Telangana Rashtra Samithi,"4,62,109",Balaram Naik Porika,INC,"3,15,446","1,46,663",
,17,Khammam,GEN,Nama Nageswara Rao,Telangana Rashtra Samithi,"5,67,459",Renuka Chowdhury,INC,"3,99,397","1,68,062",
Tripura,1,Tripura West,GEN,Pratima Bhowmik,Bharatiya Janata Party,"5,73,532",Subal Bhowmick,INC,"2,67,843","3,05,689",
,2,Tripura East,(ST),Rebati Tripura,Bharatiya Janata Party,"4,82,126",Pragya Deb Burman,INC,"2,77,836","2,04,290",
Uttar Pradesh,1,Saharanpur,GEN,Haji Fazlur Rehman,Bahujan Samaj Party,"5,14,139",Raghav Lakhanpal,Bharatiya Janata Party,"4,91,722",22417,
,2,Kairana,GEN,Pradeep Kumar Choudhary,Bharatiya Janata Party,"5,66,961",Begum Tabassum Hasan,Samajwadi Party,"4,74,801",92160,
,3,Muzaffarnagar,GEN,Sanjeev Kumar Balyan,Bharatiya Janata Party,"5,73,780",Ajit Singh,Rashtriya Lok Dal,"5,67,254",6526,
,4,Bijnor,GEN,Malook Nagar,Bahujan Samaj Party,"5,61,045",Bharatendra Singh,Bharatiya Janata Party,"4,91,104",69941,
,5,Nagina,(SC),Girish Chandra,Bahujan Samaj Party,"5,68,378",Yashwant Singh,Bharatiya Janata Party,"4,01,546","1,66,832",
,6,Moradabad,GEN,S. T. Hasan,Samajwadi Party,"6,49,416",Kunwar Sarvesh Kumar Singh,Bharatiya Janata Party,"5,51,538",97878,
,7,Rampur,GEN,Azam Khan,Samajwadi Party,"5,59,177",Jaya Prada,Bharatiya Janata Party,"4,49,180","1,09,997",
,8,Sambhal,GEN,Shafiqur Rehman Barq,Samajwadi Party,"6,58,006",Parameshwar Lal Saini,Bharatiya Janata Party,"4,83,180","1,74,826",
,9,Amroha,GEN,Kunwar Danish Ali,Bahujan Samaj Party,"6,01,082",Kanwar Singh Tanwar,Bharatiya Janata Party,"5,37,834",63248,
,10,Meerut,GEN,Rajendra Agrawal,Bharatiya Janata Party,"5,86,184",Hazi Mohammad Yakoob,Bahujan Samaj Party,"5,81,455",4729,
,11,Baghpat,GEN,Satya Pal Singh,Bharatiya Janata Party,"5,25,789",Jayant Chaudhary,Rashtriya Lok Dal,"5,02,287",23502,
,12,Ghaziabad,GEN,General Vijay Kumar Singh,Bharatiya Janata Party,"9,44,503",Suresh Bansal,Samajwadi Party,"4,43,003","5,01,500",
,13,Gautam Buddh Nagar,GEN,Mahesh Sharma,Bharatiya Janata Party,"8,30,812",Satveer Singh Gurjar,Bahujan Samaj Party,"4,93,890","3,36,922",
,14,Bulandshahr,(SC),Bhola Singh,Bharatiya Janata Party,"6,81,321",Yogesh Verma,Bahujan Samaj Party,"3,91,264","2,90,057",
,15,Aligarh,GEN,Satish Kumar Gautam,Bharatiya Janata Party,"6,56,215",Ajeet Baliyan,Bahujan Samaj Party,"4,26,954","2,29,261",
,16,Hathras,(SC),Rajvir Singh Diler,Bharatiya Janata Party,"6,84,299",Ram Ji Lal Suman,Samajwadi Party,"4,24,091","2,60,208",
,17,Mathura,GEN,Hema Malini,Bharatiya Janata Party,"6,71,293",Kunwar Narendra Singh,Rashtriya Lok Dal,"3,77,822","2,93,471",
,18,Agra,(SC),Satya Pal Singh Baghel,Bharatiya Janata Party,"6,46,875",Manoj Kumar Soni,Bahujan Samaj Party,"4,35,329","2,11,546",
,19,Fatehpur Sikri,GEN,Rajkumar Chahar,Bharatiya Janata Party,"6,67,147",Raj Babbar,INC,"1,72,082","4,95,065",
,20,Firozabad,GEN,Chandra Sen Jadon,Bharatiya Janata Party,"4,95,819",Akshay Yadav,Samajwadi Party,"4,67,038",28781,
,21,Mainpuri,GEN,Mulayam Singh Yadav,Samajwadi Party,"5,24,926",Prem Singh Shakya,Bharatiya Janata Party,"4,30,537",94389,
,22,Etah,GEN,Rajveer Singh,Bharatiya Janata Party,"5,45,348",Devendra Singh Yadav,Samajwadi Party,"4,22,678","1,22,670",
,23,Badaun,GEN,Sanghmitra Maurya,Bharatiya Janata Party,"5,11,352",Dharmendra Yadav,Samajwadi Party,"4,92,898",18454,
,24,Aonla,GEN,Dharmendra Kashyap,Bharatiya Janata Party,"5,37,675",Ruchi Veera,Bahujan Samaj Party,"4,23,932","1,13,743",
,25,Bareilly,GEN,Santosh Kumar Gangwar,Bharatiya Janata Party,"5,65,270",Bhagwat Saran Gangwar,Samajwadi Party,"3,97,988","1,67,282",
,26,Pilibhit,GEN,Varun Gandhi,Bharatiya Janata Party,"7,04,549",Hemraj Verma,Samajwadi Party,"4,48,922","2,55,627",
,27,Shahjahanpur,(SC),Arun Kumar Sagar,Bharatiya Janata Party,"6,88,990",Amar Chandra Jauhar,Bahujan Samaj Party,"4,20,572","2,68,418",
,28,Kheri,GEN,Ajay Kumar Mishra,Bharatiya Janata Party,"6,09,589",Purvi Verma,Samajwadi Party,"3,90,782","2,18,807",
,29,Dhaurahra,GEN,Rekha Verma,Bharatiya Janata Party,"5,12,905",Arshad Iliyas Siddiqui,Bahujan Samaj Party,"3,52,294","1,60,611",
,30,Sitapur,GEN,Rajesh Verma,Bharatiya Janata Party,"5,14,528",Nakul Dubey,Bahujan Samaj Party,"4,13,695","1,00,833",
,31,Hardoi,(SC),Jai Prakash Rawat,Bharatiya Janata Party,"5,68,143",Usha Verma,Samajwadi Party,"4,35,669","1,32,474",
,32,Misrikh,(SC),Ashok Kumar Rawat,Bharatiya Janata Party,"5,34,429",Neelu Satyarthi,Bahujan Samaj Party,"4,33,757","1,00,672",
,33,Unnao,GEN,Sakshi Maharaj,Bharatiya Janata Party,"7,03,507",Arun Shankar Shukla,Samajwadi Party,"3,02,551","4,00,956",
,34,Mohanlalganj,(SC),Kaushal Kishore,Bharatiya Janata Party,"6,29,748",C. L. Verma,Bahujan Samaj Party,"5,39,519",90229,
,35,Lucknow,GEN,Rajnath Singh,Bharatiya Janata Party,"6,33,026",Poonam Sinha,Samajwadi Party,"2,85,724","3,47,302",
,36,Rae Bareli,GEN,Sonia Gandhi,INC,"5,34,918",Dinesh Pratap Singh,Bharatiya Janata Party,"3,67,740","1,67,178",
,37,Amethi,GEN,Smriti Irani,Bharatiya Janata Party,"4,68,514",Rahul Gandhi,INC,"4,13,394",55120,
,38,Sultanpur,GEN,Maneka Gandhi,Bharatiya Janata Party,"4,59,196",Chandrabhadra Singh,Bahujan Samaj Party,"4,44,670",14526,
,39,Pratapgarh,GEN,Sangam Lal Gupta,Bharatiya Janata Party,"4,36,291",Ashok Tripathi,Bahujan Samaj Party,"3,18,539","1,17,752",
,40,Farrukhabad,GEN,Mukesh Rajput,Bharatiya Janata Party,"5,69,880",Manoj Agarwal,Bahujan Samaj Party,"3,48,178","2,21,702",
,41,Etawah,(SC),Ram Shankar Katheria,Bharatiya Janata Party,"5,22,119",Kamlesh Kumar Katheria,Samajwadi Party,"4,57,682",64437,
,42,Kannauj,GEN,Subrat Pathak,Bharatiya Janata Party,"5,63,087",Dimple Yadav,Samajwadi Party,"5,50,734",12353,
,43,Kanpur Urban,GEN,Satyadev Pachauri,Bharatiya Janata Party,"4,68,937",Sriprakash Jaiswal,INC,"3,13,003","1,55,934",
,44,Akbarpur,GEN,Devendra Singh Bhole,Bharatiya Janata Party,"5,81,282",Nisha Sachan,Bahujan Samaj Party,"3,06,140","2,75,142",
,45,Jalaun,(SC),Bhanu Pratap Singh Verma,Bharatiya Janata Party,"5,81,763",Ajay Singh 'Pankaj',Bahujan Samaj Party,"4,23,386","1,58,377",
,46,Jhansi,GEN,Anurag Sharma,Bharatiya Janata Party,"8,09,272",Shyam Sundar Singh Yadav,Samajwadi Party,"4,43,589","3,65,683",
,47,Hamirpur,GEN,Pushpendra Singh Chandel,Bharatiya Janata Party,"5,75,122",Dilip Kumar Singh,Bahujan Samaj Party,"3,26,470","2,48,652",
,48,Banda,GEN,R. K. Singh Patel,Bharatiya Janata Party,"4,77,926",Shyama Charan Gupta,Samajwadi Party,"4,18,988",58938,
,49,Fatehpur,GEN,Niranjan Jyoti,Bharatiya Janata Party,"5,66,040",Sukhdev Prasad Verma,Bahujan Samaj Party,"3,67,835","1,98,205",
,50,Kaushambi,(SC),Vinod Kumar Sonkar,Bharatiya Janata Party,"3,83,009",Indrajit Saroj,Samajwadi Party,"3,44,287",38722,
,51,Phulpur,GEN,Keshari Devi Patel,Bharatiya Janata Party,"5,44,701",Pandhari Yadav,Samajwadi Party,"3,72,733","1,71,968",
,52,Allahabad,GEN,Rita Bahuguna Joshi,Bharatiya Janata Party,"4,94,454",Rajendra Patel,Samajwadi Party,"3,10,179","1,84,275",
,53,Barabanki,(SC),Upendra Singh Rawat,Bharatiya Janata Party,"5,35,917",Ram Sagar Rawat,Samajwadi Party,"4,25,777","1,10,140",
,54,Faizabad,GEN,Lallu Singh,Bharatiya Janata Party,"5,29,021",Anand Sen Yadav,Samajwadi Party,"4,63,544",65477,
,55,Ambedkar Nagar,GEN,Ritesh Pandey,Bahujan Samaj Party,"5,64,118",Mukut Bihari Verma,Bharatiya Janata Party,"4,68,238",95880,
,56,Bahraich,(SC),Akshaybara Lal Gaud,Bharatiya Janata Party,"5,25,982",Shabbir Balmiki,Samajwadi Party,"3,97,230","1,28,752",
,57,Kaiserganj,GEN,Brij Bhushan Sharan Singh,Bharatiya Janata Party,"5,81,358",Chandradev Ram Yadav,Bahujan Samaj Party,"3,19,757","2,61,601",
,58,Shrawasti,GEN,Ram Shiromani Verma,Bahujan Samaj Party,"4,41,771",Daddan Mishra,Bharatiya Janata Party,"4,36,451",5320,
,59,Gonda,GEN,Kirti Vardhan Singh,Bharatiya Janata Party,"5,08,190",Pandit Singh,Samajwadi Party,"3,41,830","1,66,360",
,60,Domariyaganj,GEN,Jagdambika Pal,Bharatiya Janata Party,"4,92,253",Aftab Alam,Bahujan Samaj Party,"3,86,932","1,05,321",
,61,Basti,GEN,Harish Dwivedi,Bharatiya Janata Party,"4,71,162",Ram Prasad Chaudhary,Bahujan Samaj Party,"4,40,808",30354,
,62,Sant Kabir Nagar,GEN,Praveen Kumar Nishad,Bharatiya Janata Party,"4,67,543",Bhishma Shankar Tiwari,Bahujan Samaj Party,"4,31,794",35749,
,63,Maharajganj,GEN,Pankaj Choudhary,Bharatiya Janata Party,"7,26,349",Akhilesh Kumar Singh,Samajwadi Party,"3,85,925","3,40,424",
,64,Gorakhpur,GEN,Ravi Kishan,Bharatiya Janata Party,"7,17,122",Rambhual Nishad,Samajwadi Party,"4,15,458","3,01,664",
,65,Kushi Nagar,GEN,Vijay Kumar Dubey,Bharatiya Janata Party,"5,97,039",Nathuni Prasad Kushwaha,Samajwadi Party,"2,59,479","3,37,560",
,66,Deoria,GEN,Ramapati Ram Tripathi,Bharatiya Janata Party,"5,80,644",Binod Kumar Jaiswal,Bahujan Samaj Party,"3,30,713","2,49,931",
,67,Bansgaon,(SC),Kamlesh Paswan,Bharatiya Janata Party,"5,46,673",Sadal Prasad,Bahujan Samaj Party,"3,93,205","1,53,468",
,68,Lalganj,(SC),Sangeeta Azad,Bahujan Samaj Party,"5,18,820",Neelam Sonkar,Bharatiya Janata Party,"3,57,223","1,61,597",
,69,Azamgarh,GEN,Akhilesh Yadav,Samajwadi Party,"6,21,578",Dinesh Lal Yadav 'Nirahua',Bharatiya Janata Party,"3,61,704","2,59,874",
,70,Ghosi,GEN,Atul Rai,Bahujan Samaj Party,"5,73,829",Harinarayan Rajbhar,Bharatiya Janata Party,"4,51,261","1,22,568",
,71,Salempur,GEN,Ravindra Kushawaha,Bharatiya Janata Party,"4,67,241",R. S. Kushwaha,Bahujan Samaj Party,"3,54,764","1,12,477",
,72,Ballia,GEN,Virendra Singh Mast,Bharatiya Janata Party,"4,69,114",Sanatan Pandey,Samajwadi Party,"4,53,595",15519,
,73,Jaunpur,GEN,Shyam Singh Yadav,Bahujan Samaj Party,"5,21,128",Krishna Pratap,Bharatiya Janata Party,"4,40,192",80936,
,74,Machhlishahr,(SC),B. P. Saroj,Bharatiya Janata Party,"4,88,397",Tribhuvan Ram,Bahujan Samaj Party,"4,88,216",181,
,75,Ghazipur,GEN,Afzal Ansari,Bahujan Samaj Party,"5,66,082",Manoj Sinha,Bharatiya Janata Party,"4,46,690","1,19,392",
,76,Chandauli,GEN,Mahendra Nath Pandey,Bharatiya Janata Party,"5,10,733",Sanjay Singh Chauhan,Samajwadi Party,"4,96,774",13959,
,77,Varanasi,GEN,Narendra Modi,Bharatiya Janata Party,"6,74,664",Shalini Yadav,Samajwadi Party,"1,95,159","4,79,505",
,78,Bhadohi,GEN,Ramesh Chand Bind,Bharatiya Janata Party,"5,10,029",Rangnath Mishra,Bahujan Samaj Party,"4,66,414",43615,
,79,Mirzapur,GEN,Anupriya Patel,Apna Dal (Sonelal),"5,91,564",Ram Charitra Nishad,Samajwadi Party,"3,59,556","2,32,008",
,80,Robertsganj,(SC),Pakauri Lal,Apna Dal (Sonelal),"4,47,914",Bhai Lal,Samajwadi Party,"3,93,578",54336,
Uttarakhand,1,Tehri Garhwal,GEN,Mala Rajya Laxmi Shah,BJP,"5,65,333",Pritam Singh,INC,"2,64,747","3,00,586",
,2,Garhwal,GEN,Tirath Singh Rawat,BJP,"5,06,980",Manish Khanduri,INC,"2,04,311","3,02,669",
,3,Almora,(SC),Ajay Tamta,BJP,"4,44,651",Pradeep Tamta,INC,"2,11,665","2,32,986",
,4,Nainitalï¿½ï¿½ï¿½Udhamsin,GEN,Ajay Bhatt,BJP,"7,72,195",Harish Rawat,INC,"4,33,099","3,39,096",
,5,Haridwar,GEN,Ramesh Pokhriyal,BJP,"6,65,674",Ambrish Kumar,INC,"4,06,945","2,58,729",
West Bengal,1,Cooch Behar,(SC),Nisith Pramanik,BJP,"7,31,594",Adhikari Paresh Chandra,TMC,"6,77,363",54231,
,2,Alipurduars,(SC),John Barla,BJP,"7,50,804",Dasrath Tirkey,TMC,"5,06,815","2,43,989",
,3,Jalpaiguri,(SC),Jayanta Kumar Roy,BJP,"7,60,145",Bijoy Chandra Barman,TMC,"5,76,141","1,84,004",
,4,Darjeeling,GEN,Raju Singh Bisht,BJP,"7,50,067",Amar Singh Rai,TMC,"3,36,624","4,13,443",
,5,Raiganj,GEN,Debasree Chaudhuri,BJP,"5,11,652",Kanaiyalal Agarwal,TMC,"4,51,078",60574,
,6,Balurghat,GEN,Sukanta Majumder,BJP,"5,39,317",Arpita Ghosh,TMC,"5,06,024",33293,
,7,Maldaha Uttar,GEN,Khagen Murmu,BJP,"5,09,524",Mausam Noor,TMC,"4,25,236",84288,
,8,Maldaha Dakshin,GEN,Abu Hasem Khan Choudhury,INC,"4,44,270",Sreerupa Mitra Chaudhury,BJP,"4,36,048",8222,
,9,Jangipur,GEN,Khalilur Rahman,TMC,"5,62,838",Mafuja Khatun,BJP,"3,17,056","2,45,782",
,10,Baharampur,GEN,Adhir Ranjan Chowdhury,INC,"5,91,106",Apurba Sarkar,TMC,"5,10,410",80696,
,11,Murshidabad,GEN,Abu Taher Khan,TMC,"6,04,346",Abu Hena,INC,"3,77,929","2,26,417",
,12,Krishnanagar,GEN,Mahua Moitra,TMC,"6,14,872",Kalyan Chaubey,BJP,"5,51,654",63218,
,13,Ranaghat,(SC),Jagannath Sarkar,BJP,"7,83,253",Rupali Biswas,TMC,"5,49,825","2,33,428",
,14,Bangaon,(SC),Shantanu Thakur,BJP,"6,87,622",Mamata Bala Thakur,TMC,"5,76,028","1,11,594",
,15,Barrackpore,GEN,Arjun Singh,BJP,"4,72,994",Dinesh Trivedi,TMC,"4,58,137",14857,
,16,Dum Dum,GEN,Saugata Roy,TMC,"5,12,062",Samik Bhattacharya,BJP,"4,59,060",53002,
,17,Barasat,GEN,Kakali Ghosh Dastidar,TMC,"6,48,084",Mrinal Kanti Debnath,BJP,"5,38,101","1,09,983",
,18,Basirhat,GEN,Nusrat Jahan,TMC,"7,82,078",Sayantan Basu,BJP,"4,31,709","3,50,369",
,19,Jaynagar,(SC),Pratima Mondal,TMC,"7,61,202",Ashok Kandary,BJP,"4,44,427","3,16,775",
,20,Mathurapur,(SC),Choudhury Mohan Jatua,TMC,"7,26,828",Shyama Prasad Halder,BJP,"5,22,854","2,03,974",
,21,Diamond Harbour,GEN,Abhishek Banerjee,TMC,"7,91,127",Nilanjan Roy,BJP,"4,70,533","3,20,594",
,22,Jadavpur,GEN,Mimi Chakraborty,TMC,"6,88,472",Anupam Hazra,BJP,"3,93,233","2,95,239",
,23,Kolkata Dakshin,GEN,Mala Roy,TMC,"5,73,119",Chandra Kumar Bose,BJP,"4,17,927","1,55,192",
,24,Kolkata Uttar,GEN,Sudip Bandyopadhyay,TMC,"4,74,891",Rahul Sinha,BJP,"3,47,796","1,27,095",
,25,Howrah,GEN,Prasun Banerjee,TMC,"5,76,711",Rantidev Sen Gupta,BJP,"4,73,016","1,03,695",
,26,Uluberia,GEN,Sajda Ahmed,TMC,"6,94,945",Joy Banerjee,BJP,"4,79,586","2,15,359",
,27,Serampore,GEN,Kalyan Banerjee,TMC,"6,37,707",Debjit Sarkar,BJP,"5,39,171",98536,
,28,Hooghly,GEN,Locket Chatterjee,BJP,"6,71,448",Ratna De,TMC,"5,98,086",73362,
,29,Arambagh,(SC),Aparupa Poddar,TMC,"6,49,929",Tapan Kumar Ray,BJP,"6,48,787",1142,
,30,Tamluk,GEN,Dibyendu Adhikari,TMC,"7,24,433",Sidhartha Shankar Naskar,BJP,"5,34,268","1,90,165",
,31,Kanthi,GEN,Sisir Adhikari,TMC,"7,11,872",Debasish Samanta,BJP,"6,00,204","1,11,668",
,32,Ghatal,GEN,Deepak Adhikari (Dev),TMC,"7,17,959",Bharati Ghosh,BJP,"6,09,986","1,07,973",
,33,Jhargram,(ST),Kumar Hembram,BJP,"6,26,583",Birbaha Saren,TMC,"6,14,816",11767,
,34,Medinipur,GEN,Dilip Ghosh,BJP,"6,85,433",Manas Bhunia,TMC,"5,96,481",88952,
,35,Purulia,GEN,Jyotirmoy Singh Mahato,BJP,"6,68,107",Mriganko Mahato,TMC,"4,63,375","2,04,732",
,36,Bankura,GEN,Subhash Sarkar,BJP,"6,75,319",Subrata Mukherjee,TMC,"5,00,986","1,74,333",
,37,Bishnupur,(SC),Saumitra Khan,BJP,"6,57,019",Shyamal Santra,TMC,"5,78,972",78047,
,38,Bardhaman Purba,(SC),Sunil Kumar Mondal,TMC,"6,40,834",Paresh Chandra Das,BJP,"5,51,523",89311,
,39,Bardhaman-Durgapur,GEN,S. S. Ahluwalia,BJP,"5,98,376",Mamtaz Sanghamita,TMC,"5,95,937",2439,
,40,Asansol,GEN,Babul Supriyo,BJP,"6,33,378",Moon Moon Sen,TMC,"4,35,741","1,97,637",
,41,Bolpur,(SC),Asit Kumar Mal,TMC,"6,99,171",Ramprasad Das,BJP,"5,92,769","1,06,402",
,42,Birbhum,GEN,Shatabdi Roy,TMC,"6,54,077",Dudh Kumar Mondal,BJP,"5,65,153",88924,
