State,Parliamentary Constituency,,,Winner,,,,Runner-up,,,,Margin
,No.,Name,Type,Candidate,Party,,Votes,Candidate,Party,,Votes,
,33,Medak,GEN,A. Narendra,,Telangana Rashtra Samithi,"4,53,738",P Ramachandra Reddy,,Bharatiya Janata Party,"3,29,972","1,23,766"
,34,Nizamabad,GEN,Madhu Goud Yaskhi,,Indian National Congress,"4,42,142",Syed Yousuf Ali,,Telugu Desam Party,"3,04,271","1,37,871"
,35,Adilabad,GEN,Madhusudhan Reddy Takkala,,Telangana Rashtra Samithi,"4,15,429",Samudrala Venugopal Chary,,Telugu Desam Party,"3,74,455","40,974"
,36,Peddapalli,(SC),Gaddam Venkatswamy,,Indian National Congress,"5,72,207",C Suguna Kumari,,Telugu Desam Party,"3,09,072","2,63,135"
,37,Karimnagar,GEN,K. Chandrashekar Rao,,Telangana Rashtra Samithi,"4,51,199",Chennamaneni Vidyasagar Rao,,Bharatiya Janata Party,"3,20,031","1,31,168"
,38,Hanamkonda,GEN,Boianapalli Vinod Kumar,,Telangana Rashtra Samithi,"4,96,048",Chada Suresh Reddy,,Telugu Desam Party,"2,78,981","2,17,067"
,39,Warangal,GEN,Dharavath Ravinder Naik,,Telangana Rashtra Samithi,"4,27,601",Bodakunti Venkateshwarlu,,Telugu Desam Party,"4,08,339","19,262"
,40,Khammam,GEN,Renuka Chowdhury,,Indian National Congress,"5,18,047",Nama Nageswara Rao,,Telugu Desam Party,"4,09,159","1,08,888"
,41,Nalgonda,GEN,Suravaram Sudhakar Reddy,,Communist Party of India,"4,79,511",Nallu Indrasena Reddy,,Bharatiya Janata Party,"4,23,360","56,151"
,42,Miryalguda,GEN,Jaipal Reddy,,Indian National Congress,"5,72,169",Vangala Swamy Goud,,Telugu Desam Party,"3,55,262","2,16,907"
Arunachal Pradesh,1,Arunachal West,GEN,Kiren Rijiju,,Bharatiya Janata Party,"1,23,951",Kamen Ringu,,Arunachal Congress,"76,527","47,424"
,2,Arunachal East,GEN,Tapir Gao,,Bharatiya Janata Party,"83,335",Wangcha Rajkumar,,Indian National Congress,"38,341","44,994"
Assam,1,Karimganj,(SC),Lalit Mohan Suklabaidya,,Indian National Congress,"3,21,059",Parimal Suklabaidya,,Bharatiya Janata Party,"2,29,111","91,948"
,2,Silchar,GEN,Santosh Mohan Dev,,Indian National Congress,"2,46,215",Kabindra Purkayastha,,Bharatiya Janata Party,"2,24,895","21,320"
,3,Autonomous District,(ST),Biren Sing Engti,,Indian National Congress,"1,25,937",Elwin Teron,,Autonomous State Demand Committee,"1,01,808","24,129"
,4,Dhubri,GEN,Anwar Hussain,,Indian National Congress,"3,76,588",Afzalur Rahman,,Asom Gana Parishad,"2,59,966","1,16,622"
,5,Kokrajhar,(ST),Sansuma Khunggur Bwiswmuthiary,,Independent,"6,89,620",Sabda Ram Rabha,,Independent,"2,05,491","4,84,129"
,6,Barpeta,GEN,A. F. Golam Osmani,,Indian National Congress,"2,66,972",Kumar Deepak Das,,Asom Gana Parishad,"1,98,847","68,125"
,7,Gauhati,GEN,Kirip Chaliha,,Indian National Congress,"3,53,250",Bhupen Hazarika,,Bharatiya Janata Party,"2,92,099","61,151"
,8,Mangaldoi,GEN,Narayan Chandra Borkataky,,Bharatiya Janata Party,"3,45,863",Madhab Rajbangshi,,Indian National Congress,"3,15,997","29,866"
,9,Tezpur,GEN,Moni Kumar Subba,,Indian National Congress,"2,89,847",Padma Hazarika,,Asom Gana Parishad,"2,19,402","70,445"
,10,Nowgong,GEN,Rajen Gohain,,Bharatiya Janata Party,"3,42,704",Bisnu Prasad,,Indian National Congress,"3,11,292","31,412"
,11,Kaliabor,GEN,Dip Gogoi,,Indian National Congress,"3,01,893",Keshab Mahanta,,Asom Gana Parishad,"2,34,695","67,198"
,12,Jorhat,GEN,Bijoy Krishna Handique,,Indian National Congress,"2,23,624",Drupad Borgohain,,Communist Party of India,"1,72,332","51,292"
,13,Dibrugarh,GEN,Sarbananda Sonowal,,Asom Gana Parishad,"2,20,944",Kamakhya Prasad Tasa,,Bharatiya Janata Party,"2,02,390","18,554"
,14,Lakhimpur,GEN,Arun Kumar Sarmah,,Asom Gana Parishad,"3,00,865",Ranee Narah,,Indian National Congress,"2,72,717","28,148"
Bihar,1,Bagaha,(SC),Kailash Baitha,,Janata Dal (United),"2,37,989",Hiralal Ram,,Lok Janshakti Party,"1,72,614","65,375"
,2,Bettiah,GEN,Raghunath Jha,,Rashtriya Janata Dal,"2,11,590",Madan Prasad Jaiswal,,Bharatiya Janata Party,"1,86,919","24,671"
,3,Motihari,GEN,Akhilesh Prasad Singh,,Rashtriya Janata Dal,"3,48,596",Radha Mohan Singh,,Bharatiya Janata Party,"2,51,572","97,024"
,4,Gopalganj,GEN,Anirudh Prasad Yadav,,Rashtriya Janata Dal,"3,36,016",Prabhu Dayal Singh,,Janata Dal (United),"1,43,097","1,92,919"
,5,Siwan,GEN,Mohammad Shahabuddin,,Rashtriya Janata Dal,"3,17,511",Om Prakash Yadav,,Janata Dal (United),"2,13,933","1,03,578"
,6,Maharajganj,GEN,Prabhunath Singh,,Janata Dal (United),"2,83,506",Jitendra Swami,,Rashtriya Janata Dal,"2,37,041","46,465"
,7,Chapra,GEN,Lalu Prasad Yadav,,Rashtriya Janata Dal,"2,28,882",Rajiv Pratap Rudy,,Bharatiya Janata Party,"1,68,459","60,423"
,8,Hajipur,(SC),Ram Vilas Paswan,,Lok Janshakti Party,"4,77,495",Chhedi Paswan,,Janata Dal (United),"2,39,694","2,37,801"
,9,Vaishali,GEN,Raghuvansh Prasad Singh,,Rashtriya Janata Dal,"3,61,503",Vijay Kumar Shukla,,Independent,"2,55,568","1,05,935"
,10,Muzaffarpur,GEN,George Fernandes,,Janata Dal (United),"3,70,127",Bhagwan Lal Sahani,,Rashtriya Janata Dal,"3,60,434","9,693"
,11,Sitamarhi,GEN,Sitaram Yadav,,Rashtriya Janata Dal,"3,26,165",Nawal Kishore Rai,,Janata Dal (United),"2,28,160","98,005"
,12,Sheohar,GEN,Sitaram Singh,,Rashtriya Janata Dal,"3,03,243",Mohammad Anwarul Haque,,Bharatiya Janata Party,"2,29,360","73,883"
,13,Madhubani,GEN,Shakeel Ahmad,,Indian National Congress,"3,28,182",Hukmdev Narayan Yadav,,Bharatiya Janata Party,"2,41,103","87,079"
,14,Jhanjharpur,GEN,Devendra Prasad Yadav,,Rashtriya Janata Dal,"3,23,400",Jagannath Mishra,,Janata Dal (United),"3,10,565","12,835"
,15,Darbhanga,GEN,Ali Ashraf Fatmi,,Rashtriya Janata Dal,"4,27,672",Kirti Azad,,Bharatiya Janata Party,"2,84,209","1,43,463"
,16,Rosera,(SC),Ram Chandra Paswan,,Lok Janshakti Party,"3,94,240",Dasai Chowdhary,,Janata Dal (United),"2,55,829","1,38,411"
,17,Samastipur,GEN,Alok Kumar Mehta,,Rashtriya Janata Dal,"4,37,457",Ram Chandra Singh,,Janata Dal (United),"3,10,674","1,26,783"
,18,Barh,GEN,Vijay Krishna,,Rashtriya Janata Dal,"4,26,856",Nitish Kumar,,Janata Dal (United),"3,89,168","37,688"
,19,Balia,GEN,Surajbhan Singh,,Lok Janshakti Party,"2,33,869",Shatrughna Prasad Singh,,Communist Party of India,"1,57,642","76,227"
,20,Saharsa,GEN,Ranjeet Ranjan,,Lok Janshakti Party,"3,50,426",Dinesh Chandra Yadav,,Janata Dal (United),"3,19,639","30,787"
,21,Madhepura,GEN,Lalu Prasad Yadav,,Rashtriya Janata Dal,"3,44,301",Sharad Yadav,,Janata Dal (United),"2,74,314","69,987"
,22,Araria,(SC),Sukdeo Paswan,,Bharatiya Janata Party,"2,16,677",Ramji Das Rishideo,,Samajwadi Party,"1,88,933","27,744"
,23,Kishanganj,GEN,Mohammed Taslimuddin,,Rashtriya Janata Dal,"4,20,331",Syed Shahnawaz Hussain,,Bharatiya Janata Party,"2,59,834","1,60,497"
,24,Purnea,GEN,Uday Singh,,Bharatiya Janata Party,"2,44,426",Rajesh Ranjan,,Lok Janshakti Party,"2,31,543","12,883"
,25,Katihar,GEN,Nikhil Kumar Choudhary,,Bharatiya Janata Party,"2,88,922",Tariq Anwar,,Nationalist Congress Party,"2,86,357","2,565"
,26,Banka,GEN,Giridhari Yadav,,Rashtriya Janata Dal,"3,39,880",Digvijay Singh,,Janata Dal (United),"3,35,211","4,669"
,27,Bhagalpur,GEN,Sushil Kumar Modi,,Bharatiya Janata Party,"3,45,151",Subodh Ray,,Communist Party of India (Marxist),"2,27,298","1,17,853"
,28,Khagaria,GEN,Rabindra Kumar Rana,,Rashtriya Janata Dal,"3,22,440",Renu Kumari Singh,,Janata Dal (United),"2,55,317","67,123"
,29,Monghyr,GEN,Jay Prakash Narayan Yadav,,Rashtriya Janata Dal,"4,53,286",Monazir Hassan,,Janata Dal (United),"3,37,359","1,15,927"
,30,Begusarai,GEN,Rajiv Ranjan Singh,,Janata Dal (United),"3,01,562",Krishna Sahi,,Indian National Congress,"2,81,071","20,491"
,31,Nalanda,GEN,Nitish Kumar,,Janata Dal (United),"4,71,310",Kumar Pushpanjay,,Lok Janshakti Party,"3,68,914","1,02,396"
,32,Patna,GEN,Ram Kripal Yadav,,Rashtriya Janata Dal,"4,33,853",C. P. Thakur,,Bharatiya Janata Party,"3,95,291","38,562"
,33,Arrah,GEN,Kanti Singh,,Rashtriya Janata Dal,"2,99,422",Ram Naresh Ram,,Communist Party of India (Marxist���Leninist) Li,"1,49,679","1,49,743"
,34,Buxar,GEN,Lalmuni Chaubey,,Bharatiya Janata Party,"2,05,980",Dadan Singh Yadav,,Independent,"1,51,114","54,866"
,35,Sasaram,(SC),Meira Kumar,,Indian National Congress,"4,16,673",Muni Lall,,Bharatiya Janata Party,"1,58,411","2,58,262"
,36,Bikramganj,GEN,Ajit Kumar Singh,,Janata Dal (United),"3,05,363",Ram Prasad Singh,,Rashtriya Janata Dal,"2,46,575","58,788"
,37,Aurangabad,GEN,Nikhil Kumar,,Indian National Congress,"2,90,009",Sushil Kumar Singh,,Janata Dal (United),"2,82,549","7,460"
,38,Jahanabad,GEN,Ganesh Prasad Singh,,Rashtriya Janata Dal,"4,00,063",Arun Kumar,,Janata Dal (United),"3,53,625","46,438"
,39,Nawada,(SC),Virchandra Paswan,,Rashtriya Janata Dal,"4,89,992",Sanjay Paswan,,Bharatiya Janata Party,"4,33,986","56,006"
,40,Gaya,(SC),Rajesh Kumar Manjhi,,Rashtriya Janata Dal,"4,64,829",Balbir Chand,,Bharatiya Janata Party,"3,61,895","1,02,934"
Chandigarh,1,Chandigarh,GEN,Pawan Kumar Bansal,,Indian National Congress,"1,39,880",Satya Pal Jain,,Bharatiya Janata Party,"94,632","45,248"
Chhattisgarh,1,Surguja,(ST),Nand Kumar Sai,,Bharatiya Janata Party,"3,57,108",Khelsai Singh,,Indian National Congress,"2,53,656","1,03,452"
,2,Raigarh,(ST),Vishnu Deo Sai,,Bharatiya Janata Party,"3,29,057",Rampukar Singh,,Indian National Congress,"2,92,326","36,731"
,3,Janjgir,GEN,Karuna Shukla,,Bharatiya Janata Party,"3,03,655",Charan Das Mahant,,Indian National Congress,"2,92,326","11,329"
,4,Bilaspur,(SC),Punnulal Mohle,,Bharatiya Janata Party,"3,24,729",Basant Pahre,,Indian National Congress,"2,43,176","81,553"
,5,Sarangarh,(SC),Guharam Ajgalle,,Bharatiya Janata Party,"2,42,575",Parasram Bhardwaj,,Indian National Congress,"1,83,457","59,118"
,6,Raipur,GEN,Ramesh Bais,,Bharatiya Janata Party,"3,76,029",Shyama Charan Shukla,,Indian National Congress,"2,46,510","1,29,519"
,7,Mahasamund,GEN,Ajit Jogi,,Indian National Congress,"4,14,647",Vidya Charan Shukla,,Bharatiya Janata Party,"2,96,142","1,18,505"
,8,Kanker,(ST),Sohan Potai,,Bharatiya Janata Party,"2,74,294",Ganga Potai Thakur,,Indian National Congress,"2,00,668","73,626"
,9,Bastar,(ST),Baliram Kashyap,,Bharatiya Janata Party,"2,12,893",Mahendra Karma,,Indian National Congress,"1,58,520","54,373"
,10,Durg,GEN,Tarachand Sahu,,Bharatiya Janata Party,"3,82,757",Bhupesh Baghel,,Indian National Congress,"3,21,289","61,468"
,11,Rajnandgaon,GEN,Pradeep Gandhi,,Bharatiya Janata Party,"3,14,520",Devwrat Singh,,Indian National Congress,300197,"14,323"
Dadra and Nagar Haveli,1,Dadra And Nagar Haveli,(ST),Mohanbhai Sanjibhai Delkar,,Bharatiya Navshakti Party,"34,665",Sitaram Gavli,,Indian National Congress,"21,772","12,893"
Daman and Diu,1,Daman and Diu,GEN,Patel Dahyabhai Vallabhbhai,,Indian National Congress,"27,523",Gopalbhai Tandel,,Bharatiya Janata Party,"26,916",607
Delhi,1,New Delhi,GEN,Ajay Maken,,Indian National Congress,"1,05,415",Jagmohan,,Bharatiya Janata Party,"92,631","12,784"
,2,South Delhi,GEN,Vijay Kumar Malhotra,,Bharatiya Janata Party,"2,40,654",R. K. Anand,,Indian National Congress,"2,24,649","16,005"
,3,Outer Delhi,GEN,Sajjan Kumar,,Indian National Congress,"8,55,543",Sahib Singh Verma,,Bharatiya Janata Party,"6,31,753","2,23,790"
,4,East Delhi,GEN,Sandeep Dikshit,,Indian National Congress,"6,69,527",Lal Bihari Tiwari,,Bharatiya Janata Party,"4,39,748","2,29,779"
,5,Chandni Chowk,GEN,Kapil Sibal,,Indian National Congress,"1,27,396",Smriti Irani,,Bharatiya Janata Party,"47,981","79,415"
,6,Delhi Sadar,GEN,Jagdish Tytler,,Indian National Congress,"1,40,073",Vijay Goel,,Bharatiya Janata Party,"1,24,099","15,974"
,7,Karol Bagh,(SC),Krishna Tirath,,Indian National Congress,"1,38,596",Anita Arya,,Bharatiya Janata Party,"1,00,967","37,629"
Goa,1,Panaji,GEN,Shripad Yesso Naik,,Bharatiya Janata Party,"1,44,842",Wilfred de Souza,,Nationalist Congress Party,"88,629","56,213"
,2,Mormugao,GEN,Churchill Alemao,,Indian National Congress,"1,64,432",Ramakant Angle,,Bharatiya Janata Party,"1,13,908","50,524"
Gujarat,1,Kutch,GEN,Pushpdan Gadhavi,,Bharatiya Janata Party,"2,21,057",Shailendrasinh Jadeja,,Indian National Congress,"1,92,067","28,990"
,2,Surendranagar,GEN,Somabhai Gandalal Koli Patel,,Bharatiya Janata Party,"2,19,872",Savshibhai Makwana,,Indian National Congress,"1,85,928","33,944"
,3,Jamnagar,GEN,Vikrambhai Madam,,Indian National Congress,"2,04,468",Chandresh Patel Kordia,,Bharatiya Janata Party,"1,98,875","5,593"
,4,Rajkot,GEN,Vallabhbhai Kathiria,,Bharatiya Janata Party,"3,20,604",Balvantbhai Bachubhai Manvar,,Nationalist Congress Party,"1,76,634","1,43,970"
,5,Porbandar,GEN,Harilal Patel,,Bharatiya Janata Party,"2,29,113",Vitthal Radadiya,,Indian National Congress,"2,23,410","5,703"
,6,Junagadh,GEN,Jashubhai Barad,,Indian National Congress,"3,29,712",Bhavna Chikhalia,,Bharatiya Janata Party,"2,88,791","40,921"
,7,Amreli,GEN,Virjibhai Thummar,,Indian National Congress,"2,20,649",Dileep Sanghani,,Bharatiya Janata Party,"2,18,619","2,030"
,8,Bhavnagar,GEN,Rajendrasinh Rana,,Bharatiya Janata Party,"2,47,336",Gigabhai Gohil,,Indian National Congress,"1,66,910","80,426"
,9,Dhandhuka,(SC),Ratilal Varma,,Bharatiya Janata Party,"2,49,322",Yogendra Makwana,,Indian National Congress,"2,26,528","22,794"
,10,Ahmedabad,GEN,Harin Pathak,,Bharatiya Janata Party,"3,01,853",Rajkumar Gigraj Gupta,,Indian National Congress,"2,24,248","77,605"
,11,Gandhinagar,GEN,L. K. Advani,,Bharatiya Janata Party,"5,16,120",Gabhaji Thakor,,Indian National Congress,"2,98,982","2,17,138"
,12,Mehsana,GEN,Jivabhai Ambalal Patel,,Indian National Congress,"3,39,643",Nitinbhai Patel,,Bharatiya Janata Party,"3,25,132","14,511"
,13,Patan,(SC),Mahesh Kanodia,,Bharatiya Janata Party,"2,73,970",Praveen Rashtrapal,,Indian National Congress,"2,50,346","23,624"
,14,Banaskantha,GEN,Harisinh Chavda,,Indian National Congress,"3,01,148",Haribhai Parthibhai Chaudhary,,Bharatiya Janata Party,"2,94,220","6,928"
,15,Sabarkantha,GEN,Madhusudan Mistry,,Indian National Congress,"3,16,483",Ramilaben Bara,,Bharatiya Janata Party,"2,76,555","39,928"
,16,Kapadvanj,GEN,Shankersinh Vaghela,,Indian National Congress,"3,20,338",Liladhar Vaghela,,Bharatiya Janata Party,"2,40,903","79,435"
,17,Dohad,(ST),Babubhai Khimabhai Katara,,Bharatiya Janata Party,"2,28,154",Prabha Kishor Taviad,,Indian National Congress,"2,27,793",361
,18,Godhra,GEN,Bhupendrasinh Solanki,,Bharatiya Janata Party,"2,95,550",Rajendrasinh Balvantsinh Patel,,Indian National Congress,"2,41,831","53,719"
,19,Kaira,GEN,Dinsha Patel,,Indian National Congress,"2,44,037",Shubhanginiraje Ranjitsinh Gaekwad,,Bharatiya Janata Party,"1,87,288","56,749"
,20,Anand,GEN,Bharatsinh Solanki,,Indian National Congress,"3,07,762",Jayprakash Vaghajibhai Patel,,Bharatiya Janata Party,"2,46,677","61,085"
,21,Chhota Udaipur,(ST),Naranbhai Rathwa,,Indian National Congress,"2,46,855",Ramsinh Rathwa,,Bharatiya Janata Party,"2,10,616","36,239"
,22,Baroda,GEN,Jayaben Thakkar,,Bharatiya Janata Party,"3,16,089",Satyajitsinh Gaekwad,,Indian National Congress,"3,09,486","6,603"
,23,Broach,GEN,Mansukhbhai Vasava,,Bharatiya Janata Party,"2,99,630",Muhammad Patel,,Indian National Congress,"2,27,428","72,202"
,24,Surat,GEN,Kashiram Rana,,Bharatiya Janata Party,"5,08,076",Chandravadanbhai Pithawala,,Indian National Congress,"3,57,513","1,50,563"
,25,Mandvi,(ST),Tushar Amarsinh Chaudhary,,Indian National Congress,"3,86,592",Mansinh Patel,,Bharatiya Janata Party,"2,13,210","1,73,382"
,26,Bulsar,(ST),Kishanbhai Vestabhai Patel,,Indian National Congress,"3,21,769",Manibhai Chaudhary,,Bharatiya Janata Party,"2,77,283","44,486"
Haryana,1,Ambala,(SC),Kumari Selja,,Indian National Congress,"4,15,264",Rattan Lal Kataria,,Bharatiya Janata Party,"1,80,329","2,34,935"
,2,Kurukshetra,GEN,Naveen Jindal,,Indian National Congress,"3,62,054",Abhay Singh Chautala,,Indian National Lok Dal,"2,01,864","1,60,190"
,3,Karnal,GEN,Arvind Kumar Sharma,,Indian National Congress,"3,18,948",Ishwar Dayal Swami,,Bharatiya Janata Party,"1,54,186","1,64,762"
,4,Sonepat,GEN,Kishan Singh Sangwan,,Bharatiya Janata Party,"2,33,477",Dharam Pal Singh Malik,,Indian National Congress,"2,25,908","7,569"
,5,Rohtak,GEN,Bhupinder Singh Hooda,,Indian National Congress,"3,24,235",Captain Abhimanyu,,Bharatiya Janata Party,"1,73,800","1,50,435"
,6,Faridabad,GEN,Avtar Singh Bhadana,,Indian National Congress,"3,57,284",Mohd Ilyas,,Indian National Lok Dal,"2,05,355","1,51,929"
,7,Mahendragarh,GEN,Rao Inderjit Singh,,Indian National Congress,"3,58,714",Sudha Yadav,,Bharatiya Janata Party,"1,48,373","2,10,341"
,8,Bhiwani,GEN,Kuldeep Bishnoi,,Indian National Congress,"2,90,936",Surender Singh,,Haryana Vikas Party,"2,66,532","24,404"
,9,Hisar,GEN,Jai Parkash,,Indian National Congress,"4,07,210",Surender Singh Barwala,,Indian National Lok Dal,"2,24,442","1,82,768"
,10,Sirsa,(SC),Atma Singh Gill,,Indian National Congress,"3,49,397",Sushil Indora,,Indian National Lok Dal,"2,77,922","71,475"
Himachal Pradesh,1,Simla,(SC),Dhani Ram Shandil,,Indian National Congress,"3,11,182",Hira Nand Kashyap,,Bharatiya Janata Party,"2,03,002","1,08,180"
,2,Mandi,GEN,Pratibha Singh,,Indian National Congress,"3,57,623",Maheshwar Singh,,Bharatiya Janata Party,"2,91,057","66,566"
,3,Kangra,GEN,Chander Kumar,,Indian National Congress,"3,14,555",Shanta Kumar,,Bharatiya Janata Party,"2,96,764","17,791"
,4,Hamirpur,GEN,Suresh Chandel,,Bharatiya Janata Party,"3,13,243",Ram Lal Thakur,,Indian National Congress,"3,11,628","1,615"
Jammu and Kashmir,1,Baramulla,GEN,Abdul Rashid Shaheen,,Jammu & Kashmir National Conference,"1,27,653",Nizamuddin Bhat,,Jammu and Kashmir Peoples Democratic Party,"1,17,758","9,895"
,2,Srinagar,GEN,Omar Abdullah,,Jammu & Kashmir National Conference,"98,422",Ghulam Nabi Lone,,Jammu and Kashmir Peoples Democratic Party,"75,263","23,159"
,3,Anantnag,GEN,Mehbooba Mufti,,Jammu and Kashmir Peoples Democratic Party,"74,436",Mirza Mehboob Beg,,Jammu & Kashmir National Conference,"35,498","38,938"
