State,Parliamentary Constituency,,,Winner,,,,Runner-up,,,,Margin
,No.,Name,Type,Candidate,Party,,Votes,Candidate,Party,,Votes,
Andaman and Nicobar Islands,1,Andaman and Nicobar Islands,GEN,Bishnu Pada Ray,,Bharatiya Janata Party,90969,Kuldeep Rai Sharma,,Indian National Congress,83157,7812
Andhra Pradesh,1,Adilabad,(ST),Godam Nagesh,,Telangana Rashtra Samithi,430847,Naresh,,Indian National Congress,259557,171290
,2,Peddapalle,(SC),Balka Suman,,Telangana Rashtra Samithi,565496,G. Vivekanand,,Indian National Congress,274338,291158
,3,Karimnagar,GEN,Vinod Kumar Boinapally,,Telangana Rashtra Samithi,505783,Ponnam Prabhakar,,Indian National Congress,300706,205077
,4,Nizamabad,GEN,Kalvakuntla Kavitha,,Telangana Rashtra Samithi,439307,Madhu Yaskhi Goud,,Indian National Congress,272123,167184
,5,Zahirabad,GEN,B.B. Patil,,Telangana Rashtra Samithi,508661,Suresh Kumar Shetkar,,Indian National Congress,364030,144631
,6,Medak,GEN,K. Chandrashekar Rao,,Telangana Rashtra Samithi,"6,57,492",P Shravan Kumar Reddy,,Indian National Congress,"2,60,463","3,97,029"
,7,Malkajgiri,GEN,Ch.Malla Reddy,,Telugu Desam Party,523336,Hanumanth Rao Mynampally,,Telangana Rashtra Samithi,494965,28371
,8,Secunderabad,GEN,Bandaru Dattatreya,,Bharatiya Janata Party,438271,M.Anjan Kumar Yadav,,Indian National Congress,183536,254735
,9,Hyderabad,GEN,Asaduddin Owaisi,,All India Majlis-e-Ittehadul Muslimeen,513868,Dr.Bhagavanth Rao,,Bharatiya Janata Party,311414,202454
,10,Chevella,GEN,Konda Vishweshwar Reddy,,Telangana Rashtra Samithi,435077,Patlolla Kartik Reddy,,Indian National Congress,362054,73023
,11,Mahabubnagar,GEN,Ap Jithender Reddy,,Telangana Rashtra Samithi,334228,Jaipal Reddy Sudini,,Indian National Congress,331638,2590
,12,Nagarkurnool,(SC),Yellaiah Nandi,,Indian National Congress,420075,Dr. Manda Jagannath,,Telangana Rashtra Samithi,403399,16676
,13,Nalgonda,GEN,Gutha Sukhender Reddy,,Indian National Congress,472093,Tera Chinnapa Reddy,,Telugu Desam Party,278937,193156
,14,Bhongir,GEN,Dr. Boora Narsaiah Goud,,Telangana Rashtra Samithi,448245,Komatireddy Rajgopal Reddy,,Indian National Congress,417751,30494
,15,Warangal,(SC),Kadiyam Srihari,,Telangana Rashtra Samithi,661639,Rajaiah Siricilla,,Indian National Congress,269065,392574
,16,Mahabubabad,(ST),Prof. Azmeera Seetaram Naik,,Telangana Rashtra Samithi,320569,P. Balram,,Indian National Congress,285577,34992
,17,Khammam,GEN,Ponguleti Srinivasa Reddy,,YSR Congress Party,421957,Nama Nageswara Rao,,Telugu Desam Party,409983,11974
,18,Araku,(ST),Kothapalli Geetha,,YSR Congress Party,413191,Gummidi Sandhyarani,,Telugu Desam Party,321793,91398
,19,Srikakulam,GEN,Ram Mohan Naidu Kinjarapu,,Telugu Desam Party,556163,Reddy Shanthi,,YSR Congress Party,428591,127572
,20,Vizianagaram,GEN,Pusapati Ashok Gajapathi Raju,,Telugu Desam Party,536549,V.S.K Rangarao Ravu,,YSR Congress Party,429638,106911
,21,Visakhapatnam,GEN,Kambhampati Hari Babu,,Bharatiya Janata Party,566832,Y. S. Vijayamma,,YSR Congress Party,476344,90488
,22,Anakapalli,GEN,Muttamsetti Srinivasa Rao,,Telugu Desam Party,568463,Gudivada Amarnadh,,YSR Congress Party,520531,47932
,23,Kakinada,GEN,Thota Narasimham,,Telugu Desam Party,"5,14,402",Chalamalasetty Sunil,,YSR Congress Party,"5,10,971","3,431"
,24,Amalapuram,(SC),Pandula Ravindra Babu,,Telugu Desam Party,"5,94,547",Pinipe Viswarup,,YSR Congress Party,"4,73,971","1,20,576"
,25,Rajahmundry,GEN,Maganti Murali Mohan,,Telugu Desam Party,"6,30,573",Boddu Venkata Ramana Chowdary,,YSR Congress Party,"4,63,139","1,67,434"
,26,Narasapuram,GEN,Gokaraju Ganga Raju,,Bharatiya Janata Party,540306,Vanka Ravindranath,,YSR Congress Party,"4,54,955","85,351"
,27,Eluru,GEN,Maganti Venkateswara Rao,,Telugu Desam Party,"6,23,471",Thota Chandra Sekhar,,YSR Congress Party,"5,21,545","1,01,926"
,28,Machilipatnam,GEN,Konakalla Narayana Rao,,Telugu Desam Party,"5,87,280",Kolusu Parthasarathy,,YSR Congress Party,"5,06,223","81,057"
,29,Vijayawada,GEN,Kesineni Srinivas,,Telugu Desam Party,"5,92,696",Koneru Rajendra Prasad,,YSR Congress Party,"5,17,834","74,862"
,30,Guntur,GEN,Galla Jayadev,,Telugu Desam Party,"6,18,417",Vallabhaneni Balasouri,,YSR Congress Party,"5,49,306","69,111"
,31,Narasaraopet,GEN,Rayapati Sambasiva Rao,,Telugu Desam Party,"6,32,464",Alla Ayodhya Rami Reddy,,YSR Congress Party,"5,97,184","35,280"
,32,Bapatla,(SC),Malyadri Sriram,,Telugu Desam Party,"5,78,145",Varikuti Amruthapani,,YSR Congress Party,"5,45,391","32,754"
