Year,State,Constituency_No,Constituency_Name,Constituency_Type,Winner_Candidate,Winner_Party,Winner_Votes,Winner_Percentage,Runner_up_Candidate,Runner_up_Party,Runner_up_Votes,Runner_up_Percentage,Margin_Votes,Status,Margin_Percentage,Victory_Category,Coalition_Block,Runner_Up_Ratio,Prev_Winner_Party,Seat_Flip_Status,Incumbent_Hold_Count
2004,Andhra Pradesh,24,Hindupur,GEN,G. Nizamuddin,INC,419744.0,50.11,B K Parthasarathi,TDP,417904.0,49.89,1840.0,Result Declared,0.22,Tight / Close Contest,UPA / I.N.D.I.A.,0.9956,,,0
2004,Andhra Pradesh,25,Anantapur,GEN,Anantha Venkatarami Reddy,INC,458925.0,54.35,Kalava Srinivasulu,TDP,385521.0,45.65,73404.0,Result Declared,8.69,Comfortable,UPA / I.N.D.I.A.,0.8401,,,0
2004,Andhra Pradesh,26,Kurnool,GEN,Kotla Jayasurya Prakasha Reddy,INC,433529.0,56.6,K. E. Krishnamurthy,TDP,332431.0,43.4,101098.0,Result Declared,13.2,Comfortable,UPA / I.N.D.I.A.,0.7668,,,0
2004,Andhra Pradesh,27,Nandyal,GEN,S. P. Y. Reddy,INC,458526.0,56.93,Bhuma Shobha Nagi Reddy,TDP,346847.0,43.07,111679.0,Result Declared,13.87,Comfortable,UPA / I.N.D.I.A.,0.7564,,,0
2004,Andhra Pradesh,28,Nagarkurnool,SC,Manda Jagannath,TDP,405046.0,57.01,K.S.Ratnam,IND,305396.0,42.99,99650.0,Result Declared,14.03,Comfortable,NDA,0.754,,,0
2004,Andhra Pradesh,29,Mahabubnagar,GEN,Devarakonda Vittal Rao,INC,428764.0,52.96,Yelkoti Yella Reddy,TDP,380857.0,47.04,47907.0,Result Declared,5.92,Comfortable,UPA / I.N.D.I.A.,0.8883,,,0
2004,Andhra Pradesh,30,Hyderabad,GEN,Asaduddin Owaisi,AIMIM,378854.0,57.61,G Subash Chanderji,BJP,278709.0,42.39,100145.0,Result Declared,15.23,Landslide,Others / Regional,0.7357,,,0
2004,Andhra Pradesh,31,Secunderabad,GEN,Anjan Kumar Yadav,INC,485710.0,53.81,Bandaru Dattatreya,BJP,416952.0,46.19,68758.0,Result Declared,7.62,Comfortable,UPA / I.N.D.I.A.,0.8584,,,0
2004,Andhra Pradesh,32,Siddipet,SC,Sarvey Satyanarayana,INC,593879.0,56.63,K Lingaiah,TDP,454907.0,43.37,138972.0,Result Declared,13.25,Comfortable,UPA / I.N.D.I.A.,0.766,,,0
2004,Andhra Pradesh,33,Medak,GEN,A. Narendra,TRS,453738.0,57.9,P Ramachandra Reddy,BJP,329972.0,42.1,123766.0,Result Declared,15.79,Landslide,Others / Regional,0.7272,,,0
2004,Andhra Pradesh,34,Nizamabad,GEN,Madhu Goud Yaskhi,INC,442142.0,59.24,Syed Yousuf Ali,TDP,304271.0,40.76,137871.0,Result Declared,18.47,Landslide,UPA / I.N.D.I.A.,0.6882,,,0
2004,Andhra Pradesh,35,Adilabad,GEN,Madhusudhan Reddy Takkala,TRS,415429.0,52.59,Samudrala Venugopal Chary,TDP,374455.0,47.41,40974.0,Result Declared,5.19,Comfortable,Others / Regional,0.9014,,,0
2004,Andhra Pradesh,36,Peddapalli,SC,Gaddam Venkatswamy,INC,572207.0,64.93,C Suguna Kumari,TDP,309072.0,35.07,263135.0,Result Declared,29.86,Landslide,UPA / I.N.D.I.A.,0.5401,,,0
2004,Andhra Pradesh,37,Karimnagar,GEN,K. Chandrashekar Rao,TRS,451199.0,58.5,Chennamaneni Vidyasagar Rao,BJP,320031.0,41.5,131168.0,Result Declared,17.01,Landslide,Others / Regional,0.7093,,,0
2004,Andhra Pradesh,38,Hanamkonda,GEN,Boianapalli Vinod Kumar,TRS,496048.0,64.0,Chada Suresh Reddy,TDP,278981.0,36.0,217067.0,Result Declared,28.01,Landslide,Others / Regional,0.5624,,,0
2004,Andhra Pradesh,39,Warangal,GEN,Dharavath Ravinder Naik,TRS,427601.0,51.15,Bodakunti Venkateshwarlu,TDP,408339.0,48.85,19262.0,Result Declared,2.3,Tight / Close Contest,Others / Regional,0.955,,,0
2004,Andhra Pradesh,40,Khammam,GEN,Renuka Chowdhury,INC,518047.0,55.87,Nama Nageswara Rao,TDP,409159.0,44.13,108888.0,Result Declared,11.74,Comfortable,UPA / I.N.D.I.A.,0.7898,,,0
2004,Andhra Pradesh,41,Nalgonda,GEN,Suravaram Sudhakar Reddy,CPI,479511.0,53.11,Nallu Indrasena Reddy,BJP,423360.0,46.89,56151.0,Result Declared,6.22,Comfortable,UPA / I.N.D.I.A.,0.8829,,,0
2004,Andhra Pradesh,42,Miryalguda,GEN,Jaipal Reddy,INC,572169.0,61.69,Vangala Swamy Goud,TDP,355262.0,38.31,216907.0,Result Declared,23.39,Landslide,UPA / I.N.D.I.A.,0.6209,,,0
2004,Arunachal Pradesh,1,Arunachal West,GEN,Kiren Rijiju,BJP,123951.0,61.83,Kamen Ringu,Arunachal Congress,76527.0,38.17,47424.0,Result Declared,23.66,Landslide,NDA,0.6174,,,0
2004,Arunachal Pradesh,2,Arunachal East,GEN,Tapir Gao,BJP,83335.0,68.49,Wangcha Rajkumar,INC,38341.0,31.51,44994.0,Result Declared,36.98,Landslide,NDA,0.4601,,,0
2004,Assam,1,Karimganj,SC,Lalit Mohan Suklabaidya,INC,321059.0,58.36,Parimal Suklabaidya,BJP,229111.0,41.64,91948.0,Result Declared,16.71,Landslide,UPA / I.N.D.I.A.,0.7136,,,0
2004,Assam,2,Silchar,GEN,Santosh Mohan Dev,INC,246215.0,52.26,Kabindra Purkayastha,BJP,224895.0,47.74,21320.0,Result Declared,4.53,Tight / Close Contest,UPA / I.N.D.I.A.,0.9134,,,0
2004,Assam,3,Autonomous District,ST,Biren Sing Engti,INC,125937.0,55.3,Elwin Teron,Autonomous State Demand Committee,101808.0,44.7,24129.0,Result Declared,10.59,Comfortable,UPA / I.N.D.I.A.,0.8084,,,0
2004,Assam,4,Dhubri,GEN,Anwar Hussain,INC,376588.0,59.16,Afzalur Rahman,AGP,259966.0,40.84,116622.0,Result Declared,18.32,Landslide,UPA / I.N.D.I.A.,0.6903,,,0
2004,Assam,5,Kokrajhar,ST,Sansuma Khunggur Bwiswmuthiary,IND,689620.0,77.04,Sabda Ram Rabha,IND,205491.0,22.96,484129.0,Result Declared,54.09,Landslide,Others / Regional,0.298,,,0
2004,Assam,6,Barpeta,GEN,A. F. Golam Osmani,INC,266972.0,57.31,Kumar Deepak Das,AGP,198847.0,42.69,68125.0,Result Declared,14.62,Comfortable,UPA / I.N.D.I.A.,0.7448,,,0
2004,Assam,7,Guwahati,GEN,Kirip Chaliha,INC,353250.0,54.74,Bhupen Hazarika,BJP,292099.0,45.26,61151.0,Result Declared,9.48,Comfortable,UPA / I.N.D.I.A.,0.8269,,,0
2004,Assam,8,Mangaldoi,GEN,Narayan Chandra Borkataky,BJP,345863.0,52.26,Madhab Rajbangshi,INC,315997.0,47.74,29866.0,Result Declared,4.51,Tight / Close Contest,NDA,0.9136,,,0
2004,Assam,9,Tezpur,GEN,Moni Kumar Subba,INC,289847.0,56.92,Padma Hazarika,AGP,219402.0,43.08,70445.0,Result Declared,13.83,Comfortable,UPA / I.N.D.I.A.,0.757,,,0
2004,Assam,10,Nagaon,GEN,Rajen Gohain,BJP,342704.0,52.4,Bisnu Prasad,INC,311292.0,47.6,31412.0,Result Declared,4.8,Tight / Close Contest,NDA,0.9083,,,0
2004,Assam,11,Kaliabor,GEN,Dip Gogoi,INC,301893.0,56.26,Keshab Mahanta,AGP,234695.0,43.74,67198.0,Result Declared,12.52,Comfortable,UPA / I.N.D.I.A.,0.7774,,,0
2004,Assam,12,Jorhat,GEN,Bijoy Krishna Handique,INC,223624.0,56.48,Drupad Borgohain,CPI,172332.0,43.52,51292.0,Result Declared,12.95,Comfortable,UPA / I.N.D.I.A.,0.7706,,,0
2004,Assam,13,Dibrugarh,GEN,Sarbananda Sonowal,AGP,220944.0,52.19,Kamakhya Prasad Tasa,BJP,202390.0,47.81,18554.0,Result Declared,4.38,Tight / Close Contest,NDA,0.916,,,0
2004,Assam,14,Lakhimpur,GEN,Arun Kumar Sarmah,AGP,300865.0,52.45,Ranee Narah,INC,272717.0,47.55,28148.0,Result Declared,4.91,Tight / Close Contest,NDA,0.9064,,,0
2004,Bihar,1,Bagaha,SC,Kailash Baitha,JD(U),237989.0,57.96,Hiralal Ram,LJP,172614.0,42.04,65375.0,Result Declared,15.92,Landslide,NDA,0.7253,,,0
2004,Bihar,2,Bettiah,GEN,Raghunath Jha,RJD,211590.0,53.1,Madan Prasad Jaiswal,BJP,186919.0,46.9,24671.0,Result Declared,6.19,Comfortable,UPA / I.N.D.I.A.,0.8834,,,0
2004,Bihar,3,Motihari,GEN,Akhilesh Prasad Singh,RJD,348596.0,58.08,Radha Mohan Singh,BJP,251572.0,41.92,97024.0,Result Declared,16.17,Landslide,UPA / I.N.D.I.A.,0.7217,,,0
2004,Bihar,4,Gopalganj,GEN,Anirudh Prasad Yadav,RJD,336016.0,70.13,Prabhu Dayal Singh,JD(U),143097.0,29.87,192919.0,Result Declared,40.27,Landslide,UPA / I.N.D.I.A.,0.4259,,,0
2004,Bihar,5,Siwan,GEN,Mohammad Shahabuddin,RJD,317511.0,59.74,Om Prakash Yadav,JD(U),213933.0,40.26,103578.0,Result Declared,19.49,Landslide,UPA / I.N.D.I.A.,0.6738,,,0
2004,Bihar,6,Maharajganj,GEN,Prabhunath Singh,JD(U),283506.0,54.46,Jitendra Swami,RJD,237041.0,45.54,46465.0,Result Declared,8.93,Comfortable,NDA,0.8361,,,0
2004,Bihar,7,Chapra,GEN,Lalu Prasad Yadav,RJD,228882.0,57.6,Rajiv Pratap Rudy,BJP,168459.0,42.4,60423.0,Result Declared,15.21,Landslide,UPA / I.N.D.I.A.,0.736,,,0
2004,Bihar,8,Hajipur,SC,Ram Vilas Paswan,LJP,477495.0,66.58,Chhedi Paswan,JD(U),239694.0,33.42,237801.0,Result Declared,33.16,Landslide,NDA,0.502,,,0
2004,Bihar,9,Vaishali,GEN,Raghuvansh Prasad Singh,RJD,361503.0,58.58,Vijay Kumar Shukla,IND,255568.0,41.42,105935.0,Result Declared,17.17,Landslide,UPA / I.N.D.I.A.,0.707,,,0
2004,Bihar,10,Muzaffarpur,GEN,George Fernandes,JD(U),370127.0,50.66,Bhagwan Lal Sahani,RJD,360434.0,49.34,9693.0,Result Declared,1.33,Tight / Close Contest,NDA,0.9738,,,0
