Year,Party,Votes,Seats,Percentage,Coalition_Block,Seat_Conversion_Efficiency
2009,JKNC,498374.0,3,0.12,UPA / I.N.D.I.A.,25.0
2009,JKPDP,522760.0,0,0.13,Others / Regional,0.0
2009,JMM,1665173.0,2,0.4,UPA / I.N.D.I.A.,5.0
2009,Jaganmay Nari Sangathan,226.0,0,0.0,Others / Regional,0.0
2009,Jago Party,64482.0,0,0.02,Others / Regional,0.0
2009,Jai Bharat Party,836.0,0,0.0,Others / Regional,0.0
2009,Jai Bharat Samanta Party,4967.0,0,0.0,Others / Regional,0.0
2009,Jai Chhattisgarh Party,2397.0,0,0.0,Others / Regional,0.0
2009,Jai Jawan Jai Kisan Mazdoor Congress,1100.0,0,0.0,Others / Regional,0.0
2009,Jammu And Kashmir Awami National Conference,9900.0,0,0.0,Others / Regional,0.0
2009,Jammu And Kashmir National Panthers Party,87502.0,0,0.02,Others / Regional,0.0
2009,Jammu And Kashmir People'S Conference,65403.0,0,0.02,Others / Regional,0.0
2009,Jan Chetna Party,2987.0,0,0.0,Others / Regional,0.0
2009,Jan Ekta Dal,2787.0,0,0.0,Others / Regional,0.0
2009,Jan Morcha,7826.0,0,0.0,Others / Regional,0.0
2009,Jan Surajya Shakti,23925.0,0,0.01,Others / Regional,0.0
2009,Jana Hitkari Party,13313.0,0,0.0,Others / Regional,0.0
2009,Janata Uday Party,595.0,0,0.0,Others / Regional,0.0
2009,Jansatta Party,2468.0,0,0.0,Others / Regional,0.0
2009,Janvadi Party (Socialist),129595.0,0,0.03,Others / Regional,0.0
2009,Jawan Kisan Morcha,12716.0,0,0.0,Others / Regional,0.0
2009,Jebamani Janata,573.0,0,0.0,Others / Regional,0.0
2009,Jharkhand Disom Party,102698.0,0,0.02,Others / Regional,0.0
2009,Jharkhand Jan Morcha,58025.0,0,0.01,Others / Regional,0.0
2009,Jharkhand Janadikhar Manch,32219.0,0,0.01,Others / Regional,0.0
2009,Jharkhand Party,127414.0,0,0.03,Others / Regional,0.0
2009,Jharkhand Party (Naren),104600.0,0,0.03,Others / Regional,0.0
2009,Jharkhand People'S Party,2498.0,0,0.0,Others / Regional,0.0
2009,Jharkhand Vikas Dal,45246.0,0,0.01,Others / Regional,0.0
2009,Jharkhand Vikas Morcha (Prajatantrik),963274.0,1,0.23,Others / Regional,4.35
2009,Kalinga Sena,53033.0,0,0.01,Others / Regional,0.0
2009,Kamarajar Deseeya Congress,1341.0,0,0.0,Others / Regional,0.0
2009,Kannada Chalevali Vatal Paksha,2269.0,0,0.0,Others / Regional,0.0
2009,Karnataka Thamizhar Munnetra Kazhagam,1686.0,0,0.0,Others / Regional,0.0
2009,Kerala Congress,333688.0,0,0.08,Others / Regional,0.0
2009,Kerala Congress (M),404962.0,1,0.1,Others / Regional,10.0
2009,Kongunadu Munnetra Kazhagam,579703.0,0,0.14,Others / Regional,0.0
2009,Kosal Kranti Dal,42744.0,0,0.01,Others / Regional,0.0
2009,Kosi Vikas Party,10447.0,0,0.0,Others / Regional,0.0
2009,Kranti Kari Jai Hind Sena,70715.0,0,0.02,Others / Regional,0.0
2009,Krantikari Samyavadi Party,4035.0,0,0.0,Others / Regional,0.0
2009,Krantisena Maharashtra,65151.0,0,0.02,Others / Regional,0.0
2009,LJP,1891963.0,0,0.45,NDA,0.0
2009,Laghujan Samaj Vikas Party,2507.0,0,0.0,Others / Regional,0.0
2009,Lal Morcha,5087.0,0,0.0,Others / Regional,0.0
2009,Lok Bhalai Party,118470.0,0,0.03,Others / Regional,0.0
2009,Lok Bharati,9407.0,0,0.0,Others / Regional,0.0
2009,Lok Jan Vikas Morcha,3658.0,0,0.0,Others / Regional,0.0
2009,Lok Satta Party,557376.0,0,0.13,Others / Regional,0.0
2009,Lok Vikas Party,9198.0,0,0.0,Others / Regional,0.0
2009,Lokdal,24588.0,0,0.01,Others / Regional,0.0
2009,Lokpriya Samaj Party,29459.0,0,0.01,Others / Regional,0.0
2009,Loksangram,53637.0,0,0.01,Others / Regional,0.0
2009,Loktanrik Janata Party (Secular),351.0,0,0.0,Others / Regional,0.0
2009,Loktanrik Sarkar Party,11893.0,0,0.0,Others / Regional,0.0
2009,Loktantrik Samajwadi Party,40803.0,0,0.01,Others / Regional,0.0
2009,Loktantrik Samata Dal,270040.0,0,0.06,Others / Regional,0.0
2009,MDMK,1112908.0,1,0.27,UPA / I.N.D.I.A.,3.7
2009,Mahagujarat Janta Party,245174.0,0,0.06,Others / Regional,0.0
2009,Mahan Dal,65398.0,0,0.02,Others / Regional,0.0
2009,Maharashtra Navnirman Sena,1503863.0,0,0.36,Others / Regional,0.0
2009,Maharashtrawadi Gomantak Party,6638.0,0,0.0,Others / Regional,0.0
2009,Mahila Adhikar Party,1816.0,0,0.0,Others / Regional,0.0
2009,Maidani Kranti Dal,1106.0,0,0.0,Others / Regional,0.0
2009,Majdoor Kisan Union Party,1341.0,0,0.0,Others / Regional,0.0
2009,Makkal Manadu Katchi,16699.0,0,0.0,Others / Regional,0.0
2009,Mana Party,39257.0,0,0.01,Others / Regional,0.0
2009,Manav Mukti Morcha,8839.0,0,0.0,Others / Regional,0.0
2009,Manipur Peoples Party,101787.0,0,0.02,Others / Regional,0.0
2009,Manithaneya Makkal Katchi,68346.0,0,0.02,Others / Regional,0.0
2009,Marxist Co-Ordination Committee,91489.0,0,0.02,Others / Regional,0.0
2009,Marxist Communist Party Of India (S.S. Srivastava),15922.0,0,0.0,Others / Regional,0.0
2009,Matra Bhakta Party,1006.0,0,0.0,Others / Regional,0.0
2009,Meghalaya Democratic Party,8946.0,0,0.0,Others / Regional,0.0
2009,Moderate Party,2285.0,0,0.0,Others / Regional,0.0
2009,Mool Bharati (S) Party,910.0,0,0.0,Others / Regional,0.0
2009,Moulik Adhikar Party,20534.0,0,0.0,Others / Regional,0.0
2009,Muslim Majlis Uttar Pradesh,4444.0,0,0.0,Others / Regional,0.0
2009,NCP,8521502.0,9,2.04,NDA,4.41
2009,Nagaland Peoples Front,832224.0,1,0.2,Others / Regional,5.0
2009,Namadhu Makkal Katchi,1114.0,0,0.0,Others / Regional,0.0
2009,National Democratic Peoples Front,1557.0,0,0.0,Others / Regional,0.0
2009,National Development Party,2787.0,0,0.0,Others / Regional,0.0
2009,National Lokhind Party,72620.0,0,0.02,Others / Regional,0.0
2009,National Loktantrik Party,5371.0,0,0.0,Others / Regional,0.0
2009,National Secular Party,902.0,0,0.0,Others / Regional,0.0
2009,National Youth Party,2275.0,0,0.0,Others / Regional,0.0
2009,Navbharat Nirman Party,37219.0,0,0.01,Others / Regional,0.0
2009,Nelopa (United),27388.0,0,0.01,Others / Regional,0.0
2009,Niswarth Sewa Party,573.0,0,0.0,Others / Regional,0.0
2009,Nominated Anglo-Indian,0.0,2,0.0,Others / Regional,0.0
2009,Orissa Mukti Morcha,2591.0,0,0.0,Others / Regional,0.0
2009,Pachai Kudi Makkal Katchi,981.0,0,0.0,Others / Regional,0.0
2009,Party For Democratic Socialism,6141.0,0,0.0,Others / Regional,0.0
2009,Pattali Makkal Katchi,1944619.0,0,0.47,Others / Regional,0.0
2009,Peace Party,537638.0,0,0.13,Others / Regional,0.0
2009,Peace Party Of India,18726.0,0,0.0,Others / Regional,0.0
2009,People'S Democratic Alliance,224719.0,0,0.05,Others / Regional,0.0
2009,People'S Democratic Forum,20699.0,0,0.0,Others / Regional,0.0
2009,People'S Party Of Arunachal,5996.0,0,0.0,Others / Regional,0.0
2009,Peoples Democratic Front,3502.0,0,0.0,Others / Regional,0.0
2009,Peoples Guardian,30340.0,0,0.01,Others / Regional,0.0
2009,Peoples Party Of India(Secular),578.0,0,0.0,Others / Regional,0.0
2009,Peoples Republican Party,11341.0,0,0.0,Others / Regional,0.0
2009,Prabuddha Republican Party,76518.0,0,0.02,Others / Regional,0.0
2009,Pragatisheel Manav Samaj Party,57649.0,0,0.01,Others / Regional,0.0
2009,Praja Bharath Party,4810.0,0,0.0,Others / Regional,0.0
2009,Praja Rajyam Party,6590046.0,0,1.58,Others / Regional,0.0
2009,Prajatantrik Samadhan Party,17570.0,0,0.0,Others / Regional,0.0
2009,Professionals Party Of India,5819.0,0,0.0,Others / Regional,0.0
2009,Proutist Sarva Samaj Party,6316.0,0,0.0,Others / Regional,0.0
2009,Punjab Labour Party,1243.0,0,0.0,Others / Regional,0.0
2009,Purvanchal Rajya Banao Dal,7497.0,0,0.0,Others / Regional,0.0
2009,Puthiya Needhi Katchi,15074.0,0,0.0,Others / Regional,0.0
2009,Puthiya Tamilagam,120797.0,0,0.03,Others / Regional,0.0
2009,Pyramid Party Of India,287576.0,0,0.07,Others / Regional,0.0
2009,RJD,5280084.0,4,1.27,UPA / I.N.D.I.A.,3.15
2009,RLD,1821054.0,5,0.44,NDA,11.36
2009,RSP,1573650.0,2,0.38,UPA / I.N.D.I.A.,5.26
2009,Rajasthan Dev Sena Dal,484.0,0,0.0,Others / Regional,0.0
2009,Rajasthan Vikas Party,36584.0,0,0.01,Others / Regional,0.0
2009,Rajya Nojawan Shakti Party,2041.0,0,0.0,Others / Regional,0.0
2009,Rajyadhikara Party,9005.0,0,0.0,Others / Regional,0.0
2009,Rashtra Bhakt Dal,3138.0,0,0.0,Others / Regional,0.0
2009,Rashtra Sewa Dal,43184.0,0,0.01,Others / Regional,0.0
2009,Rashtravadi Aarthik Swatantrata Dal,22453.0,0,0.01,Others / Regional,0.0
2009,Rashtravadi Communist Party,25842.0,0,0.01,Others / Regional,0.0
2009,Rashtravadi Janata Party,34670.0,0,0.01,Others / Regional,0.0
2009,Rashtrawadi Labour Party,5460.0,0,0.0,Others / Regional,0.0
2009,Rashtrawadi Samaj Party,450.0,0,0.0,Others / Regional,0.0
2009,Rashtrawadi Sena,144735.0,0,0.03,Others / Regional,0.0
2009,Rashtriya Agraniye Dal,4072.0,0,0.0,Others / Regional,0.0
2009,Rashtriya Bahujan Congress Party,2244.0,0,0.0,Others / Regional,0.0
2009,Rashtriya Dehat Morcha Party,139404.0,0,0.03,Others / Regional,0.0
2009,Rashtriya Gondvana Party,1802.0,0,0.0,Others / Regional,0.0
2009,Rashtriya Jan Sahay Dal,2202.0,0,0.0,Others / Regional,0.0
2009,Rashtriya Jan-Jagram Morcha,13194.0,0,0.0,Others / Regional,0.0
2009,Rashtriya Janadhikar Party,1394.0,0,0.0,Others / Regional,0.0
2009,Rashtriya Janhit Party,5841.0,0,0.0,Others / Regional,0.0
2009,Rashtriya Janutthan Party,2005.0,0,0.0,Others / Regional,0.0
2009,Rashtriya Janwadi Party (Krantikari),12732.0,0,0.0,Others / Regional,0.0
2009,Rashtriya Kranti Party,55805.0,0,0.01,Others / Regional,0.0
2009,Rashtriya Krantikari Janata Party,15847.0,0,0.0,Others / Regional,0.0
2009,Rashtriya Krantikari Samajwadi Party,71857.0,0,0.02,Others / Regional,0.0
2009,Rashtriya Lokhit Party,1866.0,0,0.0,Others / Regional,0.0
2009,Rashtriya Lokwadi Party,2021.0,0,0.0,Others / Regional,0.0
2009,Rashtriya Machhua Samaj Party,7290.0,0,0.0,Others / Regional,0.0
2009,Rashtriya Mangalam Party,1780.0,0,0.0,Others / Regional,0.0
2009,Rashtriya Mazdoor Ekta Party,4588.0,0,0.0,Others / Regional,0.0
2009,Rashtriya Naujawan Dal,3155.0,0,0.0,Others / Regional,0.0
2009,Rashtriya Pragati Party,29151.0,0,0.01,Others / Regional,0.0
2009,Rashtriya Praja Congress (Secular),3980.0,0,0.0,Others / Regional,0.0
2009,Rashtriya Raksha Dal,7915.0,0,0.0,Others / Regional,0.0
2009,Rashtriya Sahara Party,2754.0,0,0.0,Others / Regional,0.0
2009,Rashtriya Samaj Paksha,215042.0,0,0.05,Others / Regional,0.0
2009,Rashtriya Samanta Dal,153455.0,0,0.04,Others / Regional,0.0
2009,Rashtriya Surya Prakash Party,1532.0,0,0.0,Others / Regional,0.0
2009,Rashtriya Swabhimaan Party,152633.0,0,0.04,Others / Regional,0.0
2009,Rashtriya Vikas Party,584.0,0,0.0,Others / Regional,0.0
2009,Rashtriya Yuva Sangh,482.0,0,0.0,Others / Regional,0.0
2009,Rastriya Samajwadi Party (Secular),2305.0,0,0.0,Others / Regional,0.0
2009,Rayalaseema Rashtra Samithi,1284.0,0,0.0,Others / Regional,0.0
2009,Republican Paksha (Khoripa),11724.0,0,0.0,Others / Regional,0.0
2009,Republican Party Of India,294650.0,0,0.07,Others / Regional,0.0
2009,Republican Party Of India (Athawale),379746.0,0,0.09,Others / Regional,0.0
2009,Republican Party Of India (Democratic),5809.0,0,0.0,Others / Regional,0.0
2009,Republican Party Of India (Khobragade),5566.0,0,0.0,Others / Regional,0.0
2009,Republican Party Of India Ektawadi,12767.0,0,0.0,Others / Regional,0.0
2009,Republican Presidium Party Of India,3894.0,0,0.0,Others / Regional,0.0
2009,Revolutionary Communist Party Of India (Rakik Bhatt),7788.0,0,0.0,Others / Regional,0.0
2009,SAD,4004789.0,4,0.96,NDA,4.17
2009,SDF,159351.0,1,0.04,Others / Regional,25.0
2009,SP,14284638.0,23,3.42,UPA / I.N.D.I.A.,6.73
2009,SS,6454950.0,11,1.55,NDA,7.1
2009,Samajik Jantantrik Party,4816.0,0,0.0,Others / Regional,0.0
2009,Samajtantric Party Of India,5537.0,0,0.0,Others / Regional,0.0
2009,Samajwadi Jan Parishad,23539.0,0,0.01,Others / Regional,0.0
2009,Samajwadi Janata Party (Rashtriya),30091.0,0,0.01,Others / Regional,0.0
2009,Samruddha Odisha,131379.0,0,0.03,Others / Regional,0.0
2009,Samta Party,31324.0,0,0.01,Others / Regional,0.0
2009,Sardar Vallabhbhai Patel Party,2275.0,0,0.0,Others / Regional,0.0
2009,Sarvodaya Karnataka Paksha,60333.0,0,0.01,Others / Regional,0.0
2009,Savarn Samaj Party,2486.0,0,0.0,Others / Regional,0.0
2009,Save Goa Front,1117.0,0,0.0,Others / Regional,0.0
2009,Shakti Sena (Bharat Desh),589.0,0,0.0,Others / Regional,0.0
2009,Shiromani Akali Dal (Simranjit Singh Mann),43137.0,0,0.01,Others / Regional,0.0
2009,Shivrajya Party,1704.0,0,0.0,Others / Regional,0.0
2009,Shoshit Samaj Dal,26807.0,0,0.01,Others / Regional,0.0
2009,Sikkim Gorkha Prajatantric Party,2284.0,0,0.0,Others / Regional,0.0
2009,Sikkim Himali Rajya Parishad,4639.0,0,0.0,Others / Regional,0.0
2009,Sikkim Jan-Ekta Party,2849.0,0,0.0,Others / Regional,0.0
2009,Smast Bhartiya Party,14435.0,0,0.0,Others / Regional,0.0
2009,Socialist Party (Lohia),9712.0,0,0.0,Others / Regional,0.0
2009,Suheldev Bhartiya Samaj Party,319307.0,0,0.08,Others / Regional,0.0
2009,Sunder Samaj Party,5120.0,0,0.0,Others / Regional,0.0
2009,Swabhimani Paksha,481025.0,1,0.12,Others / Regional,8.33
2009,Swarajya Party Of India,1230.0,0,0.0,Others / Regional,0.0
2009,Swatantra Bharat Paksh,188608.0,0,0.05,Others / Regional,0.0
2009,TDP,10481659.0,6,2.51,NDA,2.39
2009,TMC,13356510.0,19,3.2,UPA / I.N.D.I.A.,5.94
2009,TRS,2582326.0,2,0.62,Others / Regional,3.23
2009,The Humanist Party Of India,7296.0,0,0.0,Others / Regional,0.0
2009,Trilinga Praja Pragati Party,48136.0,0,0.01,Others / Regional,0.0
2009,Ulzaipali Makkal Katchy,13193.0,0,0.0,Others / Regional,0.0
2009,United Communist Party Of India,1713.0,0,0.0,Others / Regional,0.0
2009,United Democratic Party,124402.0,0,0.03,Others / Regional,0.0
2009,United Goans Democratic Party,16727.0,0,0.0,Others / Regional,0.0
2009,United National Loktantrik Party,2658.0,0,0.0,Others / Regional,0.0
2009,United Women Front,12338.0,0,0.0,Others / Regional,0.0
2009,Uttar Pradesh Republican Party,4604.0,0,0.0,Others / Regional,0.0
2009,Uttarakhand Kranti Dal,38633.0,0,0.01,Others / Regional,0.0
2009,VCK,735847.0,1,0.18,UPA / I.N.D.I.A.,5.56
2009,Vanchit Jamat Party,17868.0,0,0.0,Others / Regional,0.0
2009,Vikas Party,5840.0,0,0.0,Others / Regional,0.0
2009,Vishva Hindustani Sangathan,935.0,0,0.0,Others / Regional,0.0
2009,Vishwa Vikas Sangh,837.0,0,0.0,Others / Regional,0.0
2009,Youth And Students Party,2582.0,0,0.0,Others / Regional,0.0
2009,Youth For Equality,2099.0,0,0.0,Others / Regional,0.0
2009,Yuva Vikas Party,3129.0,0,0.0,Others / Regional,0.0
2014,AAP,11325387.0,4,2.05,UPA / I.N.D.I.A.,1.95
2014,AD(S),821820.0,2,0.15,NDA,13.33
2014,AGP,577730.0,0,0.1,NDA,0.0
2014,AIADMK,18111579.0,37,3.27,Others / Regional,11.31
2014,AIFB,1211418.0,0,0.22,Left Front,0.0
2014,AIMIM,685730.0,1,0.12,Others / Regional,8.33
2014,AIUDF,2333040.0,3,0.42,Others / Regional,7.14
2014,AJSU,488719.0,0,0.09,NDA,0.0
2014,Aadijan Mukti Sena,8544.0,0,0.0,Others / Regional,0.0
2014,Aadivasi Sena Party,11362.0,0,0.0,Others / Regional,0.0
2014,Aam Janata Party,9371.0,0,0.0,Others / Regional,0.0
2014,Aama Odisha Party,155900.0,0,0.03,Others / Regional,0.0
2014,Aarakshan Virodhi Party,5861.0,0,0.0,Others / Regional,0.0
2014,Aazadi Ka Antim Aandolan Dal,937.0,0,0.0,Others / Regional,0.0
2014,Adarsh Manavtawadi Party,1920.0,0,0.0,Others / Regional,0.0
2014,Adarsh Rashtriya Vikas Party,12037.0,0,0.0,Others / Regional,0.0
2014,Adarsh Samaj Party,557.0,0,0.0,Others / Regional,0.0
2014,Agar Jan Party,5228.0,0,0.0,Others / Regional,0.0
2014,Akhand Bharat Samaj Party,651.0,0,0.0,Others / Regional,0.0
2014,Akhil Bharatiya Ashok Sena,296.0,0,0.0,Others / Regional,0.0
2014,Akhil Bharatiya Congress Dal (Ambedkar),1461.0,0,0.0,Others / Regional,0.0
2014,Akhil Bharatiya Hind Kranti Party,685.0,0,0.0,Others / Regional,0.0
2014,Akhil Bharatiya Manavata Paksha,1077.0,0,0.0,Others / Regional,0.0
2014,Akhil Bharatiya Muslim League (Secular),59735.0,0,0.01,Others / Regional,0.0
2014,Akhil Bharatiya Rajarya Sabha,683.0,0,0.0,Others / Regional,0.0
2014,Akhil Bharatiya Samajwadi Congress,2530.0,0,0.0,Others / Regional,0.0
2014,Akhil Bharatiya Shivsena Rashtrawadi,4380.0,0,0.0,Others / Regional,0.0
2014,Akhil Bhartiya Aamjan Party,1040.0,0,0.0,Others / Regional,0.0
2014,Akhil Bhartiya Jharkhand Party,16616.0,0,0.0,Others / Regional,0.0
2014,Akhil Bhartiya Mithila Party,11221.0,0,0.0,Others / Regional,0.0
2014,Akhil Bhartiya Vikas Congress Party,2255.0,0,0.0,Others / Regional,0.0
2014,Akhil Rashtrawadi Party,2029.0,0,0.0,Others / Regional,0.0
2014,Al-Hind Party,5977.0,0,0.0,Others / Regional,0.0
2014,All India Azaad Congress Party,1593.0,0,0.0,Others / Regional,0.0
2014,All India Mazdoor Party (Rangreta),1182.0,0,0.0,Others / Regional,0.0
2014,All India Minorities Front,9938.0,0,0.0,Others / Regional,0.0
2014,All India N.R. Congress,255826.0,1,0.05,Others / Regional,20.0
2014,All India Peoples' Front (Radical),7630.0,0,0.0,Others / Regional,0.0
2014,All India Ravidas Samata Party,543.0,0,0.0,Others / Regional,0.0
2014,All Jammu And Kashmir Kisan Majdoor Party,4392.0,0,0.0,Others / Regional,0.0
2014,All Jammu And Kashmir Republican Party,1568.0,0,0.0,Others / Regional,0.0
2014,Ambedkar National Congress,19863.0,0,0.0,Others / Regional,0.0
2014,Ambedkar People'S Movement,372.0,0,0.0,Others / Regional,0.0
2014,Ambedkar Samaj Party,27589.0,0,0.0,Others / Regional,0.0
2014,Ambedkarist Republican Party,16461.0,0,0.0,Others / Regional,0.0
2014,Ambedkarite Party Of India,185095.0,0,0.03,Others / Regional,0.0
2014,Amra Bangalee,74626.0,0,0.01,Others / Regional,0.0
2014,Anaithindia Dravidar Samudaya Munnetra Kazhagam,2372.0,0,0.0,Others / Regional,0.0
2014,Andhra Pradesh Rashtra Samaikya Samithi Party,2743.0,0,0.0,Others / Regional,0.0
2014,Andhra Rastra Praja Samithi,12042.0,0,0.0,Others / Regional,0.0
2014,Apna Dal United Party,9265.0,0,0.0,Others / Regional,0.0
2014,Apna Desh Party,5579.0,0,0.0,Others / Regional,0.0
2014,Asankhya Samaj Party,3482.0,0,0.0,Others / Regional,0.0
2014,Ati Picchara Party,15370.0,0,0.0,Others / Regional,0.0
2014,Atulya Bharat Party,2135.0,0,0.0,Others / Regional,0.0
2014,Awami Aamjan Party,4380.0,0,0.0,Others / Regional,0.0
2014,Awami Samta Party,1617.0,0,0.0,Others / Regional,0.0
2014,Awami Vikas Party,3747.0,0,0.0,Others / Regional,0.0
2014,B.C. Bharata Desam Party,596.0,0,0.0,Others / Regional,0.0
2014,B.C. United Front,7036.0,0,0.0,Others / Regional,0.0
2014,BJD,9489946.0,20,1.71,Others / Regional,11.7
2014,BJP,171660230.0,282,31.0,NDA,9.1
2014,BPF,330106.0,0,0.06,Others / Regional,0.0
2014,BSP,22946346.0,0,4.14,Others / Regional,0.0
2014,Bahujan Kranti Party (Marxwad-Ambedkarwad),1174.0,0,0.0,Others / Regional,0.0
2014,Bahujan Mukti Party,791951.0,0,0.14,Others / Regional,0.0
2014,Bahujan Samaj Party (Ambedkar),11104.0,0,0.0,Others / Regional,0.0
2014,Bahujan Sangharsh Party (Kanshiram),5416.0,0,0.0,Others / Regional,0.0
2014,Bahujan Sangharshh Dal,59815.0,0,0.01,Others / Regional,0.0
2014,Bahujan Suraksha Dal,1723.0,0,0.0,Others / Regional,0.0
2014,Bahujan Vikas Aaghadi,293681.0,0,0.05,Others / Regional,0.0
2014,Bajjikanchal Vikas Party,21524.0,0,0.0,Others / Regional,0.0
2014,Bharat Bhrashtachar Mitao Party,10160.0,0,0.0,Others / Regional,0.0
2014,Bharat Ki Lok Jimmedar Party,3392.0,0,0.0,Others / Regional,0.0
2014,Bharat Nav Nirman Party,2533.0,0,0.0,Others / Regional,0.0
2014,Bharat Nirman Party,2000.0,0,0.0,Others / Regional,0.0
2014,Bharat Vikas Morcha,45667.0,0,0.01,Others / Regional,0.0
2014,Bharat Vishal Party,161.0,0,0.0,Others / Regional,0.0
2014,Bharatiya Bahujan Congress,7197.0,0,0.0,Others / Regional,0.0
2014,Bharatiya Bahujan Party,4653.0,0,0.0,Others / Regional,0.0
2014,Bharatiya Dr. B.R. Ambedkar Janta Party,9481.0,0,0.0,Others / Regional,0.0
2014,Bharatiya Ekta Dal,90314.0,0,0.02,Others / Regional,0.0
2014,Bharatiya Gaon Taj Dal,5761.0,0,0.0,Others / Regional,0.0
2014,Bharatiya Inqalab Party,5362.0,0,0.0,Others / Regional,0.0
2014,Bharatiya Jan Kranti Dal (Democratic),14685.0,0,0.0,Others / Regional,0.0
2014,Bharatiya Jana Sangh,20902.0,0,0.0,Others / Regional,0.0
2014,Bharatiya Jawala Shakti Paksha,1337.0,0,0.0,Others / Regional,0.0
2014,Bharatiya Kisan Parivartan Party,7342.0,0,0.0,Others / Regional,0.0
2014,Bharatiya Kisan Sena Loktantrik,3826.0,0,0.0,Others / Regional,0.0
2014,Bharatiya Minorities Suraksha Mahasangh,3441.0,0,0.0,Others / Regional,0.0
2014,Bharatiya Momin Front,16182.0,0,0.0,Others / Regional,0.0
2014,Bharatiya Mool Niwasi Samaj Party,877.0,0,0.0,Others / Regional,0.0
2014,Bharatiya National Janta Dal,20209.0,0,0.0,Others / Regional,0.0
2014,Bharatiya Nav Kranti Party,502.0,0,0.0,Others / Regional,0.0
2014,Bharatiya Navyuvak Party,1408.0,0,0.0,Others / Regional,0.0
2014,Bharatiya Peoples Party,4291.0,0,0.0,Others / Regional,0.0
2014,Bharatiya Rashtriya Bahujan Samaj Vikas Party,3238.0,0,0.0,Others / Regional,0.0
2014,Bharatiya Rashtriya Mazdoor Dal,1607.0,0,0.0,Others / Regional,0.0
2014,Bharatiya Republican Paksha,8226.0,0,0.0,Others / Regional,0.0
2014,Bharatiya Samaj Dal,1096.0,0,0.0,Others / Regional,0.0
2014,Bharatiya Sant Mat Party,15940.0,0,0.0,Others / Regional,0.0
2014,Bharatiya Sarvodaya Kranti Party,2409.0,0,0.0,Others / Regional,0.0
2014,Bharatiya Yuva Shakti,38633.0,0,0.01,Others / Regional,0.0
2014,Bharipa Bahujan Mahasangh,360854.0,0,0.07,Others / Regional,0.0
2014,Bharti Jan Suraksha Party,3336.0,0,0.0,Others / Regional,0.0
2014,Bhartiya Chaitanya Party,802.0,0,0.0,Others / Regional,0.0
2014,Bhartiya Ekta Manch Party,8729.0,0,0.0,Others / Regional,0.0
2014,Bhartiya Jan Manch,325.0,0,0.0,Others / Regional,0.0
2014,Bhartiya Jan Yug Party,2000.0,0,0.0,Others / Regional,0.0
2014,Bhartiya Janta Dal (Integrated),1118.0,0,0.0,Others / Regional,0.0
2014,Bhartiya Jantantrik Janata Dal,4664.0,0,0.0,Others / Regional,0.0
2014,Bhartiya Krishak Dal,4250.0,0,0.0,Others / Regional,0.0
2014,Bhartiya Naujawan Inklav Party,1440.0,0,0.0,Others / Regional,0.0
2014,Bhartiya Navjawan Sena (Paksha),1862.0,0,0.0,Others / Regional,0.0
2014,Bhartiya Party,1635.0,0,0.0,Others / Regional,0.0
2014,Bhartiya Pragatisheel Congress,2571.0,0,0.0,Others / Regional,0.0
2014,Bhartiya Republican Party (Insan),2138.0,0,0.0,Others / Regional,0.0
2014,Bhartiya Samajik Kranti Dal,1423.0,0,0.0,Others / Regional,0.0
2014,Bhartiya Sarvjan Party,5845.0,0,0.0,Others / Regional,0.0
2014,Bhartiya Satya Sangharsh Party,4956.0,0,0.0,Others / Regional,0.0
2014,Bhartiya Shakti Chetna Party,79359.0,0,0.01,Others / Regional,0.0
2014,Bhartiya Shramik Dal Socialist,924.0,0,0.0,Others / Regional,0.0
2014,Bhartiya Vanchitsamaj Party,4142.0,0,0.0,Others / Regional,0.0
2014,Bhartiya Vikas Party,1152.0,0,0.0,Others / Regional,0.0
2014,Bhrashtachar Mukti Morcha,1413.0,0,0.0,Others / Regional,0.0
2014,Bihar Janta Party,6765.0,0,0.0,Others / Regional,0.0
2014,Braj Vikas Party,4411.0,0,0.0,Others / Regional,0.0
2014,Brihattar Bharat Prajatantra Sewa Party,1679.0,0,0.0,Others / Regional,0.0
2014,Bundelkhand Congress,5371.0,0,0.0,Others / Regional,0.0
2014,CPI,4327460.0,1,0.78,UPA / I.N.D.I.A.,1.28
2014,CPI(M),17988955.0,9,3.25,UPA / I.N.D.I.A.,2.77
2014,CPI(ML)L,1121598.0,0,0.2,UPA / I.N.D.I.A.,0.0
2014,Chhattisgarh Swabhiman Manch,41908.0,0,0.01,Others / Regional,0.0
2014,Chhattisgarhiya Party,4265.0,0,0.0,Others / Regional,0.0
2014,DMK,9631246.0,0,1.74,UPA / I.N.D.I.A.,0.0
2014,Dalit Vikas Party(Bharat),950.0,0,0.0,Others / Regional,0.0
2014,Dalita Bahujana Party,7746.0,0,0.0,Others / Regional,0.0
2014,Democratic Bharatiya Samaj Party,5240.0,0,0.0,Others / Regional,0.0
2014,Democratic Congress Party,833.0,0,0.0,Others / Regional,0.0
2014,Democratic Prajakranthi Party Secularist,1342.0,0,0.0,Others / Regional,0.0
2014,Democratic Secular Party,1262.0,0,0.0,Others / Regional,0.0
2014,Deshbhakt Nirman Party,5485.0,0,0.0,Others / Regional,0.0
2014,Desiya Forward Bloc,17465.0,0,0.0,Others / Regional,0.0
2014,Desiya Murpokku Dravida Kazhagam,2078843.0,0,0.38,Others / Regional,0.0
