Year,State,Constituency_No,Constituency_Name,Constituency_Type,Winner_Candidate,Winner_Party,Winner_Votes,Winner_Percentage,Runner_up_Candidate,Runner_up_Party,Runner_up_Votes,Runner_up_Percentage,Margin_Votes
2004,Arunachal Pradesh,1,Arunachal West,GEN,Kiren Rijiju,BJP,123951,,Kamen Ringu,Arunachal Congress,76527,,47424
2004,Arunachal Pradesh,2,Arunachal East,GEN,Tapir Gao,BJP,83335,,Wangcha Rajkumar,INC,38341,,44994
2004,Assam,1,Karimganj,SC,Lalit Mohan Suklabaidya,INC,321059,,Parimal Suklabaidya,BJP,229111,,91948
2004,Assam,2,Silchar,GEN,Santosh Mohan Dev,INC,246215,,Kabindra Purkayastha,BJP,224895,,21320
2004,Assam,3,Autonomous District,ST,Biren Sing Engti,INC,125937,,Elwin Teron,Autonomous State Demand Committee,101808,,24129
2004,Assam,4,Dhubri,GEN,Anwar Hussain,INC,376588,,Afzalur Rahman,AGP,259966,,116622
2004,Assam,5,Kokrajhar,ST,Sansuma Khunggur Bwiswmuthiary,IND,689620,,Sabda Ram Rabha,IND,205491,,484129
2004,Assam,6,Barpeta,GEN,A. F. Golam Osmani,INC,266972,,Kumar Deepak Das,AGP,198847,,68125
2004,Assam,7,Guwahati,GEN,Kirip Chaliha,INC,353250,,Bhupen Hazarika,BJP,292099,,61151
2004,Assam,8,Mangaldoi,GEN,Narayan Chandra Borkataky,BJP,345863,,Madhab Rajbangshi,INC,315997,,29866
2004,Assam,9,Tezpur,GEN,Moni Kumar Subba,INC,289847,,Padma Hazarika,AGP,219402,,70445
2004,Assam,10,Nagaon,GEN,Rajen Gohain,BJP,342704,,Bisnu Prasad,INC,311292,,31412
2004,Assam,11,Kaliabor,GEN,Dip Gogoi,INC,301893,,Keshab Mahanta,AGP,234695,,67198
2004,Assam,12,Jorhat,GEN,Bijoy Krishna Handique,INC,223624,,Drupad Borgohain,CPI,172332,,51292
2004,Assam,13,Dibrugarh,GEN,Sarbananda Sonowal,AGP,220944,,Kamakhya Prasad Tasa,BJP,202390,,18554
2004,Assam,14,Lakhimpur,GEN,Arun Kumar Sarmah,AGP,300865,,Ranee Narah,INC,272717,,28148
2004,Bihar,1,Bagaha,SC,Kailash Baitha,JD(U),237989,,Hiralal Ram,LJP,172614,,65375
2004,Bihar,2,Bettiah,GEN,Raghunath Jha,RJD,211590,,Madan Prasad Jaiswal,BJP,186919,,24671
2004,Bihar,3,Motihari,GEN,Akhilesh Prasad Singh,RJD,348596,,Radha Mohan Singh,BJP,251572,,97024
2004,Bihar,4,Gopalganj,GEN,Anirudh Prasad Yadav,RJD,336016,,Prabhu Dayal Singh,JD(U),143097,,192919
2004,Bihar,5,Siwan,GEN,Mohammad Shahabuddin,RJD,317511,,Om Prakash Yadav,JD(U),213933,,103578
2004,Bihar,6,Maharajganj,GEN,Prabhunath Singh,JD(U),283506,,Jitendra Swami,RJD,237041,,46465
2004,Bihar,7,Chapra,GEN,Lalu Prasad Yadav,RJD,228882,,Rajiv Pratap Rudy,BJP,168459,,60423
2004,Bihar,8,Hajipur,SC,Ram Vilas Paswan,LJP,477495,,Chhedi Paswan,JD(U),239694,,237801
2004,Bihar,9,Vaishali,GEN,Raghuvansh Prasad Singh,RJD,361503,,Vijay Kumar Shukla,IND,255568,,105935
2004,Bihar,10,Muzaffarpur,GEN,George Fernandes,JD(U),370127,,Bhagwan Lal Sahani,RJD,360434,,9693
2004,Bihar,11,Sitamarhi,GEN,Sitaram Yadav,RJD,326165,,Nawal Kishore Rai,JD(U),228160,,98005
2004,Bihar,12,Sheohar,GEN,Sitaram Singh,RJD,303243,,Mohammad Anwarul Haque,BJP,229360,,73883
2004,Bihar,13,Madhubani,GEN,Shakeel Ahmad,INC,328182,,Hukmdev Narayan Yadav,BJP,241103,,87079
2004,Bihar,14,Jhanjharpur,GEN,Devendra Prasad Yadav,RJD,323400,,Jagannath Mishra,JD(U),310565,,12835
2004,Bihar,15,Darbhanga,GEN,Ali Ashraf Fatmi,RJD,427672,,Kirti Azad,BJP,284209,,143463
2004,Bihar,16,Rosera,SC,Ram Chandra Paswan,LJP,394240,,Dasai Chowdhary,JD(U),255829,,138411
2004,Bihar,17,Samastipur,GEN,Alok Kumar Mehta,RJD,437457,,Ram Chandra Singh,JD(U),310674,,126783
2004,Bihar,18,Barh,GEN,Vijay Krishna,RJD,426856,,Nitish Kumar,JD(U),389168,,37688
2004,Bihar,19,Balia,GEN,Surajbhan Singh,LJP,233869,,Shatrughna Prasad Singh,CPI,157642,,76227
2004,Bihar,20,Saharsa,GEN,Ranjeet Ranjan,LJP,350426,,Dinesh Chandra Yadav,JD(U),319639,,30787
2004,Bihar,21,Madhepura,GEN,Lalu Prasad Yadav,RJD,344301,,Sharad Yadav,JD(U),274314,,69987
2004,Bihar,22,Araria,SC,Sukdeo Paswan,BJP,216677,,Ramji Das Rishideo,SP,188933,,27744
2004,Bihar,23,Kishanganj,GEN,Mohammed Taslimuddin,RJD,420331,,Syed Shahnawaz Hussain,BJP,259834,,160497
2004,Bihar,24,Purnea,GEN,Uday Singh,BJP,244426,,Rajesh Ranjan,LJP,231543,,12883
2004,Bihar,25,Katihar,GEN,Nikhil Kumar Choudhary,BJP,288922,,Tariq Anwar,NCP,286357,,2565
2004,Bihar,26,Banka,GEN,Giridhari Yadav,RJD,339880,,Digvijay Singh,JD(U),335211,,4669
2004,Bihar,27,Bhagalpur,GEN,Sushil Kumar Modi,BJP,345151,,Subodh Ray,CPI(M),227298,,117853
2004,Bihar,28,Khagaria,GEN,Rabindra Kumar Rana,RJD,322440,,Renu Kumari Singh,JD(U),255317,,67123
2004,Bihar,29,Monghyr,GEN,Jay Prakash Narayan Yadav,RJD,453286,,Monazir Hassan,JD(U),337359,,115927
2004,Bihar,30,Begusarai,GEN,Rajiv Ranjan Singh,JD(U),301562,,Krishna Sahi,INC,281071,,20491
2004,Bihar,31,Nalanda,GEN,Nitish Kumar,JD(U),471310,,Kumar Pushpanjay,LJP,368914,,102396
2004,Bihar,32,Patna,GEN,Ram Kripal Yadav,RJD,433853,,C. P. Thakur,BJP,395291,,38562
2004,Bihar,33,Arrah,GEN,Kanti Singh,RJD,299422,,Ram Naresh Ram,CPI(ML)L,149679,,149743
2004,Bihar,34,Buxar,GEN,Lalmuni Chaubey,BJP,205980,,Dadan Singh Yadav,IND,151114,,54866
2004,Bihar,35,Sasaram,SC,Meira Kumar,INC,416673,,Muni Lall,BJP,158411,,258262
2004,Bihar,36,Bikramganj,GEN,Ajit Kumar Singh,JD(U),305363,,Ram Prasad Singh,RJD,246575,,58788
2004,Bihar,37,Aurangabad,GEN,Nikhil Kumar,INC,290009,,Sushil Kumar Singh,JD(U),282549,,7460
2004,Bihar,38,Jahanabad,GEN,Ganesh Prasad Singh,RJD,400063,,Arun Kumar,JD(U),353625,,46438
2004,Bihar,39,Nawada,SC,Virchandra Paswan,RJD,489992,,Sanjay Paswan,BJP,433986,,56006
2004,Bihar,40,Gaya,SC,Rajesh Kumar Manjhi,RJD,464829,,Balbir Chand,BJP,361895,,102934
2004,Chandigarh,1,Chandigarh,GEN,Pawan Kumar Bansal,INC,139880,,Satya Pal Jain,BJP,94632,,45248
2004,Chhattisgarh,1,Surguja,ST,Nand Kumar Sai,BJP,357108,,Khelsai Singh,INC,253656,,103452
2004,Chhattisgarh,2,Raigarh,ST,Vishnu Deo Sai,BJP,329057,,Rampukar Singh,INC,292326,,36731
2004,Chhattisgarh,3,Janjgir,GEN,Karuna Shukla,BJP,303655,,Charan Das Mahant,INC,292326,,11329
2004,Chhattisgarh,4,Bilaspur,SC,Punnulal Mohle,BJP,324729,,Basant Pahre,INC,243176,,81553
2004,Chhattisgarh,5,Sarangarh,SC,Guharam Ajgalle,BJP,242575,,Parasram Bhardwaj,INC,183457,,59118
2004,Chhattisgarh,6,Raipur,GEN,Ramesh Bais,BJP,376029,,Shyama Charan Shukla,INC,246510,,129519
2004,Chhattisgarh,7,Mahasamund,GEN,Ajit Jogi,INC,414647,,Vidya Charan Shukla,BJP,296142,,118505
2004,Chhattisgarh,8,Kanker,ST,Sohan Potai,BJP,274294,,Ganga Potai Thakur,INC,200668,,73626
2004,Chhattisgarh,9,Bastar,ST,Baliram Kashyap,BJP,212893,,Mahendra Karma,INC,158520,,54373
2004,Chhattisgarh,10,Durg,GEN,Tarachand Sahu,BJP,382757,,Bhupesh Baghel,INC,321289,,61468
2004,Chhattisgarh,11,Rajnandgaon,GEN,Pradeep Gandhi,BJP,314520,,Devwrat Singh,INC,300197,,14323
2004,Dadra and Nagar Haveli,1,Dadra And Nagar Haveli,ST,Mohanbhai Sanjibhai Delkar,Bharatiya Navshakti Party,34665,,Sitaram Gavli,INC,21772,,12893
2004,Daman and Diu,1,Daman And Diu,GEN,Patel Dahyabhai Vallabhbhai,INC,27523,,Gopalbhai Tandel,BJP,26916,,607
2004,Delhi,1,New Delhi,GEN,Ajay Maken,INC,105415,,Jagmohan,BJP,92631,,12784
2004,Delhi,2,South Delhi,GEN,Vijay Kumar Malhotra,BJP,240654,,R. K. Anand,INC,224649,,16005
2004,Delhi,3,Outer Delhi,GEN,Sajjan Kumar,INC,855543,,Sahib Singh Verma,BJP,631753,,223790
2004,Delhi,4,East Delhi,GEN,Sandeep Dikshit,INC,669527,,Lal Bihari Tiwari,BJP,439748,,229779
2004,Delhi,5,Chandni Chowk,GEN,Kapil Sibal,INC,127396,,Smriti Irani,BJP,47981,,79415
2004,Delhi,6,Delhi Sadar,GEN,Jagdish Tytler,INC,140073,,Vijay Goel,BJP,124099,,15974
2004,Delhi,7,Karol Bagh,SC,Krishna Tirath,INC,138596,,Anita Arya,BJP,100967,,37629
2004,Goa,1,Panaji,GEN,Shripad Yesso Naik,BJP,144842,,Wilfred de Souza,NCP,88629,,56213
2004,Goa,2,Mormugao,GEN,Churchill Alemao,INC,164432,,Ramakant Angle,BJP,113908,,50524
2004,Gujarat,1,Kutch,GEN,Pushpdan Gadhavi,BJP,221057,,Shailendrasinh Jadeja,INC,192067,,28990
2004,Gujarat,2,Surendranagar,GEN,Somabhai Gandalal Koli Patel,BJP,219872,,Savshibhai Makwana,INC,185928,,33944
2004,Gujarat,3,Jamnagar,GEN,Vikrambhai Madam,INC,204468,,Chandresh Patel Kordia,BJP,198875,,5593
2004,Gujarat,4,Rajkot,GEN,Vallabhbhai Kathiria,BJP,320604,,Balvantbhai Bachubhai Manvar,NCP,176634,,143970
2004,Gujarat,5,Porbandar,GEN,Harilal Patel,BJP,229113,,Vitthal Radadiya,INC,223410,,5703
2004,Gujarat,6,Junagadh,GEN,Jashubhai Barad,INC,329712,,Bhavna Chikhalia,BJP,288791,,40921
2004,Gujarat,7,Amreli,GEN,Virjibhai Thummar,INC,220649,,Dileep Sanghani,BJP,218619,,2030
2004,Gujarat,8,Bhavnagar,GEN,Rajendrasinh Rana,BJP,247336,,Gigabhai Gohil,INC,166910,,80426
2004,Gujarat,9,Dhandhuka,SC,Ratilal Varma,BJP,249322,,Yogendra Makwana,INC,226528,,22794
2004,Gujarat,10,Ahmedabad,GEN,Harin Pathak,BJP,301853,,Rajkumar Gigraj Gupta,INC,224248,,77605
2004,Gujarat,11,Gandhinagar,GEN,L. K. Advani,BJP,516120,,Gabhaji Thakor,INC,298982,,217138
2004,Gujarat,12,Mehsana,GEN,Jivabhai Ambalal Patel,INC,339643,,Nitinbhai Patel,BJP,325132,,14511
2004,Gujarat,13,Patan,SC,Mahesh Kanodia,BJP,273970,,Praveen Rashtrapal,INC,250346,,23624
2004,Gujarat,14,Banaskantha,GEN,Harisinh Chavda,INC,301148,,Haribhai Parthibhai Chaudhary,BJP,294220,,6928
2004,Gujarat,15,Sabarkantha,GEN,Madhusudan Mistry,INC,316483,,Ramilaben Bara,BJP,276555,,39928
2004,Gujarat,16,Kapadvanj,GEN,Shankersinh Vaghela,INC,320338,,Liladhar Vaghela,BJP,240903,,79435
2004,Gujarat,17,Dohad,ST,Babubhai Khimabhai Katara,BJP,228154,,Prabha Kishor Taviad,INC,227793,,361
2004,Gujarat,18,Godhra,GEN,Bhupendrasinh Solanki,BJP,295550,,Rajendrasinh Balvantsinh Patel,INC,241831,,53719
2004,Gujarat,19,Kaira,GEN,Dinsha Patel,INC,244037,,Shubhanginiraje Ranjitsinh Gaekwad,BJP,187288,,56749
2004,Gujarat,20,Anand,GEN,Bharatsinh Solanki,INC,307762,,Jayprakash Vaghajibhai Patel,BJP,246677,,61085
2004,Gujarat,21,Chhota Udaipur,ST,Naranbhai Rathwa,INC,246855,,Ramsinh Rathwa,BJP,210616,,36239
2004,Gujarat,22,Baroda,GEN,Jayaben Thakkar,BJP,316089,,Satyajitsinh Gaekwad,INC,309486,,6603
2004,Gujarat,23,Broach,GEN,Mansukhbhai Vasava,BJP,299630,,Muhammad Patel,INC,227428,,72202
2004,Gujarat,24,Surat,GEN,Kashiram Rana,BJP,508076,,Chandravadanbhai Pithawala,INC,357513,,150563
2004,Gujarat,25,Mandvi,ST,Tushar Amarsinh Chaudhary,INC,386592,,Mansinh Patel,BJP,213210,,173382
2004,Gujarat,26,Bulsar,ST,Kishanbhai Vestabhai Patel,INC,321769,,Manibhai Chaudhary,BJP,277283,,44486
2004,Haryana,1,Ambala,SC,Kumari Selja,INC,415264,,Rattan Lal Kataria,BJP,180329,,234935
2004,Haryana,2,Kurukshetra,GEN,Naveen Jindal,INC,362054,,Abhay Singh Chautala,Indian National Lok Dal,201864,,160190
2004,Haryana,3,Karnal,GEN,Arvind Kumar Sharma,INC,318948,,Ishwar Dayal Swami,BJP,154186,,164762
2004,Haryana,4,Sonepat,GEN,Kishan Singh Sangwan,BJP,233477,,Dharam Pal Singh Malik,INC,225908,,7569
2004,Haryana,5,Rohtak,GEN,Bhupinder Singh Hooda,INC,324235,,Captain Abhimanyu,BJP,173800,,150435
2004,Haryana,6,Faridabad,GEN,Avtar Singh Bhadana,INC,357284,,Mohd Ilyas,Indian National Lok Dal,205355,,151929
2004,Haryana,7,Mahendragarh,GEN,Rao Inderjit Singh,INC,358714,,Sudha Yadav,BJP,148373,,210341
2004,Haryana,8,Bhiwani,GEN,Kuldeep Bishnoi,INC,290936,,Surender Singh,Haryana Vikas Party,266532,,24404
2004,Haryana,9,Hisar,GEN,Jai Parkash,INC,407210,,Surender Singh Barwala,Indian National Lok Dal,224442,,182768
2004,Haryana,10,Sirsa,SC,Atma Singh Gill,INC,349397,,Sushil Indora,Indian National Lok Dal,277922,,71475
2004,Himachal Pradesh,1,Simla,SC,Dhani Ram Shandil,INC,311182,,Hira Nand Kashyap,BJP,203002,,108180
2004,Himachal Pradesh,2,Mandi,GEN,Pratibha Singh,INC,357623,,Maheshwar Singh,BJP,291057,,66566
2004,Himachal Pradesh,3,Kangra,GEN,Chander Kumar,INC,314555,,Shanta Kumar,BJP,296764,,17791
2004,Himachal Pradesh,4,Hamirpur,GEN,Suresh Chandel,BJP,313243,,Ram Lal Thakur,INC,311628,,1615
2004,Jammu and Kashmir,1,Baramulla,GEN,Abdul Rashid Shaheen,JKNC,127653,,Nizamuddin Bhat,JKPDP,117758,,9895
2004,Jammu and Kashmir,2,Srinagar,GEN,Omar Abdullah,JKNC,98422,,Ghulam Nabi Lone,JKPDP,75263,,23159
