Year,State,Constituency_No,Constituency_Name,Constituency_Type,Winner_Candidate,Winner_Party,Winner_Votes,Winner_Percentage,Runner_up_Candidate,Runner_up_Party,Runner_up_Votes,Runner_up_Percentage,Margin_Votes
2009,Andhra Pradesh,42,Chittoor,SC,Naramalli Sivaprasad,TDP,434376,,M. Thippeswamy,INC,423717,,10659
2009,Arunachal Pradesh,1,Arunachal West,ST,Takam Sanjoy,INC,140443,,Kiren Rijiju,BJP,139129,,1314
2009,Arunachal Pradesh,2,Arunachal East,ST,Ninong Ering,INC,115423,,Tapir Gao,BJP,46974,,68449
2009,Assam,1,Karimganj,SC,Lalit Mohan Suklabaidya,INC,259717,,Rajesh Mallah,AIUDF,251797,,7920
2009,Assam,2,Silchar,GEN,Kabindra Purkayastha,BJP,243532,,Badruddin Ajmal,AIUDF,202062,,41470
2009,Assam,3,Autonomous District,ST,Biren Sing Engti,INC,197835,,Elwin Teron,Autonomous State Demand Committee,123287,,74548
2009,Assam,4,Dhubri,GEN,Badruddin Ajmal,AIUDF,540820,,Anwar Hussain,INC,356401,,184419
2009,Assam,5,Kokrajhar,ST,Sansuma Khunggur Bwiswmuthiary,Bodoland People'S Front,495211,,Urkhao Gwra Brahma,IND,304889,,190322
2009,Assam,6,Barpeta,GEN,Ismail Hussain,INC,322137,,Bhupen Ray,AGP,291708,,30429
2009,Assam,7,Guwahati,GEN,Bijoya Chakravarty,BJP,496047,,Robin Bordoloi,INC,484192,,11855
2009,Assam,8,Mangaldoi,GEN,Ramen Deka,BJP,307881,,Madhab Rajbangshi,INC,252032,,55849
2009,Assam,9,Tezpur,GEN,Joseph Toppo,AGP,352246,,Moni Kumar Subba,INC,322093,,30153
2009,Assam,10,Nagaon,GEN,Rajen Gohain,BJP,380921,,Anil Raja,INC,335541,,45380
2009,Assam,11,Kaliabor,GEN,Dip Gogoi,INC,434676,,Gunin Hazarika,AGP,282687,,151989
2009,Assam,12,Jorhat,GEN,Bijoy Krishna Handique,INC,362320,,Kamakhya Prasad Tasa,BJP,290406,,71914
2009,Assam,13,Dibrugarh,GEN,Paban Singh Ghatowar,INC,359163,,Sarbananda Sonowal,AGP,324020,,35143
2009,Assam,14,Lakhimpur,GEN,Ranee Narah,INC,352330,,Arun Kumar Sarmah,AGP,307758,,44572
2009,Bihar,1,Valmiki Nagar,GEN,Baidyanath Prasad Mahto,JD(U),277696,,Fakhruddin,IND,94021,,183675
2009,Bihar,2,Paschim Champaran,GEN,Sanjay Jaiswal,BJP,198781,,Prakash Jha,LJP,151438,,47343
2009,Bihar,3,Purvi Champaran,GEN,Radha Mohan Singh,BJP,201114,,Akhilesh Prasad Singh,RJD,121824,,79290
2009,Bihar,4,Sheohar,GEN,Rama Devi,BJP,233499,,Md Anwarul Haque,BSP,107815,,125684
2009,Bihar,5,Sitamarhi,GEN,Arjun Rai,JD(U),232782,,Samir Kumar Mahaseth,INC,122216,,110566
2009,Bihar,6,Madhubani,GEN,Hukmdev Narayan Yadav,BJP,164094,,Abdul Bari Siddiqui,RJD,154167,,9927
2009,Bihar,7,Jhanjharpur,GEN,Mangani Lal Mandal,JD(U),265175,,Devendra Prasad Yadav,RJD,192466,,72709
2009,Bihar,8,Supaul,GEN,Vishwa Mohan Kumar,JD(U),313677,,Ranjeet Ranjan,INC,147602,,166075
2009,Bihar,9,Araria,GEN,Pradeep Kumar Singh,BJP,282742,,Zakir Hussain Khan,LJP,260240,,22502
2009,Bihar,10,Kishanganj,GEN,Mohammad Asrarul Haque,INC,239405,,Syed Mahmood Ashraf,JD(U),159136,,80269
2009,Bihar,11,Katihar,GEN,Nikhil Kumar Choudhary,BJP,269834,,Tariq Anwar,NCP,255819,,14015
2009,Bihar,12,Purnia,GEN,Uday Singh,BJP,362952,,Shanti Priya,IND,176725,,186227
2009,Bihar,13,Madhepura,GEN,Sharad Yadav,JD(U),370585,,Ravindra Charan Yadav,RJD,192964,,177621
2009,Bihar,14,Darbhanga,GEN,Kirti Azad,BJP,239268,,Ali Ashraf Fatmi,RJD,192815,,46453
2009,Bihar,15,Muzaffarpur,GEN,Jai Narain Prasad Nishad,JD(U),195091,,Bhagwanlal Sahni,LJP,147282,,47809
2009,Bihar,16,Vaishali,GEN,Raghuvansh Prasad Singh,RJD,284479,,Vijay Kumar Shukla,JD(U),262171,,22308
2009,Bihar,17,Gopalganj,SC,Purnmasi Ram,JD(U),200024,,Anil Kumar,RJD,157552,,42472
2009,Bihar,18,Siwan,GEN,Om Prakash Yadav,IND,236194,,Hena Shahab,RJD,172764,,63430
2009,Bihar,19,Maharajganj,GEN,Umashanker Singh,RJD,211610,,Prabhunath Singh,JD(U),208813,,2797
2009,Bihar,20,Saran,GEN,Lalu Prasad Yadav,RJD,274209,,Rajiv Pratap Rudy,BJP,222394,,51815
2009,Bihar,21,Hajipur,SC,Ram Sundar Das,JD(U),246715,,Ram Vilas Paswan,LJP,208761,,37954
2009,Bihar,22,Ujiarpur,GEN,Ashwamedh Devi,JD(U),180082,,Alok Kumar Mehta,RJD,154770,,25312
2009,Bihar,23,Samastipur,SC,Maheshwar Hazari,JD(U),259458,,Ram Chandra Paswan,LJP,155082,,104376
2009,Bihar,24,Begusarai,GEN,Monazir Hassan,JD(U),205680,,Shatrughna Prasad Singh,CPI,164843,,40837
2009,Bihar,25,Khagaria,GEN,Dinesh Chandra Yadav,JD(U),266964,,Ravindar Rana,RJD,128209,,138755
2009,Bihar,26,Bhagalpur,GEN,Syed Shahnawaz Hussain,BJP,228384,,Shakuni Choudhary,RJD,172573,,55811
2009,Bihar,27,Banka,GEN,Digvijay Singh,IND,185762,,Jay Prakash Narayan Yadav,RJD,157046,,28716
2009,Bihar,28,Munger,GEN,Rajiv Ranjan Singh,JD(U),374317,,Ram Badan Roy,RJD,184956,,189361
2009,Bihar,29,Nalanda,GEN,Kaushalendra Kumar,JD(U),299155,,Satish Kumar,LJP,146478,,152677
2009,Bihar,30,Patna Sahib,GEN,Shatrughan Sinha,BJP,316549,,Vijay Kumar,RJD,149779,,166770
2009,Bihar,31,Pataliputra,GEN,Ranjan Prasad Yadav,JD(U),269298,,Lalu Prasad Yadav,RJD,245757,,23541
2009,Bihar,32,Arrah,GEN,Meena Singh,JD(U),212726,,Rama Kishore Singh,LJP,138006,,74720
2009,Bihar,33,Buxar,GEN,Jagada Nand Singh,RJD,132614,,Lalmuni Chaubey,BJP,130376,,2238
2009,Bihar,34,Sasaram,SC,Meira Kumar,INC,192213,,Muni Lall,BJP,149259,,42954
2009,Bihar,35,Karakat,GEN,Mahabali Singh,JD(U),196946,,Kanti Singh,RJD,176463,,20483
2009,Bihar,36,Jahanabad,GEN,Jagdish Sharma,JD(U),234769,,Surendra Yadav,RJD,213442,,21327
2009,Bihar,37,Aurangabad,GEN,Sushil Kumar Singh,JD(U),260153,,Shakil Ahmad Khan,RJD,188095,,72058
2009,Bihar,38,Gaya,SC,Hari Manjhi,BJP,246255,,Ramji Manjhi,RJD,183802,,62453
2009,Bihar,39,Nawada,GEN,Bhola Singh,BJP,130608,,Veena Devi,LJP,95691,,34917
2009,Bihar,40,Jamui,SC,Bhudeo Choudhary,JD(U),178560,,Shyam Rajak,RJD,148763,,29797
2009,Chandigarh,1,Chandigarh,GEN,Pawan Kumar Bansal,INC,161042,,Satya Pal Jain,BJP,102075,,58967
2009,Chhattisgarh,1,Sarguja,ST,Murarilal Singh,BJP,416532,,Bhanu Pratap Singh,INC,256984,,159548
2009,Chhattisgarh,2,Raigarh,ST,Vishnu Deo Sai,BJP,443948,,Hridayaram Rathiya,INC,388100,,55848
2009,Chhattisgarh,3,Janjgir-Champa,SC,Kamla Devi Patle,BJP,302142,,Shiv Kumar Dahariya,INC,214931,,87211
2009,Chhattisgarh,4,Korba,GEN,Charan Das Mahant,INC,314616,,Karuna Shukla,BJP,293879,,20737
2009,Chhattisgarh,5,Bilaspur,GEN,Dilip Singh Judeo,BJP,347930,,Renu Jogi,INC,327791,,20139
2009,Chhattisgarh,6,Rajnandgaon,GEN,Madhusudan Yadav,BJP,437721,,Devwrat Singh,INC,318647,,119074
2009,Chhattisgarh,7,Durg,GEN,Saroj Pandey,BJP,283170,,Pradeep Choubey,INC,273216,,9954
2009,Chhattisgarh,8,Raipur,GEN,Ramesh Bais,BJP,364943,,Bhupesh Baghel,INC,307042,,57901
2009,Chhattisgarh,9,Mahasamund,GEN,Chandu Lal Sahu,BJP,371201,,Motilal Sahu,INC,319726,,51475
2009,Chhattisgarh,10,Bastar,ST,Baliram Kashyap,BJP,249373,,Shankar Sodi,INC,149111,,100262
2009,Chhattisgarh,11,Kanker,ST,Sohan Potai,BJP,341131,,Phulo Devi Netam,INC,321843,,19288
2009,Dadra and Nagar Haveli,1,Dadra And Nagar Haveli,ST,Natubhai Gomanbhai Patel,BJP,51242,,Mohanbhai Sanjibhai Delkar,INC,50624,,618
2009,Daman and Diu,1,Daman And Diu,GEN,Lalubhai Patel,BJP,44546,,Dahyabhai Vallabhbhai Patel,INC,19708,,24838
2009,Delhi,1,Chandni Chowk,GEN,Kapil Sibal,INC,465713,,Vijender Gupta,BJP,265003,,200710
2009,Delhi,2,North East Delhi,GEN,Jai Parkash Aggarwal,INC,518191,,B. L. Sharma,BJP,295948,,222243
2009,Delhi,3,East Delhi,GEN,Sandeep Dikshit,INC,518001,,Chetan Chauhan,BJP,276948,,241053
2009,Delhi,4,New Delhi,GEN,Ajay Maken,INC,455867,,Vijay Goel,BJP,268058,,187809
2009,Delhi,5,North West Delhi,SC,Krishna Tirath,INC,487404,,Meera Kanwaria,BJP,302971,,184433
2009,Delhi,6,West Delhi,GEN,Mahabal Mishra,INC,479899,,Jagdish Mukhi,BJP,350889,,129010
2009,Delhi,7,South Delhi,GEN,Ramesh Kumar,INC,360278,,Ramesh Bidhuri,BJP,267059,,93219
2009,Goa,1,North Goa,GEN,Shripad Yesso Naik,BJP,137716,,Jitendra Raghuraj Deshprabhu,NCP,131363,,6353
2009,Goa,2,South Goa,GEN,Francisco Sardinha,INC,127494,,Narendra Keshav Sawaikar,BJP,114978,,12516
2009,Gujarat,1,Kachchh,SC,Poonamben Jat,BJP,285300,,Valjibhai Danicha,INC,213957,,71343
2009,Gujarat,2,Banaskantha,GEN,Mukesh Gadhvi,INC,289409,,Haribhai Parthibhai Chaudhary,BJP,279108,,10301
2009,Gujarat,3,Patan,GEN,Jagdish Thakor,INC,283778,,Bhavsinh Rathod,BJP,265274,,18504
2009,Gujarat,4,Mahesana,GEN,Jayshreeben Patel,BJP,334631,,Jivabhai Ambalal Patel,INC,312766,,21865
2009,Gujarat,5,Sabarkantha,GEN,Mahendrasinh Chauhan,BJP,337432,,Madhusudan Mistry,INC,320272,,17160
2009,Gujarat,6,Gandhinagar,GEN,L. K. Advani,BJP,434044,,Sureshkumar Chaturdas Patel,INC,312297,,121747
2009,Gujarat,7,Ahmedabad East,GEN,Harin Pathak,BJP,318846,,Deepakbhai Babariya,INC,232790,,86056
2009,Gujarat,8,Ahmedabad West,SC,Kirit Solanki,BJP,376823,,Shailesh Parmar,INC,285696,,91127
2009,Gujarat,9,Surendranagar,GEN,Somabhai Patel,INC,247710,,Laljibhai Mer,BJP,242879,,4831
2009,Gujarat,10,Rajkot,GEN,Kunwarjibhai Bavaliya,INC,307553,,Kiran Kumar Patel,BJP,282818,,24735
2009,Gujarat,11,Porbandar,GEN,Vitthal Radadiya,INC,329436,,Mansukhbhai Shamjibhai Kachariya,BJP,289933,,39503
2009,Gujarat,12,Jamnagar,GEN,Vikrambhai Arjanbhai Madam,INC,281410,,Rameshbhai Mungra,BJP,254992,,26418
2009,Gujarat,13,Junagadh,GEN,Dinubhai Solanki,BJP,355335,,Jashubhai Barad,INC,341576,,13759
2009,Gujarat,14,Amreli,GEN,Naranbhai Kachhadia,BJP,247666,,Nilaben Thummar,INC,210349,,37317
2009,Gujarat,15,Bhavnagar,GEN,Rajendrasinh Rana,BJP,213376,,Mahavirsinh Gohil,INC,207483,,5893
2009,Gujarat,16,Anand,GEN,Bharatsinh Solanki,INC,348655,,Dipakbhai Patel,BJP,281337,,67318
2009,Gujarat,17,Kheda,GEN,Dinsha Patel,INC,284004,,Devusinh Chauhan,BJP,283158,,846
2009,Gujarat,18,Panchmahal,GEN,Prabhatsinh Pratapsinh Chauhan,BJP,282079,,Shankersinh Vaghela,INC,279998,,2081
2009,Gujarat,19,Dahod,ST,Prabha Kishor Taviad,INC,250586,,Somjibhai Damor,BJP,192050,,58536
2009,Gujarat,20,Vadodara,GEN,Balkrishna Khanderao Shukla,BJP,428833,,Satyajitsinh Gaekwad,INC,292805,,136028
2009,Gujarat,21,Chhota Udaipur,ST,Ramsinh Rathwa,BJP,353534,,Naranbhai Rathwa,INC,326536,,26998
2009,Gujarat,22,Bharuch,GEN,Mansukhbhai Vasava,BJP,311019,,Aziz Tankarvi,INC,283787,,27232
2009,Gujarat,23,Bardoli,ST,Tushar Amarsinh Chaudhary,INC,398430,,Riteshkumar Vasava,BJP,339445,,58985
2009,Gujarat,24,Surat,GEN,Darshana Jardosh,BJP,364947,,Dhirubhai Haribhai Gajera,INC,290149,,74798
2009,Gujarat,25,Navsari,GEN,C. R. Patil,BJP,423413,,Dhansukh Rajput,INC,290770,,132643
2009,Gujarat,26,Valsad,ST,Kishanbhai Vestabhai Patel,INC,357755,,DC Patel,BJP,350586,,7169
2009,Haryana,1,Ambala,SC,Kumari Selja,INC,322258,,Rattan Lal Kataria,BJP,307688,,14570
2009,Haryana,2,Kurukshetra,GEN,Naveen Jindal,INC,397204,,Ashok Kumar Arora,Indian National Lok Dal,278475,,118729
2009,Haryana,3,Sirsa,SC,Ashok Tanwar,INC,415584,,Sita Ram,Indian National Lok Dal,380085,,35499
2009,Haryana,4,Hisar,GEN,Bhajan Lal,Haryana Janhit Congress (Bl),248476,,Sampat Singh,Indian National Lok Dal,241493,,6983
2009,Haryana,5,Karnal,GEN,Arvind Kumar Sharma,INC,304698,,Maratha Virender Verma,BSP,228352,,76346
2009,Haryana,6,Sonipat,GEN,Jitender Singh Malik,INC,338795,,Kishan Singh Sangwan,BJP,177511,,161284
2009,Haryana,7,Rohtak,GEN,Deepender Singh Hooda,INC,585016,,Nafe Singh Rathee,Indian National Lok Dal,139280,,445736
2009,Haryana,8,Bhiwani-Mahendragarh,GEN,Shruti Choudhry,INC,302817,,Ajay Singh Chautala,Indian National Lok Dal,247240,,55577
2009,Haryana,9,Gurgaon,GEN,Rao Inderjit Singh,INC,278516,,Zakir Hussain,BSP,193652,,84864
2009,Haryana,10,Faridabad,GEN,Avtar Singh Bhadana,INC,257864,,Ram Chander Bainda,BJP,189663,,68201
2009,Himachal Pradesh,1,Kangra,GEN,Rajan Sushant,BJP,322254,,Chander Kumar,INC,301475,,20779
2009,Himachal Pradesh,2,Mandi,GEN,Virbhadra Singh,INC,340973,,Maheshwar Singh,BJP,326976,,13997
2009,Himachal Pradesh,3,Hamirpur,GEN,Anurag Thakur,BJP,373598,,Narinder Thakur,INC,300866,,72732
2009,Himachal Pradesh,4,Shimla,SC,Virender Kashyap,BJP,310946,,Dhani Ram Shandil,INC,283619,,27327
2009,Jammu and Kashmir,1,Baramulla,GEN,Sharifuddin Shariq,JKNC,203022,,Mohammad Dilawar Mir,JKPDP,138208,,64814
2009,Jammu and Kashmir,2,Srinagar,GEN,Farooq Abdullah,JKNC,147035,,Iftikhar Hussain Ansari,JKPDP,116793,,30242
2009,Jammu and Kashmir,3,Anantnag,GEN,Mirza Mehboob Beg,JKNC,148317,,Peer Mohd Hussain,JKPDP,143093,,5224
2009,Jammu and Kashmir,4,Ladakh,GEN,Hassan Khan,IND,32701,,Phuntsog Namgyal,INC,29017,,3684
2009,Jammu and Kashmir,5,Udhampur,GEN,Chaudhary Lal Singh,INC,231853,,Nirmal Singh,BJP,218459,,13394
2009,Jammu and Kashmir,6,Jammu,GEN,Madan Lal Sharma,INC,382305,,Lila Karan Sharma,BJP,260932,,121373
2009,Jharkhand,1,Rajmahal,ST,Devidhan Besra,BJP,168357,,Hemlal Murmu,JMM,159374,,8983
2009,Jharkhand,2,Dumka,ST,Shibu Soren,JMM,208518,,Sunil Soren,BJP,189706,,18812
2009,Jharkhand,3,Godda,GEN,Nishikant Dubey,BJP,189526,,Furkan Ansari,INC,183119,,6407
2009,Jharkhand,4,Chatra,GEN,Inder Singh Namdhari,IND,108336,,Dhiraj Prasad Sahu,INC,92158,,16178
2009,Jharkhand,5,Kodarma,GEN,Babulal Marandi,Jharkhand Vikas Morcha (Prajatantrik),199462,,Raj Kumar Yadav,CPI(ML)L,150942,,48520
2009,Jharkhand,6,Giridih,GEN,Ravindra Kumar Pandey,BJP,233435,,Tek Lal Mahto,JMM,138697,,94738
2009,Jharkhand,7,Dhanbad,GEN,Pashupati Nath Singh,BJP,260521,,Chandra Shekhar Dubey,INC,202474,,58047
2009,Jharkhand,8,Ranchi,GEN,Subodh Kant Sahay,INC,310499,,Ram Tahal Choudhary,BJP,297149,,13350
2009,Jharkhand,9,Jamshedpur,GEN,Arjun Munda,BJP,319620,,Suman Mahato,JMM,199957,,119663
2009,Jharkhand,10,Singhbhum,ST,Madhu Koda,IND,256827,,Barkuwar Gagrai,BJP,167154,,89673
2009,Jharkhand,11,Khunti,ST,Kariya Munda,BJP,210214,,Neil Tirkey,INC,130039,,80175
2009,Jharkhand,12,Lohardaga,ST,Sudarshan Bhagat,BJP,144628,,Chamra Linda,IND,136345,,8283
2009,Jharkhand,13,Palamau,SC,Kameshwar Baitha,JMM,167995,,Ghuran Ram,RJD,144457,,23538
2009,Jharkhand,14,Hazaribagh,GEN,Yashwant Sinha,BJP,219810,,Saurabh Narain Singh,INC,179646,,40164
2009,Karnataka,1,Chikkodi,GEN,Ramesh Katti,BJP,438081,,Prakash Hukkeri,INC,382794,,55287
2009,Karnataka,2,Belgaum,GEN,Suresh Angadi,BJP,384324,,Amarsinh Vasantrao Patil,INC,265637,,118687
2009,Karnataka,3,Bagalkot,GEN,P. C. Gaddigoudar,BJP,413272,,J. T. Patil,INC,377826,,35446
2009,Karnataka,4,Bijapur,SC,Ramesh Jigajinagi,BJP,308939,,Prakash Rathod,INC,266535,,42404
2009,Karnataka,5,Gulbarga,SC,Mallikarjun Kharge,INC,345241,,Revu Naik Belamgi,BJP,331837,,13404
2009,Karnataka,6,Raichur,ST,Sanna Pakirappa,BJP,316450,,Raja Venkatappa Naik,INC,285814,,30636
2009,Karnataka,7,Bidar,GEN,Dharam Singh,INC,337957,,Gurupadappa Nagamarapalli,BJP,298338,,39619
2009,Karnataka,8,Koppal,GEN,Shivaramagouda Shivanagouda,BJP,291693,,Basavaraj Rayareddy,INC,209904,,81789
2009,Karnataka,9,Bellary,ST,J. Shantha,BJP,402213,,N. Y. Hanumanthappa,INC,399970,,2243
2009,Karnataka,10,Haveri,GEN,Shivkumar Chanabasappa Udasi,BJP,430293,,Saleem Ahmed,INC,342373,,87920
2009,Karnataka,11,Dharwad,GEN,Pralhad Joshi,BJP,446786,,Manjunath Kunnur,INC,309123,,137663
2009,Karnataka,12,Uttara Kannada,GEN,Anant Kumar Hegde,BJP,339300,,Margaret Alva,INC,316531,,22769
2009,Karnataka,13,Davanagere,GEN,G. M. Siddeshwara,BJP,423447,,SS Mallikarjuna,INC,421423,,2024
2009,Karnataka,14,Shimoga,GEN,B. Y. Raghavendra,BJP,482783,,Sarekoppa Bangarappa,INC,429890,,52893
2009,Karnataka,15,Udupi Chikmagalur,GEN,D. V. Sadananda Gowda,BJP,401441,,K. Jayaprakash Hegde,INC,374423,,27018
2009,Karnataka,16,Hassan,GEN,H. D. Deve Gowda,JD(S),496429,,K H Hanume Gowda,BJP,205316,,291113
2009,Karnataka,17,Dakshina Kannada,GEN,Nalin Kumar Kateel,BJP,499385,,Janardhana Poojary,INC,458965,,40420
2009,Karnataka,18,Chitradurga,SC,Janardhana Swamy,BJP,370920,,B Thippeswamy,INC,235349,,135571
2009,Karnataka,19,Tumkur,GEN,G. S. Basavaraj,BJP,331064,,S. P. Muddahanumegowda,JD(S),309619,,21445
2009,Karnataka,20,Mandya,GEN,N Cheluvaraya Swamy,JD(S),384443,,Ambareesh,INC,360943,,23500
2009,Karnataka,21,Mysore,GEN,Adagur H. Vishwanath,INC,354810,,C. H. Vijayashankar,BJP,347119,,7691
2009,Karnataka,22,Chamarajanagar,SC,R. Dhruvanarayana,INC,369970,,A R Krishnamurthy,BJP,365968,,4002
2009,Karnataka,23,Bangalore Rural,GEN,H. D. Kumaraswamy,JD(S),493302,,C. P. Yogeeshwara,BJP,363027,,130275
2009,Karnataka,24,Bangalore North,GEN,D. B. Chandre Gowda,BJP,452920,,C. K. Jaffer Sharief,INC,393255,,59665
2009,Karnataka,25,Bangalore Central,GEN,P. C. Mohan,BJP,340162,,H. T. Sangliana,INC,304944,,35218
2009,Karnataka,26,Bangalore South,GEN,Ananth Kumar,BJP,437953,,Krishna Byre Gowda,INC,400341,,37612
2009,Karnataka,27,Chikballapur,GEN,Veerappa Moily,INC,390500,,C Aswathanarayana,BJP,339119,,51381
2009,Karnataka,28,Kolar,GEN,K. H. Muniyappa,INC,344771,,DS Veeraiah,BJP,321765,,23006
2009,Kerala,1,Kasaragod,GEN,P. Karunakaran,CPI(M),385522,,Shahida Kamal,INC,321095,,64427
2009,Kerala,2,Kannur,GEN,K. Sudhakaran,INC,432878,,K. K. Ragesh,CPI(M),389727,,43151
2009,Kerala,3,Vatakara,GEN,Mullappally Ramachandran,INC,421255,,P Satheedevi,CPI(M),365069,,56186
2009,Kerala,4,Wayanad,GEN,M. I. Shanavas,INC,410703,,M Rahmathulla,CPI,257264,,153439
2009,Kerala,5,Kozhikode,GEN,M. K. Raghavan,INC,342309,,P. A. Mohammed Riyas,CPI(M),341471,,838
2009,Kerala,6,Malappuram,GEN,E. Ahamed,Muslim League Kerala State Committee,427940,,T. K. Hamza,CPI(M),312343,,115597
2009,Kerala,7,Ponnani,GEN,E. T. Mohammed Basheer,Muslim League Kerala State Committee,385801,,Hussain Randathani,IND,303117,,82684
2009,Kerala,8,Palakkad,GEN,M. B. Rajesh,CPI(M),338070,,Satheeshan Pacheni,INC,336250,,1820
2009,Kerala,9,Alathur,SC,P. K. Biju,CPI(M),387352,,NK Sudheer,INC,366392,,20960
2009,Kerala,10,Thrissur,GEN,P. C. Chacko,INC,385297,,C. N. Jayadevan,CPI,360146,,25151
2009,Kerala,11,Chalakudy,GEN,K. P. Dhanapalan,INC,399035,,UP Joseph,CPI(M),327356,,71679
2009,Kerala,12,Ernakulam,GEN,K. V. Thomas,INC,342845,,Sindhu Joy,CPI(M),331055,,11790
2009,Kerala,13,Idukki,GEN,P. T. Thomas,INC,408484,,Francis George,Kerala Congress,333688,,74796
2009,Kerala,14,Kottayam,GEN,Jose K. Mani,Kerala Congress (M),404962,,K. Suresh Kurup,CPI(M),333392,,71570
2009,Kerala,15,Alappuzha,GEN,K. C. Venugopal,INC,468679,,K. S. Manoj,CPI(M),411044,,57635
2009,Kerala,16,Mavelikkara,SC,Kodikunnil Suresh,INC,397211,,RS Anil,CPI,349163,,48048
2009,Kerala,17,Pathanamthitta,GEN,Anto Antony,INC,408232,,K Anantha Gopan,CPI(M),297026,,111206
2009,Kerala,18,Kollam,GEN,N. Peethambara Kurup,INC,357401,,P. Rajendran,CPI(M),339870,,17531
2009,Kerala,19,Attingal,GEN,A Sampath,CPI(M),328036,,G Balachandran,INC,309695,,18341
2009,Kerala,20,Thiruvananthapuram,GEN,Shashi Tharoor,INC,326725,,P Ramachandran Nair,CPI(M),226727,,99998
2009,Lakshadweep,1,Lakshadweep,ST,Muhammed Hamdulla Sayeed,INC,20492,,P. Pookunhi Koya,NCP,18294,,2198
2009,Madhya Pradesh,1,Morena,GEN,Narendra Singh Tomar,BJP,300647,,Ramnivas Rawat,INC,199650,,100997
2009,Madhya Pradesh,2,Bhind,SC,Ashok Argal,BJP,227365,,Bhagirath Prasad,INC,208479,,18886
2009,Madhya Pradesh,3,Gwalior,GEN,Yashodhara Raje Scindia,BJP,252314,,Ashok Singh,INC,225723,,26591
2009,Madhya Pradesh,4,Guna,GEN,Jyotiraditya Scindia,INC,413297,,Narottam Mishra,BJP,163560,,249737
2009,Madhya Pradesh,5,Sagar,GEN,Bhupendra Singh,BJP,323954,,Aslam Sher Khan,INC,192786,,131168
2009,Madhya Pradesh,6,Tikamgarh,SC,Virendra Kumar,BJP,200109,,Ahirwar Vrindavan,INC,158247,,41862
2009,Madhya Pradesh,7,Damoh,GEN,Shivraj Singh Lodhi,BJP,302673,,Chandrabhan Bhaiya,INC,231796,,70877
2009,Madhya Pradesh,8,Khajuraho,GEN,Jeetendra Singh Bundela,BJP,229369,,Raja Pateria,INC,201037,,28332
2009,Madhya Pradesh,9,Satna,GEN,Ganesh Singh,BJP,194624,,Sukhlal Kushwaha,BSP,190206,,4418
2009,Madhya Pradesh,10,Rewa,GEN,Deoraj Singh Patel,BSP,172002,,Sundar Lal Tiwari,INC,167981,,4021
2009,Madhya Pradesh,11,Sidhi,GEN,Govind Prasad Mishra,BJP,270914,,Indrajeet Kumar,INC,225174,,45740
2009,Madhya Pradesh,12,Shahdol,ST,Rajesh Nandini Singh,INC,263434,,Narendra Singh Maravi,BJP,250019,,13415
2009,Madhya Pradesh,13,Jabalpur,GEN,Rakesh Singh,BJP,343922,,Rameshwar Neekhra,INC,237919,,106003
2009,Madhya Pradesh,14,Mandla,ST,Basori Singh Masram,INC,391133,,Faggan Singh Kulaste,BJP,326080,,65053
2009,Madhya Pradesh,15,Balaghat,GEN,K. D. Deshmukh,BJP,299959,,Vishveshwar Bhagat,INC,259140,,40819
2009,Madhya Pradesh,16,Chhindwara,GEN,Kamal Nath,INC,409736,,Marot Rao Khavase,BJP,288516,,121220
2009,Madhya Pradesh,17,Narmadapuram,GEN,Uday Pratap Singh,INC,339496,,Rampal Singh,BJP,320251,,19245
2009,Madhya Pradesh,18,Vidisha,GEN,Sushma Swaraj,BJP,438235,,Munvvar Saleem,SP,48391,,389844
2009,Madhya Pradesh,19,Bhopal,GEN,Kailash Joshi,BJP,335678,,Surendra Singh Thakur,INC,270521,,65157
2009,Madhya Pradesh,20,Rajgarh,GEN,Narayan Singh Amlabe,INC,319371,,Lakshman Singh,BJP,294983,,24388
2009,Madhya Pradesh,21,Dewas,SC,Sajjan Singh Verma,INC,376421,,Thawar Chand Gehlot,BJP,360964,,15457
2009,Madhya Pradesh,22,Ujjain,SC,Premchand Guddu,INC,326905,,Satyanarayan Jatiya,BJP,311064,,15841
2009,Madhya Pradesh,23,Mandsaur,GEN,Meenakshi Natarajan,INC,373532,,Laxminarayan Pandey,BJP,342713,,30819
2009,Madhya Pradesh,24,Ratlam,ST,Kantilal Bhuria,INC,308923,,Dileep Singh Bhuria,BJP,251255,,57668
2009,Madhya Pradesh,25,Dhar,ST,Gajendra Singh Rajukhedi,INC,302660,,Mukam Singh Kirade,BJP,299999,,2661
2009,Madhya Pradesh,26,Indore,GEN,Sumitra Mahajan,BJP,388662,,Satyanarayan Patel,INC,377182,,11480
2009,Madhya Pradesh,27,Khargone,ST,Makhansingh Solanki,BJP,351296,,Bala Bachchan,INC,317121,,34175
2009,Madhya Pradesh,28,Khandwa,GEN,Arun Subhash Chandra Yadav,INC,394241,,Nandkumar Singh Chauhan,BJP,345160,,49081
2009,Madhya Pradesh,29,Betul,ST,Jyoti Dhurve,BJP,334939,,Ojharam Evane,INC,237622,,97317
2009,Maharashtra,1,Nandurbar,ST,Manikrao Hodlya Gavit,INC,275936,,Sharad Gavit,SP,235093,,40843
2009,Maharashtra,2,Dhule,GEN,Pratap Narayanrao Sonawane,BJP,263260,,Amarishbhai Rasiklal Patel,INC,243841,,19419
