Year,State_UT,Party_Alliance,Votes_Received,Vote_Share_Percentage,Seats_Won
2009,Jharkhand,Jharkhand Vikas Morcha (Prajatantrik),,7.0,1
2009,Jharkhand,JMM,,14.0,2
2009,Jharkhand,INC,,7.0,1
2009,Jharkhand,IND,,14.0,2
2009,Karnataka,BJP,,68.0,19
2009,Karnataka,INC,,21.0,6
2009,Karnataka,JD(S),,11.0,3
2009,Kerala,INC,,65.0,13
2009,Kerala,Indian Union Muslim League,,10.0,2
2009,Kerala,Kerala Congress (M),,5.0,1
2009,Kerala,CPI(M),,20.0,4
2009,Kerala,1,,,
2009,Kerala,NCP,,,0
2009,Kerala,JD(U),,,0
2009,Madhya Pradesh,BJP,,,16
2009,Madhya Pradesh,INC,,,12
2009,Madhya Pradesh,BSP,,,1
2009,Maharashtra,INC,,,17
2009,Maharashtra,NCP,,,8
2009,Maharashtra,SS,,,11
2009,Maharashtra,BJP,,,9
2009,Maharashtra,Swabhimani Paksha,,,1
2009,Maharashtra,Bahujan Vikas Aaghadi,,,1
2009,Maharashtra,IND,,,1
2009,Manipur,INC,,,2
2009,Manipur,People'S Democratic Alliance,,,0
2009,Meghalaya,INC,,,1
2009,Meghalaya,NCP,,,1
2009,Mizoram,INC,,,1
2009,Mizoram,Mizo National Front,,,0
2009,Nagaland,Naga People'S Front,,,1
2009,Nagaland,INC,,,0
2009,Odisha,BJD,,,14
2009,Odisha,INC,,,6
2009,Odisha,CPI(M),,,1
2009,Puducherry,INC,,,1
2009,Puducherry,Pattali Makkal Katchi,,,0
2009,Puducherry,AIADMK,,,0
2009,Punjab,INC,,,8
2009,Punjab,SAD,,,4
2009,Punjab,BJP,,,1
2009,Rajasthan,INC,,,20
2009,Rajasthan,BJP,,,4
2009,Rajasthan,IND,,,1
2009,Sikkim,SDF,,,1
2009,Sikkim,INC,,,0
2009,Tamil Nadu,DMK,,,18
2009,Tamil Nadu,AIADMK,,,4
2009,Tamil Nadu,INC,,,1
2009,Tamil Nadu,VCK,,,1
2009,Tamil Nadu,Marumalarchi Dravida Munnetra Kazhagam,,,1
2009,Tamil Nadu,CPI,,,1
2009,Tamil Nadu,CPI(M),,,1
2009,Tripura,CPI(M),,,2
2009,Tripura,INC,,,0
2009,Uttar Pradesh,SP,,,23
2009,Uttar Pradesh,INC,,,21
2009,Uttar Pradesh,BSP,,,20
2009,Uttar Pradesh,BJP,,,10
2009,Uttar Pradesh,RLD,,,1
2009,Uttar Pradesh,IND,,,1
2009,West Bengal,TMC,,,19
2009,West Bengal,CPI(M),,,9
2009,West Bengal,INC,,,6
2009,West Bengal,CPI,,,2
2009,West Bengal,AIFB,,,2
2009,West Bengal,RSP,,,1
2009,West Bengal,BJP,,,1
2009,West Bengal,Socialist Unity Centre Of India (Communist),,,1
2014,Andaman and Nicobar Islands,BJP,,47.8,1
2014,Andaman and Nicobar Islands,INC,,44.8,0
2014,Andhra Pradesh,TDP,,28.1,15
2014,Andhra Pradesh,YSRCP,,28.9,8
2014,Andhra Pradesh,INC,,11.5,0
2014,Andhra Pradesh,BJP,,8.5,2
2014,Arunachal Pradesh,BJP,275344,46.62,1
2014,Arunachal Pradesh,INC,246084,41.66,1
2014,Assam,BJP,5507152,36.5,7
2014,Assam,INC,4467295,29.6,3
2014,Assam,AIUDF,2237612,14.8,3
2014,Assam,AGP,577730,3.8,0
2014,Assam,Independent (Politician),1436900,9.62,1
2014,Assam,Bodoland People'S Front,330106,2.21,0
2014,Bihar,BJP,,29.4,22
2014,Bihar,LJP,,6.4,6
2014,Bihar,RJD,,20.1,4
2014,Bihar,JD(U),,15.8,2
2014,Bihar,Rashtriya Lok Samta Party,,3.0,3
2014,Bihar,NCP,,1.2,1
2014,Bihar,INC,,8.4,2
2014,Bihar,IND,,,0
2014,Chandigarh,BJP,,42.2,1
2014,Chandigarh,INC,,26.8,0
2014,Chandigarh,AAP,,24.0,0
2014,Chhattisgarh,BJP,,48.7,10
2014,Chhattisgarh,INC,,38.4,1
2014,Dadra and Nagar Haveli,BJP,,48.9,1
2014,Dadra and Nagar Haveli,INC,,45.1,0
2014,Daman and Diu,BJP,,53.800000000000004,1
2014,Daman and Diu,INC,,43.3,0
2014,Delhi,BJP,,46.4,7
2014,Delhi,INC,,15.1,0
2014,Delhi,AAP,,34.9,0
2014,Goa,BJP,,53.400000000000006,2
2014,Goa,INC,,36.6,0
2014,Gujarat,BJP,,60.11,26
2014,Gujarat,INC,,33.45,0
