Year,State,Constituency_Name,Winner_Candidate,Winner_Party,Previous_Winner,Previous_Party,Incumbent_Reelected
2009,Gujarat,Navsari,C. R. Patil,BJP,,,
2014,Gujarat,Navsari,C. R. Patil,BJP,C. R. Patil,BJP,TRUE
2019,Gujarat,Navsari,C. R. Patil,BJP,C. R. Patil,BJP,TRUE
2024,Gujarat,Navsari,C. R. Patil,BJP,C. R. Patil,BJP,TRUE
2009,Gujarat,Panchmahal,Prabhatsinh Pratapsinh Chauhan,BJP,,,
2014,Gujarat,Panchmahal,Prabhatsinh Chauhan,BJP,Prabhatsinh Pratapsinh Chauhan,BJP,FALSE
2019,Gujarat,Panchmahal,Ratansinh Rathod,BJP,Prabhatsinh Chauhan,BJP,FALSE
2024,Gujarat,Panchmahal,Rajpalsinh Mahendrasinh Jadhav,BJP,Ratansinh Rathod,BJP,FALSE
2004,Gujarat,Patan,Mahesh Kanodia,BJP,,,
2009,Gujarat,Patan,Jagdish Thakor,INC,Mahesh Kanodia,BJP,FALSE
2014,Gujarat,Patan,Liladhar Vaghela,BJP,Jagdish Thakor,INC,FALSE
2019,Gujarat,Patan,Bharatsinhji Dabhi Thakor,BJP,Liladhar Vaghela,BJP,FALSE
2024,Gujarat,Patan,Bharatsinhji Dabhi,BJP,Bharatsinhji Dabhi Thakor,BJP,FALSE
2004,Gujarat,Porbandar,Harilal Patel,BJP,,,
2009,Gujarat,Porbandar,Vitthal Radadiya,INC,Harilal Patel,BJP,FALSE
2014,Gujarat,Porbandar,Vitthal Radadiya,BJP,Vitthal Radadiya,INC,TRUE
2019,Gujarat,Porbandar,Rameshbhai Dhaduk,BJP,Vitthal Radadiya,BJP,FALSE
2024,Gujarat,Porbandar,Mansukh Mandaviya,BJP,Rameshbhai Dhaduk,BJP,FALSE
2004,Gujarat,Rajkot,Vallabhbhai Kathiria,BJP,,,
2009,Gujarat,Rajkot,Kunwarjibhai Bavaliya,INC,Vallabhbhai Kathiria,BJP,FALSE
2014,Gujarat,Rajkot,Mohan Kundariya,BJP,Kunwarjibhai Bavaliya,INC,FALSE
2019,Gujarat,Rajkot,Mohan Kundariya,BJP,Mohan Kundariya,BJP,TRUE
2024,Gujarat,Rajkot,Parshottam Rupala,BJP,Mohan Kundariya,BJP,FALSE
2004,Gujarat,Sabarkantha,Madhusudan Mistry,INC,,,
2009,Gujarat,Sabarkantha,Mahendrasinh Chauhan,BJP,Madhusudan Mistry,INC,FALSE
2014,Gujarat,Sabarkantha,Dipsinh Rathod,BJP,Mahendrasinh Chauhan,BJP,FALSE
2019,Gujarat,Sabarkantha,Dipsinh Rathod,BJP,Dipsinh Rathod,BJP,TRUE
2024,Gujarat,Sabarkantha,Shobhnaben Mahendrasinh Baraiya,BJP,Dipsinh Rathod,BJP,FALSE
2004,Gujarat,Surat,Kashiram Rana,BJP,,,
2009,Gujarat,Surat,Darshana Jardosh,BJP,Kashiram Rana,BJP,FALSE
2014,Gujarat,Surat,Darshana Jardosh,BJP,Darshana Jardosh,BJP,TRUE
2019,Gujarat,Surat,Darshana Jardosh,BJP,Darshana Jardosh,BJP,TRUE
2024,Gujarat,Surat,Mukesh Dalal,BJP,Darshana Jardosh,BJP,FALSE
2004,Gujarat,Surendranagar,Somabhai Gandalal Koli Patel,BJP,,,
2009,Gujarat,Surendranagar,Somabhai Patel,INC,Somabhai Gandalal Koli Patel,BJP,FALSE
2014,Gujarat,Surendranagar,Devjibhai Fatepara,BJP,Somabhai Patel,INC,FALSE
2019,Gujarat,Surendranagar,Mahendra Munjapara,BJP,Devjibhai Fatepara,BJP,FALSE
2024,Gujarat,Surendranagar,Chandubhai Chhaganbhai Shihora,BJP,Mahendra Munjapara,BJP,FALSE
2009,Gujarat,Vadodara,Balkrishna Khanderao Shukla,BJP,,,
2014,Gujarat,Vadodara,Narendra Modi,BJP,Balkrishna Khanderao Shukla,BJP,FALSE
2019,Gujarat,Vadodara,Ranjanben Bhatt,BJP,Narendra Modi,BJP,FALSE
2024,Gujarat,Vadodara,Hemang Yogeshchandra Joshi,BJP,Ranjanben Bhatt,BJP,FALSE
2009,Gujarat,Valsad,Kishanbhai Vestabhai Patel,INC,,,
2014,Gujarat,Valsad,K C Patel,BJP,Kishanbhai Vestabhai Patel,INC,FALSE
2019,Gujarat,Valsad,K C Patel,BJP,K C Patel,BJP,TRUE
2024,Gujarat,Valsad,Dhaval Laxmanbhai Patel,BJP,K C Patel,BJP,FALSE
2004,Haryana,Ambala,Kumari Selja,INC,,,
2009,Haryana,Ambala,Kumari Selja,INC,Kumari Selja,INC,TRUE
2014,Haryana,Ambala,Rattan Lal Kataria,BJP,Kumari Selja,INC,FALSE
2019,Haryana,Ambala,Rattan Lal Kataria,BJP,Rattan Lal Kataria,BJP,TRUE
2024,Haryana,Ambala,Varun Chaudhary,INC,Rattan Lal Kataria,BJP,FALSE
2004,Haryana,Bhiwani,Kuldeep Bishnoi,INC,,,
2009,Haryana,Bhiwani-Mahendragarh,Shruti Choudhry,INC,,,
2014,Haryana,Bhiwani-Mahendragarh,Dharambir Singh,BJP,Shruti Choudhry,INC,FALSE
2019,Haryana,Bhiwani-Mahendragarh,Dharambir Singh,BJP,Dharambir Singh,BJP,TRUE
2024,Haryana,Bhiwani-Mahendragarh,Dharambir Singh Chaudhary,BJP,Dharambir Singh,BJP,FALSE
2004,Haryana,Faridabad,Avtar Singh Bhadana,INC,,,
2009,Haryana,Faridabad,Avtar Singh Bhadana,INC,Avtar Singh Bhadana,INC,TRUE
2014,Haryana,Faridabad,Krishan Pal Gurjar,BJP,Avtar Singh Bhadana,INC,FALSE
2019,Haryana,Faridabad,Krishan Pal Gurjar,BJP,Krishan Pal Gurjar,BJP,TRUE
2024,Haryana,Faridabad,Krishan Pal Gurjar,BJP,Krishan Pal Gurjar,BJP,TRUE
2009,Haryana,Gurgaon,Rao Inderjit Singh,INC,,,
2014,Haryana,Gurgaon,Rao Inderjit Singh,BJP,Rao Inderjit Singh,INC,TRUE
2019,Haryana,Gurgaon,Inderjit Singh Rao,BJP,Rao Inderjit Singh,BJP,FALSE
2024,Haryana,Gurgaon,Rao Inderjit Singh,BJP,Inderjit Singh Rao,BJP,FALSE
2004,Haryana,Hisar,Jai Parkash,INC,,,
2009,Haryana,Hisar,Bhajan Lal,Haryana Janhit Congress (Bl),Jai Parkash,INC,FALSE
2014,Haryana,Hisar,Dushyant Chautala,Indian National Lok Dal,Bhajan Lal,Haryana Janhit Congress (Bl),FALSE
2019,Haryana,Hisar,Bijendra Singh,BJP,Dushyant Chautala,Indian National Lok Dal,FALSE
2024,Haryana,Hisar,Jai Parkash,INC,Bijendra Singh,BJP,FALSE
2004,Haryana,Karnal,Arvind Kumar Sharma,INC,,,
2009,Haryana,Karnal,Arvind Kumar Sharma,INC,Arvind Kumar Sharma,INC,TRUE
2014,Haryana,Karnal,Ashwini Kumar Chopra,BJP,Arvind Kumar Sharma,INC,FALSE
2019,Haryana,Karnal,Sanjay Bhatia,BJP,Ashwini Kumar Chopra,BJP,FALSE
2024,Haryana,Karnal,Manohar Lal Khattar,BJP,Sanjay Bhatia,BJP,FALSE
2004,Haryana,Kurukshetra,Naveen Jindal,INC,,,
2009,Haryana,Kurukshetra,Naveen Jindal,INC,Naveen Jindal,INC,TRUE
2014,Haryana,Kurukshetra,Raj Kumar Saini,BJP,Naveen Jindal,INC,FALSE
2019,Haryana,Kurukshetra,Nayab Singh,BJP,Raj Kumar Saini,BJP,FALSE
2024,Haryana,Kurukshetra,Naveen Jindal,BJP,Nayab Singh,BJP,FALSE
2004,Haryana,Mahendragarh,Rao Inderjit Singh,INC,,,
2004,Haryana,Rohtak,Bhupinder Singh Hooda,INC,,,
2009,Haryana,Rohtak,Deepender Singh Hooda,INC,Bhupinder Singh Hooda,INC,FALSE
2014,Haryana,Rohtak,Deepender Singh Hooda,INC,Deepender Singh Hooda,INC,TRUE
2019,Haryana,Rohtak,Arvind Kumar Sharma,BJP,Deepender Singh Hooda,INC,FALSE
2024,Haryana,Rohtak,Deepender Singh Hooda,INC,Arvind Kumar Sharma,BJP,FALSE
2004,Haryana,Sirsa,Atma Singh Gill,INC,,,
2009,Haryana,Sirsa,Ashok Tanwar,INC,Atma Singh Gill,INC,FALSE
2014,Haryana,Sirsa,Charanjeet Singh Rori,Indian National Lok Dal,Ashok Tanwar,INC,FALSE
2019,Haryana,Sirsa,Sunita Duggal,BJP,Charanjeet Singh Rori,Indian National Lok Dal,FALSE
2024,Haryana,Sirsa,Selja Kumari,INC,Sunita Duggal,BJP,FALSE
2004,Haryana,Sonepat,Kishan Singh Sangwan,BJP,,,
2009,Haryana,Sonipat,Jitender Singh Malik,INC,,,
2014,Haryana,Sonipat,Ramesh Chander Kaushik,BJP,Jitender Singh Malik,INC,FALSE
2019,Haryana,Sonipat,Ramesh Chander Kaushik,BJP,Ramesh Chander Kaushik,BJP,TRUE
2024,Haryana,Sonipat,Satpal Brahamchari,INC,Ramesh Chander Kaushik,BJP,FALSE
2004,Himachal Pradesh,Hamirpur,Suresh Chandel,BJP,,,
2009,Himachal Pradesh,Hamirpur,Anurag Thakur,BJP,Suresh Chandel,BJP,FALSE
2014,Himachal Pradesh,Hamirpur,Anurag Thakur,BJP,Anurag Thakur,BJP,TRUE
2019,Himachal Pradesh,Hamirpur,Anurag Thakur,BJP,Anurag Thakur,BJP,TRUE
2024,Himachal Pradesh,Hamirpur,Anurag Thakur,BJP,Anurag Thakur,BJP,TRUE
2004,Himachal Pradesh,Kangra,Chander Kumar,INC,,,
2009,Himachal Pradesh,Kangra,Rajan Sushant,BJP,Chander Kumar,INC,FALSE
2014,Himachal Pradesh,Kangra,Shanta Kumar,BJP,Rajan Sushant,BJP,FALSE
2019,Himachal Pradesh,Kangra,Kishan Kapoor,BJP,Shanta Kumar,BJP,FALSE
2024,Himachal Pradesh,Kangra,Rajeev Bhardwaj,BJP,Kishan Kapoor,BJP,FALSE
2004,Himachal Pradesh,Mandi,Pratibha Singh,INC,,,
2009,Himachal Pradesh,Mandi,Virbhadra Singh,INC,Pratibha Singh,INC,FALSE
2014,Himachal Pradesh,Mandi,Ram Swaroop Sharma,BJP,Virbhadra Singh,INC,FALSE
2019,Himachal Pradesh,Mandi,Ram Swaroop Sharma,BJP,Ram Swaroop Sharma,BJP,TRUE
2024,Himachal Pradesh,Mandi,Kangana Ranaut,BJP,Ram Swaroop Sharma,BJP,FALSE
2009,Himachal Pradesh,Shimla,Virender Kashyap,BJP,,,
2014,Himachal Pradesh,Shimla,Virender Kashyap,BJP,Virender Kashyap,BJP,TRUE
2019,Himachal Pradesh,Shimla,Suresh Kumar Kashyap,BJP,Virender Kashyap,BJP,FALSE
2024,Himachal Pradesh,Shimla,Suresh Kumar Kashyap,BJP,Suresh Kumar Kashyap,BJP,TRUE
2004,Himachal Pradesh,Simla,Dhani Ram Shandil,INC,,,
2004,Jammu and Kashmir,Anantnag,Mehbooba Mufti,JKPDP,,,
2009,Jammu and Kashmir,Anantnag,Mirza Mehboob Beg,JKNC,Mehbooba Mufti,JKPDP,FALSE
2014,Jammu and Kashmir,Anantnag,Mehbooba Mufti,JKPDP,Mirza Mehboob Beg,JKNC,FALSE
2019,Jammu and Kashmir,Anantnag,Hasnain Masoodi,JKNC,Mehbooba Mufti,JKPDP,FALSE
2024,Jammu and Kashmir,Anantnag-Rajouri,Mian Altaf Ahmed Larvi,JKNC,,,
2004,Jammu and Kashmir,Baramulla,Abdul Rashid Shaheen,JKNC,,,
2009,Jammu and Kashmir,Baramulla,Sharifuddin Shariq,JKNC,Abdul Rashid Shaheen,JKNC,FALSE
2014,Jammu and Kashmir,Baramulla,Muzaffar Hussain Baig,JKPDP,Sharifuddin Shariq,JKNC,FALSE
2019,Jammu and Kashmir,Baramulla,Mohammad Akbar Lone,JKNC,Muzaffar Hussain Baig,JKPDP,FALSE
2024,Jammu and Kashmir,Baramulla,Abdul Rashid Sheikh,IND,Mohammad Akbar Lone,JKNC,FALSE
2004,Jammu and Kashmir,Jammu,Madan Lal Sharma,INC,,,
2009,Jammu and Kashmir,Jammu,Madan Lal Sharma,INC,Madan Lal Sharma,INC,TRUE
2014,Jammu and Kashmir,Jammu,Jugal Kishore Sharma,BJP,Madan Lal Sharma,INC,FALSE
2019,Jammu and Kashmir,Jammu,Jugal Kishore Sharma,BJP,Jugal Kishore Sharma,BJP,TRUE
2024,Jammu and Kashmir,Jammu,Jugal Kishore Sharma,BJP,Jugal Kishore Sharma,BJP,TRUE
2004,Jammu and Kashmir,Ladakh,Thupstan Chhewang,IND,,,
2009,Jammu and Kashmir,Ladakh,Hassan Khan,IND,Thupstan Chhewang,IND,FALSE
2014,Jammu and Kashmir,Ladakh,Thupstan Chhewang,BJP,Hassan Khan,IND,FALSE
2019,Jammu and Kashmir,Ladakh,Jamyang Tsering Namgyal,BJP,Thupstan Chhewang,BJP,FALSE
2004,Jammu and Kashmir,Srinagar,Omar Abdullah,JKNC,,,
2009,Jammu and Kashmir,Srinagar,Farooq Abdullah,JKNC,Omar Abdullah,JKNC,FALSE
2014,Jammu and Kashmir,Srinagar,Tariq Hameed Karra,JKPDP,Farooq Abdullah,JKNC,FALSE
2019,Jammu and Kashmir,Srinagar,Farooq Abdullah,JKNC,Tariq Hameed Karra,JKPDP,FALSE
2024,Jammu and Kashmir,Srinagar,Aga Syed Ruhullah Mehdi,JKNC,Farooq Abdullah,JKNC,FALSE
2004,Jammu and Kashmir,Udhampur,Chaudhary Lal Singh,INC,,,
2009,Jammu and Kashmir,Udhampur,Chaudhary Lal Singh,INC,Chaudhary Lal Singh,INC,TRUE
2014,Jammu and Kashmir,Udhampur,Jitendra Singh,BJP,Chaudhary Lal Singh,INC,FALSE
2019,Jammu and Kashmir,Udhampur,Jitendra Singh,BJP,Jitendra Singh,BJP,TRUE
2024,Jammu and Kashmir,Udhampur,Dr. Jitendra Singh,BJP,Jitendra Singh,BJP,FALSE
2004,Jharkhand,Chatra,Dhirendra Agarwal,RJD,,,
2009,Jharkhand,Chatra,Inder Singh Namdhari,IND,Dhirendra Agarwal,RJD,FALSE
2014,Jharkhand,Chatra,Sunil Kumar Singh,BJP,Inder Singh Namdhari,IND,FALSE
2019,Jharkhand,Chatra,Sunil Kumar Singh,BJP,Sunil Kumar Singh,BJP,TRUE
2024,Jharkhand,Chatra,Kali Charan Singh,BJP,Sunil Kumar Singh,BJP,FALSE
2004,Jharkhand,Dhanbad,Chandra Shekhar Dubey,INC,,,
2009,Jharkhand,Dhanbad,Pashupati Nath Singh,BJP,Chandra Shekhar Dubey,INC,FALSE
2014,Jharkhand,Dhanbad,Pashupati Nath Singh,BJP,Pashupati Nath Singh,BJP,TRUE
2019,Jharkhand,Dhanbad,Pashupati Nath Singh,BJP,Pashupati Nath Singh,BJP,TRUE
2024,Jharkhand,Dhanbad,Dulu Mahato,BJP,Pashupati Nath Singh,BJP,FALSE
2004,Jharkhand,Dumka,Shibu Soren,JMM,,,
2009,Jharkhand,Dumka,Shibu Soren,JMM,Shibu Soren,JMM,TRUE
2014,Jharkhand,Dumka,Shibu Soren,JMM,Shibu Soren,JMM,TRUE
2019,Jharkhand,Dumka,Sunil Soren,BJP,Shibu Soren,JMM,FALSE
2024,Jharkhand,Dumka,Nalin Soren,JMM,Sunil Soren,BJP,FALSE
2004,Jharkhand,Giridih,Tek Lal Mahto,JMM,,,
2009,Jharkhand,Giridih,Ravindra Kumar Pandey,BJP,Tek Lal Mahto,JMM,FALSE
2014,Jharkhand,Giridih,Ravindra Kumar Pandey,BJP,Ravindra Kumar Pandey,BJP,TRUE
2019,Jharkhand,Giridih,Chandra Prakash Chaudhary,All Jharkhand Students Union,Ravindra Kumar Pandey,BJP,FALSE
2024,Jharkhand,Giridih,Chandra Prakash Choudhary,AJSU,Chandra Prakash Chaudhary,All Jharkhand Students Union,FALSE
2004,Jharkhand,Godda,Furkan Ansari,INC,,,
2009,Jharkhand,Godda,Nishikant Dubey,BJP,Furkan Ansari,INC,FALSE
2014,Jharkhand,Godda,Nishikant Dubey,BJP,Nishikant Dubey,BJP,TRUE
2019,Jharkhand,Godda,Nishikant Dubey,BJP,Nishikant Dubey,BJP,TRUE
2024,Jharkhand,Godda,Nishikant Dubey,BJP,Nishikant Dubey,BJP,TRUE
2004,Jharkhand,Hazaribagh,Bhubneshwar Prasad Mehta,CPI,,,
2009,Jharkhand,Hazaribagh,Yashwant Sinha,BJP,Bhubneshwar Prasad Mehta,CPI,FALSE
2014,Jharkhand,Hazaribagh,Jayant Sinha,BJP,Yashwant Sinha,BJP,FALSE
2019,Jharkhand,Hazaribagh,Jayant Sinha,BJP,Jayant Sinha,BJP,TRUE
2024,Jharkhand,Hazaribagh,Manish Jaiswal,BJP,Jayant Sinha,BJP,FALSE
2004,Jharkhand,Jamshedpur,Sunil Kumar Mahato,JMM,,,
2009,Jharkhand,Jamshedpur,Arjun Munda,BJP,Sunil Kumar Mahato,JMM,FALSE
2014,Jharkhand,Jamshedpur,Bidyut Baran Mahato,BJP,Arjun Munda,BJP,FALSE
2019,Jharkhand,Jamshedpur,Vidyut Mahato,BJP,Bidyut Baran Mahato,BJP,FALSE
2024,Jharkhand,Jamshedpur,Bidyut Baran Mahato,BJP,Vidyut Mahato,BJP,FALSE
2004,Jharkhand,Khunti,Sushila Kerketta,INC,,,
2009,Jharkhand,Khunti,Kariya Munda,BJP,Sushila Kerketta,INC,FALSE
2014,Jharkhand,Khunti,Karia Munda,BJP,Kariya Munda,BJP,FALSE
2019,Jharkhand,Khunti,Arjun Munda,BJP,Karia Munda,BJP,FALSE
2024,Jharkhand,Khunti,Kali Charan Munda,INC,Arjun Munda,BJP,FALSE
2004,Jharkhand,Kodarma,Babulal Marandi,BJP,,,
2009,Jharkhand,Kodarma,Babulal Marandi,Jharkhand Vikas Morcha (Prajatantrik),Babulal Marandi,BJP,TRUE
2014,Jharkhand,Kodarma,Ravindra Kumar Ray,BJP,Babulal Marandi,Jharkhand Vikas Morcha (Prajatantrik),FALSE
2019,Jharkhand,Kodarma,Annapurna Devi Yadav,BJP,Ravindra Kumar Ray,BJP,FALSE
2024,Jharkhand,Kodarma,Annpurna Devi,BJP,Annapurna Devi Yadav,BJP,FALSE
2004,Jharkhand,Lohardaga,Rameshwar Oraon,INC,,,
2009,Jharkhand,Lohardaga,Sudarshan Bhagat,BJP,Rameshwar Oraon,INC,FALSE
2014,Jharkhand,Lohardaga,Sudarshan Bhagat,BJP,Sudarshan Bhagat,BJP,TRUE
2019,Jharkhand,Lohardaga,Sudarshan Bhagat,BJP,Sudarshan Bhagat,BJP,TRUE
2024,Jharkhand,Lohardaga,Sukhdeo Bhagat,INC,Sudarshan Bhagat,BJP,FALSE
2004,Jharkhand,Palamau,Manoj Kumar,RJD,,,
2009,Jharkhand,Palamau,Kameshwar Baitha,JMM,Manoj Kumar,RJD,FALSE
2019,Jharkhand,Palamau,Vishnu Dayal Ram,BJP,Kameshwar Baitha,JMM,FALSE
2024,Jharkhand,Palamau,Vishnu Dayal Ram,BJP,Vishnu Dayal Ram,BJP,TRUE
2014,Jharkhand,Palamu,Vishnu Dayal Ram,BJP,,,
2004,Jharkhand,Rajmahal,Hemlal Murmu,JMM,,,
2009,Jharkhand,Rajmahal,Devidhan Besra,BJP,Hemlal Murmu,JMM,FALSE
2014,Jharkhand,Rajmahal,Vijay Hansdak,JMM,Devidhan Besra,BJP,FALSE
2019,Jharkhand,Rajmahal,Vijay Hansdak,JMM,Vijay Hansdak,JMM,TRUE
2024,Jharkhand,Rajmahal,Vijay Kumar Hansdak,JMM,Vijay Hansdak,JMM,FALSE
2004,Jharkhand,Ranchi,Subodh Kant Sahay,INC,,,
2009,Jharkhand,Ranchi,Subodh Kant Sahay,INC,Subodh Kant Sahay,INC,TRUE
2014,Jharkhand,Ranchi,Ram Tahal Choudhary,BJP,Subodh Kant Sahay,INC,FALSE
2019,Jharkhand,Ranchi,Sanjay Seth,BJP,Ram Tahal Choudhary,BJP,FALSE
2024,Jharkhand,Ranchi,Sanjay Seth,BJP,Sanjay Seth,BJP,TRUE
2004,Jharkhand,Singhbhum,Bagun Sumbrai,INC,,,
2009,Jharkhand,Singhbhum,Madhu Koda,IND,Bagun Sumbrai,INC,FALSE
2014,Jharkhand,Singhbhum,Laxman Giluwa,BJP,Madhu Koda,IND,FALSE
2019,Jharkhand,Singhbhum,Geeta Koda,INC,Laxman Giluwa,BJP,FALSE
2024,Jharkhand,Singhbhum,Joba Majhi,JMM,Geeta Koda,INC,FALSE
2004,Karnataka,Bagalkot,P. C. Gaddigoudar,BJP,,,
2009,Karnataka,Bagalkot,P. C. Gaddigoudar,BJP,P. C. Gaddigoudar,BJP,TRUE
2014,Karnataka,Bagalkot,P. C. Gaddigoudar,BJP,P. C. Gaddigoudar,BJP,TRUE
2019,Karnataka,Bagalkot,P. C. Gaddigoudar,BJP,P. C. Gaddigoudar,BJP,TRUE
2024,Karnataka,Bagalkot,Gaddigoudar Parvatagouda Chandanagouda,BJP,P. C. Gaddigoudar,BJP,FALSE
2009,Karnataka,Bangalore Central,P. C. Mohan,BJP,,,
2014,Karnataka,Bangalore Central,P.C. Mohan,BJP,P. C. Mohan,BJP,FALSE
2019,Karnataka,Bangalore Central,P. C. Mohan,BJP,P.C. Mohan,BJP,FALSE
2024,Karnataka,Bangalore Central,P. C. Mohan,BJP,P. C. Mohan,BJP,TRUE
2004,Karnataka,Bangalore North,H. T. Sangliana,BJP,,,
2009,Karnataka,Bangalore North,D. B. Chandre Gowda,BJP,H. T. Sangliana,BJP,FALSE
2014,Karnataka,Bangalore North,D.V Sadananda Gowda,BJP,D. B. Chandre Gowda,BJP,FALSE
2019,Karnataka,Bangalore North,Sadananda Gowda,BJP,D.V Sadananda Gowda,BJP,FALSE
2024,Karnataka,Bangalore North,Shobha Karandlaje,BJP,Sadananda Gowda,BJP,FALSE
2009,Karnataka,Bangalore Rural,H. D. Kumaraswamy,JD(S),,,
2014,Karnataka,Bangalore Rural,D K Suresh,INC,H. D. Kumaraswamy,JD(S),FALSE
2019,Karnataka,Bangalore Rural,D. K. Suresh,INC,D K Suresh,INC,FALSE
2024,Karnataka,Bangalore Rural,C. N. Manjunath,BJP,D. K. Suresh,INC,FALSE
2004,Karnataka,Bangalore South,Ananth Kumar,BJP,,,
2009,Karnataka,Bangalore South,Ananth Kumar,BJP,Ananth Kumar,BJP,TRUE
2014,Karnataka,Bangalore South,Ananth Kumar,BJP,Ananth Kumar,BJP,TRUE
2019,Karnataka,Bangalore South,Tejasvi Surya,BJP,Ananth Kumar,BJP,FALSE
2024,Karnataka,Bangalore South,Tejaswi Surya,BJP,Tejasvi Surya,BJP,FALSE
2004,Karnataka,Belgaum,Suresh Angadi,BJP,,,
2009,Karnataka,Belgaum,Suresh Angadi,BJP,Suresh Angadi,BJP,TRUE
2014,Karnataka,Belgaum,Suresh Angadi,BJP,Suresh Angadi,BJP,TRUE
2019,Karnataka,Belgaum,Suresh Angadi,BJP,Suresh Angadi,BJP,TRUE
2024,Karnataka,Belgaum,Jagadish Shettar,BJP,Suresh Angadi,BJP,FALSE
2004,Karnataka,Bellary,G. Karunakara Reddy,BJP,,,
2009,Karnataka,Bellary,J. Shantha,BJP,G. Karunakara Reddy,BJP,FALSE
2014,Karnataka,Bellary,B. Sreeramulu,BJP,J. Shantha,BJP,FALSE
2019,Karnataka,Bellary,Y. Devendrappa,BJP,B. Sreeramulu,BJP,FALSE
2024,Karnataka,Bellary,E. Tukaram,INC,Y. Devendrappa,BJP,FALSE
2004,Karnataka,Bidar,Ramchandra Veerappa,BJP,,,
2009,Karnataka,Bidar,Dharam Singh,INC,Ramchandra Veerappa,BJP,FALSE
2014,Karnataka,Bidar,Bhagwanth Khuba,BJP,Dharam Singh,INC,FALSE
2019,Karnataka,Bidar,Bhagwanth Khuba,BJP,Bhagwanth Khuba,BJP,TRUE
2024,Karnataka,Bidar,Sagar Eshwar Khandre,INC,Bhagwanth Khuba,BJP,FALSE
2004,Karnataka,Bijapur,Basangouda Patil Yatnal,BJP,,,
2009,Karnataka,Bijapur,Ramesh Jigajinagi,BJP,Basangouda Patil Yatnal,BJP,FALSE
2014,Karnataka,Bijapur,Ramesh Jigajinagi,BJP,Ramesh Jigajinagi,BJP,TRUE
2019,Karnataka,Bijapur,Ramesh Jigajinagi,BJP,Ramesh Jigajinagi,BJP,TRUE
2024,Karnataka,Bijapur,Ramesh Jigajinagi,BJP,Ramesh Jigajinagi,BJP,TRUE
2004,Karnataka,Chamarajanagar,Kagalvadi M. Shivanna,JD(S),,,
2009,Karnataka,Chamarajanagar,R. Dhruvanarayana,INC,Kagalvadi M. Shivanna,JD(S),FALSE
2014,Karnataka,Chamarajanagar,R. Dhruvanarayana,INC,R. Dhruvanarayana,INC,TRUE
2019,Karnataka,Chamarajanagar,Srinivas Prasad,BJP,R. Dhruvanarayana,INC,FALSE
2024,Karnataka,Chamarajanagar,Sunil Bose,INC,Srinivas Prasad,BJP,FALSE
2004,Karnataka,Chikballapur,R. L. Jalappa,INC,,,
2009,Karnataka,Chikballapur,Veerappa Moily,INC,R. L. Jalappa,INC,FALSE
2019,Karnataka,Chikballapur,B. N. Bache Gowda,BJP,Veerappa Moily,INC,FALSE
2024,Karnataka,Chikballapur,K. Sudhakar,BJP,B. N. Bache Gowda,BJP,FALSE
2014,Karnataka,Chikkaballapur,M Veerappa Moily,INC,,,
2004,Karnataka,Chikkodi,Ramesh Jigajinagi,BJP,,,
2009,Karnataka,Chikkodi,Ramesh Katti,BJP,Ramesh Jigajinagi,BJP,FALSE
2014,Karnataka,Chikkodi,Prakash Hukkeri,INC,Ramesh Katti,BJP,FALSE
2019,Karnataka,Chikkodi,Annasaheb Jolle,BJP,Prakash Hukkeri,INC,FALSE
2024,Karnataka,Chikkodi,Priyanka Jarkiholi,INC,Annasaheb Jolle,BJP,FALSE
2004,Karnataka,Chikmagalur,D. C. Srikantappa,BJP,,,
2004,Karnataka,Chitradurga,N. Y. Hanumanthappa,INC,,,
2009,Karnataka,Chitradurga,Janardhana Swamy,BJP,N. Y. Hanumanthappa,INC,FALSE
2014,Karnataka,Chitradurga,B.N.Chandrappa,INC,Janardhana Swamy,BJP,FALSE
2019,Karnataka,Chitradurga,A Narayanaswamy,BJP,B.N.Chandrappa,INC,FALSE
2024,Karnataka,Chitradurga,Govind Makthappa Karjol,BJP,A Narayanaswamy,BJP,FALSE
2009,Karnataka,Dakshina Kannada,Nalin Kumar Kateel,BJP,,,
2014,Karnataka,Dakshina Kannada,Nalin Kumar Kateel,BJP,Nalin Kumar Kateel,BJP,TRUE
2019,Karnataka,Dakshina Kannada,Nalin Kumar Kateel,BJP,Nalin Kumar Kateel,BJP,TRUE
2024,Karnataka,Dakshina Kannada,Brijesh Chowta,BJP,Nalin Kumar Kateel,BJP,FALSE
2004,Karnataka,Davanagere,G. M. Siddeshwara,BJP,,,
2009,Karnataka,Davanagere,G. M. Siddeshwara,BJP,G. M. Siddeshwara,BJP,TRUE
2014,Karnataka,Davanagere,G M Siddeshwara,BJP,G. M. Siddeshwara,BJP,FALSE
2019,Karnataka,Davanagere,G. M. Siddeshwara,BJP,G M Siddeshwara,BJP,FALSE
2024,Karnataka,Davanagere,Prabha Mallikarjun,INC,G. M. Siddeshwara,BJP,FALSE
2009,Karnataka,Dharwad,Pralhad Joshi,BJP,,,
2014,Karnataka,Dharwad,Pralhad Joshi,BJP,Pralhad Joshi,BJP,TRUE
2019,Karnataka,Dharwad,Pralhad Joshi,BJP,Pralhad Joshi,BJP,TRUE
2024,Karnataka,Dharwad,Prahlad Joshi,BJP,Pralhad Joshi,BJP,FALSE
2004,Karnataka,Dharwad North,Pralhad Joshi,BJP,,,
