Year,State,Constituency_Name,Winner_Candidate,Winner_Party,Previous_Winner,Previous_Party,Incumbent_Reelected
2024,Andhra Pradesh,Hindupur,B. K. Parthasarathi,TDP,Kuruva Gorantla Madhav,YSRCP,FALSE
2004,Andhra Pradesh,Hyderabad,Asaduddin Owaisi,AIMIM,,,
2009,Andhra Pradesh,Hyderabad,Asaduddin Owaisi,AIMIM,Asaduddin Owaisi,AIMIM,TRUE
2014,Andhra Pradesh,Hyderabad,Asaduddin Owaisi,AIMIM,Asaduddin Owaisi,AIMIM,TRUE
2009,Andhra Pradesh,Kadapa,Y. S. Jagan Mohan Reddy,INC,,,
2014,Andhra Pradesh,Kadapa,Y. S. Avinash Reddy,YSRCP,Y. S. Jagan Mohan Reddy,INC,FALSE
2019,Andhra Pradesh,Kadapa,Y. S. Avinash Reddy,YSRCP,Y. S. Avinash Reddy,YSRCP,TRUE
2024,Andhra Pradesh,Kadapa,Y. S. Avinash Reddy,YSRCP,Y. S. Avinash Reddy,YSRCP,TRUE
2004,Andhra Pradesh,Kakinada,Mallipudi Mangapati Pallam Raju,INC,,,
2009,Andhra Pradesh,Kakinada,Mallipudi Mangapati Pallam Raju,INC,Mallipudi Mangapati Pallam Raju,INC,TRUE
2014,Andhra Pradesh,Kakinada,Thota Narasimham,TDP,Mallipudi Mangapati Pallam Raju,INC,FALSE
2019,Andhra Pradesh,Kakinada,Vanga Geetha,YSRCP,Thota Narasimham,TDP,FALSE
2024,Andhra Pradesh,Kakinada,Tangella Uday Srinivas,JSP,Vanga Geetha,YSRCP,FALSE
2004,Andhra Pradesh,Karimnagar,K. Chandrashekar Rao,TRS,,,
2009,Andhra Pradesh,Karimnagar,Ponnam Prabhakar,INC,K. Chandrashekar Rao,TRS,FALSE
2014,Andhra Pradesh,Karimnagar,Vinod Kumar Boinapally,TRS,Ponnam Prabhakar,INC,FALSE
2004,Andhra Pradesh,Khammam,Renuka Chowdhury,INC,,,
2009,Andhra Pradesh,Khammam,Nama Nageswara Rao,TDP,Renuka Chowdhury,INC,FALSE
2014,Andhra Pradesh,Khammam,Ponguleti Srinivasa Reddy,YSRCP,Nama Nageswara Rao,TDP,FALSE
2004,Andhra Pradesh,Kurnool,Kotla Jayasurya Prakasha Reddy,INC,,,
2009,Andhra Pradesh,Kurnool,Kotla Jayasurya Prakasha Reddy,INC,Kotla Jayasurya Prakasha Reddy,INC,TRUE
2014,Andhra Pradesh,Kurnool,Butta Renuka,YSRCP,Kotla Jayasurya Prakasha Reddy,INC,FALSE
2019,Andhra Pradesh,Kurnool,Sanjeev Kumar,YSRCP,Butta Renuka,YSRCP,FALSE
2024,Andhra Pradesh,Kurnool,Bastipati Nagaraju Panchalingala,TDP,Sanjeev Kumar,YSRCP,FALSE
2004,Andhra Pradesh,Machilipatnam,Badiga Ramakrishna,INC,,,
2009,Andhra Pradesh,Machilipatnam,Konakalla Narayana Rao,TDP,Badiga Ramakrishna,INC,FALSE
2014,Andhra Pradesh,Machilipatnam,Konakalla Narayana Rao,TDP,Konakalla Narayana Rao,TDP,TRUE
2019,Andhra Pradesh,Machilipatnam,Vallabhaneni Balasouri,YSRCP,Konakalla Narayana Rao,TDP,FALSE
2024,Andhra Pradesh,Machilipatnam,Vallabhaneni Balashowry,JSP,Vallabhaneni Balasouri,YSRCP,FALSE
2009,Andhra Pradesh,Mahabubabad,Balram Naik,INC,,,
2014,Andhra Pradesh,Mahabubabad,Prof. Azmeera Seetaram Naik,TRS,Balram Naik,INC,FALSE
2004,Andhra Pradesh,Mahabubnagar,Devarakonda Vittal Rao,INC,,,
2014,Andhra Pradesh,Mahabubnagar,Ap Jithender Reddy,TRS,Devarakonda Vittal Rao,INC,FALSE
2009,Andhra Pradesh,Mahbubnagar,K. Chandrashekar Rao,TRS,,,
2009,Andhra Pradesh,Malkajgiri,Sarvey Sathyanarayana,INC,,,
2014,Andhra Pradesh,Malkajgiri,Ch.Malla Reddy,TDP,Sarvey Sathyanarayana,INC,FALSE
2004,Andhra Pradesh,Medak,A. Narendra,TRS,,,
2009,Andhra Pradesh,Medak,Vijayashanti,TRS,A. Narendra,TRS,FALSE
2014,Andhra Pradesh,Medak,K. Chandrashekar Rao,TRS,Vijayashanti,TRS,FALSE
2004,Andhra Pradesh,Miryalguda,Jaipal Reddy,INC,,,
2004,Andhra Pradesh,Nagarkurnool,Manda Jagannath,TDP,,,
2009,Andhra Pradesh,Nagarkurnool,Manda Jagannath,INC,Manda Jagannath,TDP,TRUE
2014,Andhra Pradesh,Nagarkurnool,Yellaiah Nandi,INC,Manda Jagannath,INC,FALSE
2004,Andhra Pradesh,Nalgonda,Suravaram Sudhakar Reddy,CPI,,,
2009,Andhra Pradesh,Nalgonda,Gutha Sukender Reddy,INC,Suravaram Sudhakar Reddy,CPI,FALSE
2014,Andhra Pradesh,Nalgonda,Gutha Sukhender Reddy,INC,Gutha Sukender Reddy,INC,FALSE
2004,Andhra Pradesh,Nandyal,S. P. Y. Reddy,INC,,,
2009,Andhra Pradesh,Nandyal,S. P. Y. Reddy,INC,S. P. Y. Reddy,INC,TRUE
2014,Andhra Pradesh,Nandyal,S. P. Y. Reddy,YSRCP,S. P. Y. Reddy,INC,TRUE
2019,Andhra Pradesh,Nandyal,Pocha Brahmananda Reddy,YSRCP,S. P. Y. Reddy,YSRCP,FALSE
2024,Andhra Pradesh,Nandyal,Byreddy Shabari,TDP,Pocha Brahmananda Reddy,YSRCP,FALSE
2004,Andhra Pradesh,Narasapur,Chegondi Venkata Harirama Jogaiah,INC,,,
2009,Andhra Pradesh,Narasapuram,Kanumuru Bapi Raju,INC,,,
2014,Andhra Pradesh,Narasapuram,Gokaraju Ganga Raju,BJP,Kanumuru Bapi Raju,INC,FALSE
2019,Andhra Pradesh,Narasapuram,Raghu Rama Krishna Raju,YSRCP,Gokaraju Ganga Raju,BJP,FALSE
2024,Andhra Pradesh,Narasapuram,Bhupathi Raju Srinivasa Varma,BJP,Raghu Rama Krishna Raju,YSRCP,FALSE
